#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      76.138976     0.31548874      64.007428     0.26516228      92.064964     0.38452624
              5      230.93722     0.54400311      194.18312     0.45735779      279.15215     0.66363663
             10      394.75398      0.7049488      332.01432     0.59318052      477.02244     0.86149561
             15      568.43714     0.83398385      478.21337     0.70325913      686.69503      1.0213929
             20      750.50195       0.947927      631.44525     0.79699816      906.49696      1.1584243
             25      919.65903      1.0371467        773.692     0.87268951      1110.9369      1.2641177
             30      1044.8743      1.0927493       878.4681     0.91961446      1263.1835      1.3360606
             35      1029.7637      1.0855822      864.84413     0.91268707       1246.579      1.3319675
             40      794.41241     0.98108124      666.26961      0.8246379      963.39734      1.2119194
             45      527.92826     0.80278966      442.16815      0.6726114      641.39027      0.9833114
             50      352.12818     0.66473263      294.52307     0.55626883      428.57994     0.81534336
             55      246.30437     0.56070403      205.69373       0.468487      300.37522     0.68949312
             60      176.50289     0.47647721      147.21469     0.39959017      215.59946     0.59724515
             65      130.71938     0.41433611      108.80399      0.3451497       160.0909     0.51569047
             70      98.815366     0.35807412      82.044375     0.29767798      121.40219     0.44437643
             75      76.249739     0.31775017      63.179687     0.26344288      93.912768      0.3948755
             80      59.695974     0.28171917      49.338859     0.23284928      73.751626     0.35093315
             85      47.693135     0.25129047      39.355065     0.20756038      59.038766       0.313641
             90      37.448439     0.22323931      30.852166     0.18399447      46.446017     0.27885723
             95      30.566896     0.20043657      25.133347     0.16497414      37.999945     0.25124081
            100      25.316356     0.18290893       20.80065     0.15046333       31.50116     0.22908501
            105      21.071449     0.16643778      17.308368     0.13691039      26.227014     0.20859503
            110      17.511635     0.15187693      14.359857     0.12469116       21.83909     0.19064907
            115      14.459603     0.13801932      11.849617     0.11321115      18.046646     0.17334913
            120      12.131277     0.12633885      9.9263763      0.1036314       15.16629     0.15893854
            125      10.416124     0.11741396      8.5083619    0.096158929      13.042569     0.14803104
            130      9.0556831      0.1121525      7.3756677    0.091472881      11.374665     0.14185005
            135      7.6195293     0.10008585      6.2035566    0.081699372      9.5745549      0.1271104
            140      6.6006867    0.096149696      5.3507364    0.077966756      8.3358876     0.12246459
            145      5.6459886    0.086398733      4.5888284    0.070346558      7.1097782     0.10964427
            150      4.9879049    0.082581194      4.0413661    0.066869231      6.3022059     0.10557988
            155      4.2019259    0.074325392      3.4092026    0.060480348      5.3015353    0.094472036
            160      3.7441581    0.070369853      3.0168343    0.056846056      4.7591266    0.090127133
            165      3.3706588    0.066509769      2.7156984    0.053755882      4.2853313    0.085120124
            170      2.8981354    0.062112212      2.3280498    0.049934969      3.6961214    0.080139878
            175      2.5883053    0.059730847      2.0772563    0.047997404      3.3046491     0.07681997
            180      2.2433341    0.054327469      1.8010057    0.043901658      2.8637246    0.071011535
            185      2.0412408    0.051760735      1.6357772    0.041688118      2.6101917     0.06669782
            190      1.7320082    0.047645213      1.3882554    0.038362955      2.2149434    0.061326104
            195      1.6446952    0.047317922      1.3162888    0.037959779      2.1060284    0.060950974
            200      1.5334579    0.045125247      1.2205594    0.036053445      1.9751648    0.058506489
            205      1.2592031    0.041149679      1.0049653    0.032842223      1.6174833    0.053432835
            210      1.1834577    0.040157879     0.94811067    0.032296297       1.514504    0.051783816
            215       1.079472    0.037719539      0.8579447    0.030054198       1.392812    0.049089402
            220     0.93575117    0.035094367      0.7443652    0.027968464      1.2062456    0.045654095
            225     0.84907083    0.034260103     0.67627743    0.027303275      1.0935732    0.044523629
            230      0.7844147    0.032118257     0.61765593    0.025362066      1.0223623    0.042090543
            235      0.7297514    0.031103707      0.5835345    0.024989044     0.93555289    0.040142754
            240     0.62581923    0.028690102      0.4975758    0.022792771     0.80751463    0.037600168
            245     0.61473637     0.02838341     0.48079417    0.022287347      0.8069371    0.037438781
            250      0.5030433    0.025788753     0.39403593    0.020250323     0.65927837    0.033975986
            255     0.46504167    0.024727674      0.3647506    0.019460492     0.60866853    0.032536822
            260      0.4514083    0.024471469      0.3569594    0.019367267      0.5860159    0.032100754
            265     0.36869563    0.022116242     0.29125917    0.017456798     0.47920237      0.0290967
            270     0.36278447     0.03254802     0.28684913    0.025360809     0.47063737    0.042905235
            275     0.36077963     0.02180005      0.2855238    0.017303307     0.46797523    0.028477652
