#   y_j1-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4    0.030487397    0.021568895      0.0237503    0.017004865    0.040784315    0.028986192
           -4.3    0.031377351    0.022186294    0.029555022    0.021044052    0.032404562    0.023269949
           -4.2      0.1880016    0.054282685     0.15428491    0.044602406     0.23427251    0.067782898
           -4.1     0.44732893    0.083395425      0.3447415    0.064773311     0.60056343     0.11249398
             -4      1.1382853     0.13429091     0.91997319     0.10904281      1.4536287     0.17340335
           -3.9      2.1476334     0.18383162      1.7370744     0.14952708      2.7401281     0.23696352
           -3.8      3.4667071     0.23247517      2.8579388     0.19300551      4.3258981     0.29303152
           -3.7      5.3067235     0.29088191      4.3115018     0.23690035      6.7257175     0.37281844
           -3.6       8.821968     0.40018374      7.1680552     0.32293046      11.170665     0.51651019
           -3.5      13.534894     0.46154789       11.03284     0.37805167      17.071696     0.58672907
           -3.4      17.849564     0.53376191        14.4935     0.43465329      22.593258     0.68202807
           -3.3      25.025761      0.6997907      20.331602     0.56574851      31.657132     0.91232695
           -3.2      31.600159     0.70937576      25.714786     0.57907912      39.885519     0.90449068
           -3.1      40.770092     0.80530751      33.113531     0.65634717      51.549326      1.0260964
             -3      49.167426     0.89424892      40.046467     0.73026214      61.945374      1.1354122
           -2.9      58.745665     0.97433051      47.832576     0.80015404      74.042383       1.256686
           -2.8      71.521002      1.0677065       58.15927     0.87698605      90.256494       1.370194
           -2.7      84.087868      1.1743507      68.483058      0.9583385      105.90893      1.4917196
           -2.6      93.109809      1.2232504      75.777227     0.99824008      117.34403       1.553688
           -2.5      110.53284      1.3332688       89.89979      1.0871509      139.37596      1.6940086
           -2.4      118.90794      1.3766312      96.737675      1.1233486       149.8833      1.7475094
           -2.3      130.07769      1.4475784      105.96763      1.1815825       163.7036      1.8369574
           -2.2      143.17849      1.5253462      116.42271      1.2427117      180.52498      1.9375671
           -2.1      153.58086      1.5592031      124.62898      1.2691978      194.07507      1.9842583
             -2      168.77144      1.6393972      137.24279      1.3339839      212.78128      2.0887872
           -1.9      177.61015      1.7062716      144.43273      1.3909157      223.91068      2.1672243
           -1.8      186.04502      1.7575547      151.25674      1.4306338      234.59519      2.2336572
           -1.7      197.38985      2.1422002      160.52227      1.7323533      248.82969      2.7310115
           -1.6       206.7126      1.8294667       168.0984      1.4912501      260.59767      2.3229567
           -1.5      215.40386      1.9476974      174.85297      1.5797186      272.08168      2.4825963
           -1.4      219.51452      1.8663192      178.37422      1.5286739      276.98467      2.3835754
           -1.3      226.29441      1.9168579      183.92837       1.562362      285.48554      2.4335075
           -1.2      233.95239        1.93431      189.96671      1.5751763      295.44132      2.4592704
           -1.1      238.05426      1.9449785      193.56166       1.586028      300.17902      2.4689742
             -1      243.19214      2.0925526      197.44686       1.694957       307.1444      2.6697526
           -0.9       250.0289      2.0065414       202.7709      1.6306485      316.19238       2.555817
           -0.8      254.35125      2.0840053      206.59904      1.6918345      321.11685      2.6567599
           -0.7       256.0505      2.0140175      207.89011      1.6426934      323.45969      2.5660131
           -0.6       257.5339       2.064385       208.9231       1.676571      325.58831      2.6306318
           -0.5      259.47391      2.0799848      210.86542      1.6897281      327.46752      2.6544717
           -0.4      263.31776      2.0895558      213.77411      1.6980984      332.64766      2.6610382
           -0.3      265.10974      2.0939236      215.30054      1.7027957      334.80045      2.6645054
           -0.2      263.70528       2.051195      214.05711      1.6695991      333.22579      2.6098345
           -0.1      263.97906      2.0579786      214.38243      1.6942991      333.39317      2.6495331
              0      267.01326      2.0787253      216.97532      1.6927853       336.9963      2.6433198
            0.1      262.78996      2.0430838      213.77796      1.6667864      331.27306      2.5943184
            0.2      266.51376      2.0573951      216.30637      1.6748147      336.81866      2.6172455
            0.3      263.33628      2.4220999      213.70625      1.9503412      332.81689      3.1020313
            0.4      259.45836       2.040995      210.94872      1.6630588      327.25579      2.5925686
            0.5       263.3302      2.2951811      213.72779      1.8489812       332.7155      2.9438397
            0.6      254.02111       2.065214      206.54518      1.6830405      320.38283      2.6227674
