qTcut          mu_R/mWbb      mu_F/mWbb           subprocess                                                     dXS +- err (contribution/subprocess)     chi2_dof   n_run   (removed)

independent    0.5            0.5                 NLO.CS.32.RA.QCD                                                      17827.1818 +-          2.2435
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 gu_epvebb~d                                                           11274.1182 +-          1.4621       0.5256       3      (   0)
independent    0.5            0.5                 gd~_epvebb~u~                                                          4086.4195 +-          0.8968        1.957       3      (   0)
independent    0.5            0.5                 ud~_epvebb~g                                                           2466.6441 +-          1.4462       0.3658       3      (   0)

independent    0.5            1                   NLO.CS.32.RA.QCD                                                      18384.6785 +-          2.3438
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   gu_epvebb~d                                                           11541.8579 +-          1.5048       0.5645       3      (   0)
independent    0.5            1                   gd~_epvebb~u~                                                          4188.1095 +-          0.9227        1.714       3      (   0)
independent    0.5            1                   ud~_epvebb~g                                                           2654.7112 +-          1.5420       0.3887       3      (   0)

independent    0.5            2                   NLO.CS.32.RA.QCD                                                      18775.9136 +-          2.4275
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   gu_epvebb~d                                                           11707.8821 +-          1.5367       0.5996       3      (   0)
independent    0.5            2                   gd~_epvebb~u~                                                          4251.6265 +-          0.9418        1.522       3      (   0)
independent    0.5            2                   ud~_epvebb~g                                                           2816.4050 +-          1.6261       0.4061       3      (   0)

independent    1              0.5                 NLO.CS.32.RA.QCD                                                      13093.3816 +-          1.6348
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 gu_epvebb~d                                                            8333.6225 +-          1.0744       0.5014       3      (   0)
independent    1              0.5                 gd~_epvebb~u~                                                          3000.0536 +-          0.6554        2.123       3      (   0)
independent    1              0.5                 ud~_epvebb~g                                                           1759.7054 +-          1.0434       0.3547       3      (   0)

independent    1              1                   NLO.CS.32.RA.QCD                                                      13485.8346 +-          1.7036
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   gu_epvebb~d                                                            8521.0140 +-          1.1023       0.5383       3      (   0)
independent    1              1                   gd~_epvebb~u~                                                          3071.5855 +-          0.6725        1.870       3      (   0)
independent    1              1                   ud~_epvebb~g                                                           1893.2351 +-          1.1113       0.3785       3      (   0)

independent    1              2                   NLO.CS.32.RA.QCD                                                      13758.3748 +-          1.7610
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   gu_epvebb~d                                                            8634.8390 +-          1.1229       0.5718       3      (   0)
independent    1              2                   gd~_epvebb~u~                                                          3115.5614 +-          0.6849        1.668       3      (   0)
independent    1              2                   ud~_epvebb~g                                                           2007.9745 +-          1.1709       0.3966       3      (   0)

independent    2              0.5                 NLO.CS.32.RA.QCD                                                      9919.53545 +-         1.23159
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 gu_epvebb~d                                                           6346.46356 +-         0.81533       0.4830       3      (   0)
independent    2              0.5                 gd~_epvebb~u~                                                         2271.76379 +-         0.49496        2.261       3      (   0)
independent    2              0.5                 ud~_epvebb~g                                                          1301.30809 +-         0.77915       0.3456       3      (   0)

independent    2              1                   NLO.CS.32.RA.QCD                                                      10206.2649 +-          1.2807
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   gu_epvebb~d                                                            6482.5931 +-          0.8342       0.5180       3      (   0)
independent    2              1                   gd~_epvebb~u~                                                          2323.9919 +-          0.5067        2.001       3      (   0)
independent    2              1                   ud~_epvebb~g                                                           1399.6800 +-          0.8291       0.3700       3      (   0)

independent    2              2                   NLO.CS.32.RA.QCD                                                      10403.5341 +-          1.3216
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   gu_epvebb~d                                                            6563.7177 +-          0.8480       0.5501       3      (   0)
independent    2              2                   gd~_epvebb~u~                                                          2355.6460 +-          0.5152        1.792       3      (   0)
independent    2              2                   ud~_epvebb~g                                                           1484.1704 +-          0.8730       0.3888       3      (   0)

======================================================================================================================================================================================

