qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)
0.03           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.03           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           2              0.5                 ..a00                                                                         0. +-              0.
0.03           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.03           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           2              1                   ..a00                                                                         0. +-              0.
0.03           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.03           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           2              2                   ..a00                                                                         0. +-              0.
0.03           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.04           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            0.5                 ..a00                                                                         0. +-              0.
0.04           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.04           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            1                   ..a00                                                                         0. +-              0.
0.04           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.04           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            2                   ..a00                                                                         0. +-              0.
0.04           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.04           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              0.5                 ..a00                                                                         0. +-              0.
0.04           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.04           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   ..a00                                                                         0. +-              0.
0.04           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.04           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              2                   ..a00                                                                         0. +-              0.
0.04           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.04           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              0.5                 ..a00                                                                         0. +-              0.
0.04           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.04           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              1                   ..a00                                                                         0. +-              0.
0.04           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.04           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              2                   ..a00                                                                         0. +-              0.
0.04           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.05           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            0.5                 ..a00                                                                         0. +-              0.
0.05           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.05           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            1                   ..a00                                                                         0. +-              0.
0.05           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.05           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            2                   ..a00                                                                         0. +-              0.
0.05           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.05           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              0.5                 ..a00                                                                         0. +-              0.
0.05           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.05           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              1                   ..a00                                                                         0. +-              0.
0.05           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.05           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              2                   ..a00                                                                         0. +-              0.
0.05           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.05           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              0.5                 ..a00                                                                         0. +-              0.
0.05           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.05           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              1                   ..a00                                                                         0. +-              0.
0.05           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.05           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              2                   ..a00                                                                         0. +-              0.
0.05           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.06           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            0.5                 ..a00                                                                         0. +-              0.
0.06           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.06           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            1                   ..a00                                                                         0. +-              0.
0.06           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.06           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            2                   ..a00                                                                         0. +-              0.
0.06           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.06           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              0.5                 ..a00                                                                         0. +-              0.
0.06           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.06           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              1                   ..a00                                                                         0. +-              0.
0.06           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.06           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              2                   ..a00                                                                         0. +-              0.
0.06           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.06           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              0.5                 ..a00                                                                         0. +-              0.
0.06           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.06           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              1                   ..a00                                                                         0. +-              0.
0.06           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.06           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              2                   ..a00                                                                         0. +-              0.
0.06           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.07           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           0.5            0.5                 ..a00                                                                         0. +-              0.
0.07           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.07           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           0.5            1                   ..a00                                                                         0. +-              0.
0.07           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.07           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           0.5            2                   ..a00                                                                         0. +-              0.
0.07           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.07           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              0.5                 ..a00                                                                         0. +-              0.
0.07           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.07           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              1                   ..a00                                                                         0. +-              0.
0.07           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.07           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              2                   ..a00                                                                         0. +-              0.
0.07           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.07           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           2              0.5                 ..a00                                                                         0. +-              0.
0.07           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.07           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           2              1                   ..a00                                                                         0. +-              0.
0.07           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.07           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
