qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)
0.3            2              1                   ..a00                                                                         0. +-              0.
0.3            2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.3            2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.3            2              2                   ..a00                                                                         0. +-              0.
0.3            2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.31           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           0.5            0.5                 ..a00                                                                         0. +-              0.
0.31           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.31           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           0.5            1                   ..a00                                                                         0. +-              0.
0.31           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.31           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           0.5            2                   ..a00                                                                         0. +-              0.
0.31           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.31           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           1              0.5                 ..a00                                                                         0. +-              0.
0.31           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.31           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           1              1                   ..a00                                                                         0. +-              0.
0.31           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.31           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           1              2                   ..a00                                                                         0. +-              0.
0.31           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.31           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           2              0.5                 ..a00                                                                         0. +-              0.
0.31           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.31           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           2              1                   ..a00                                                                         0. +-              0.
0.31           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.31           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           2              2                   ..a00                                                                         0. +-              0.
0.31           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.32           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           0.5            0.5                 ..a00                                                                         0. +-              0.
0.32           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.32           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           0.5            1                   ..a00                                                                         0. +-              0.
0.32           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.32           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           0.5            2                   ..a00                                                                         0. +-              0.
0.32           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.32           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           1              0.5                 ..a00                                                                         0. +-              0.
0.32           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.32           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           1              1                   ..a00                                                                         0. +-              0.
0.32           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.32           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           1              2                   ..a00                                                                         0. +-              0.
0.32           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.32           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           2              0.5                 ..a00                                                                         0. +-              0.
0.32           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.32           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           2              1                   ..a00                                                                         0. +-              0.
0.32           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.32           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           2              2                   ..a00                                                                         0. +-              0.
0.32           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.33           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           0.5            0.5                 ..a00                                                                         0. +-              0.
0.33           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.33           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           0.5            1                   ..a00                                                                         0. +-              0.
0.33           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.33           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           0.5            2                   ..a00                                                                         0. +-              0.
0.33           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.33           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           1              0.5                 ..a00                                                                         0. +-              0.
0.33           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.33           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           1              1                   ..a00                                                                         0. +-              0.
0.33           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.33           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           1              2                   ..a00                                                                         0. +-              0.
0.33           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.33           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           2              0.5                 ..a00                                                                         0. +-              0.
0.33           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.33           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           2              1                   ..a00                                                                         0. +-              0.
0.33           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.33           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           2              2                   ..a00                                                                         0. +-              0.
0.33           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.34           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           0.5            0.5                 ..a00                                                                         0. +-              0.
0.34           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.34           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           0.5            1                   ..a00                                                                         0. +-              0.
0.34           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.34           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           0.5            2                   ..a00                                                                         0. +-              0.
0.34           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.34           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           1              0.5                 ..a00                                                                         0. +-              0.
0.34           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.34           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           1              1                   ..a00                                                                         0. +-              0.
0.34           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.34           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           1              2                   ..a00                                                                         0. +-              0.
0.34           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.34           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           2              0.5                 ..a00                                                                         0. +-              0.
0.34           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.34           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           2              1                   ..a00                                                                         0. +-              0.
0.34           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.34           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           2              2                   ..a00                                                                         0. +-              0.
0.34           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.35           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           0.5            0.5                 ..a00                                                                         0. +-              0.
0.35           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.35           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           0.5            1                   ..a00                                                                         0. +-              0.
0.35           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.35           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           0.5            2                   ..a00                                                                         0. +-              0.
0.35           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.35           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           1              0.5                 ..a00                                                                         0. +-              0.
0.35           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.35           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           1              1                   ..a00                                                                         0. +-              0.
0.35           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.35           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           1              2                   ..a00                                                                         0. +-              0.
0.35           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.35           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           2              0.5                 ..a00                                                                         0. +-              0.
0.35           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.35           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           2              1                   ..a00                                                                         0. +-              0.
0.35           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.35           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           2              2                   ..a00                                                                         0. +-              0.
0.35           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.36           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           0.5            0.5                 ..a00                                                                         0. +-              0.
0.36           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.36           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           0.5            1                   ..a00                                                                         0. +-              0.
0.36           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.36           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           0.5            2                   ..a00                                                                         0. +-              0.
0.36           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.36           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           1              0.5                 ..a00                                                                         0. +-              0.
0.36           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.36           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           1              1                   ..a00                                                                         0. +-              0.
0.36           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.36           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           1              2                   ..a00                                                                         0. +-              0.
0.36           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.36           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           2              0.5                 ..a00                                                                         0. +-              0.
0.36           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.36           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           2              1                   ..a00                                                                         0. +-              0.
0.36           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.36           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           2              2                   ..a00                                                                         0. +-              0.
0.36           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.37           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           0.5            0.5                 ..a00                                                                         0. +-              0.
0.37           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.37           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           0.5            1                   ..a00                                                                         0. +-              0.
0.37           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.37           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           0.5            2                   ..a00                                                                         0. +-              0.
0.37           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.37           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           1              0.5                 ..a00                                                                         0. +-              0.
0.37           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.37           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           1              1                   ..a00                                                                         0. +-              0.
0.37           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.37           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           1              2                   ..a00                                                                         0. +-              0.
0.37           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.37           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           2              0.5                 ..a00                                                                         0. +-              0.
0.37           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.37           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           2              1                   ..a00                                                                         0. +-              0.
0.37           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.37           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           2              2                   ..a00                                                                         0. +-              0.
0.37           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.38           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           0.5            0.5                 ..a00                                                                         0. +-              0.
0.38           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.38           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           0.5            1                   ..a00                                                                         0. +-              0.
0.38           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.38           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           0.5            2                   ..a00                                                                         0. +-              0.
0.38           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.38           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           1              0.5                 ..a00                                                                         0. +-              0.
0.38           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.38           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           1              1                   ..a00                                                                         0. +-              0.
0.38           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.38           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           1              2                   ..a00                                                                         0. +-              0.
0.38           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.38           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
