qTcut          mu_R/mWbb      mu_F/mWbb           subprocess                                                     dXS +- err (contribution/subprocess)     chi2_dof   n_run   (removed)

0.01           1              0.5                 NNLO.QT-CS.42.RRA.QCD                                                -285697.787 +-          22.059
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              0.5                 gg_epvebb~du~                                                          -3608.831 +-           4.083       0.9889       5      (   0)
0.01           1              0.5                 gu_epvebb~gd                                                          -63441.767 +-          10.383       0.6322      67      (   0)
0.01           1              0.5                 gd~_epvebb~gu~                                                        -26744.457 +-           6.312        1.040      28      (   0)
0.01           1              0.5                 du_epvebb~dd                                                            -355.187 +-           1.156       0.3039       3      (   0)
0.01           1              0.5                 dc_epvebb~ds                                                            -184.646 +-           0.913       0.6813       3      (   0)
0.01           1              0.5                 dd~_epvebb~du~                                                          -121.693 +-           0.537       0.9074       3      (   0)
0.01           1              0.5                 ds~_epvebb~dc~                                                          -104.017 +-           0.479       0.6388       3      (   0)
0.01           1              0.5                 uu_epvebb~du                                                            -535.146 +-           3.278       0.2793       4      (   0)
0.01           1              0.5                 uc_epvebb~dc                                                            -179.415 +-           1.317       0.1172       3      (   0)
0.01           1              0.5                 ud~_epvebb~gg                                                        -181112.612 +-          16.801        1.016     503      (   0)
0.01           1              0.5                 ud~_epvebb~dd~                                                         -2214.715 +-           3.238       0.8338       3      (   0)
0.01           1              0.5                 ud~_epvebb~uu~                                                         -2213.644 +-           1.712      0.06004       3      (   0)
0.01           1              0.5                 ud~_epvebb~ss~                                                         -2048.351 +-           0.900       0.7527       3      (   0)
0.01           1              0.5                 ud~_epvebb~cc~                                                         -2048.349 +-           0.900       0.7445       3      (   0)
0.01           1              0.5                 uu~_epvebb~du~                                                          -165.063 +-           1.647       0.2061       3      (   0)
0.01           1              0.5                 us~_epvebb~ds~                                                          -150.143 +-           1.647       0.2264       3      (   0)
0.01           1              0.5                 us~_epvebb~uc~                                                          -148.190 +-           0.569       0.3278       3      (   0)
0.01           1              0.5                 uc~_epvebb~dc~                                                          -105.789 +-           1.322       0.9789       3      (   0)
0.01           1              0.5                 d~d~_epvebb~d~u~                                                         -63.056 +-           0.578      0.09787       3      (   0)
0.01           1              0.5                 d~u~_epvebb~u~u~                                                         -49.416 +-           1.243        3.297       3      (   0)
0.01           1              0.5                 d~s~_epvebb~d~c~                                                         -59.242 +-           0.555       0.4258       3      (   0)
0.01           1              0.5                 d~c~_epvebb~u~c~                                                         -44.060 +-           0.298     0.005773       3      (   0)

0.01           1              1                   NNLO.QT-CS.42.RRA.QCD                                                -305465.799 +-          23.180
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              1                   gg_epvebb~du~                                                          -3684.573 +-           4.042       0.9406       5      (   0)
0.01           1              1                   gu_epvebb~gd                                                          -67018.451 +-          10.672       0.6282      67      (   0)
0.01           1              1                   gd~_epvebb~gu~                                                        -28170.621 +-           6.536        1.059      28      (   0)
0.01           1              1                   du_epvebb~dd                                                            -352.515 +-           1.095       0.2617       3      (   0)
0.01           1              1                   dc_epvebb~ds                                                            -190.757 +-           0.868       0.6224       3      (   0)
0.01           1              1                   dd~_epvebb~du~                                                          -123.567 +-           0.531       0.7301       3      (   0)
0.01           1              1                   ds~_epvebb~dc~                                                          -106.976 +-           0.482       0.7290       3      (   0)
0.01           1              1                   uu_epvebb~du                                                            -528.088 +-           3.246       0.2919       4      (   0)
0.01           1              1                   uc_epvebb~dc                                                            -190.488 +-           1.355      0.09668       3      (   0)
