#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      681.72196      3.6728812      575.86734      3.1450528      842.70078      4.7368355
              1      1906.4149      6.4619225      1617.9996      5.6078991      2333.3457      8.0689518
              2      2792.4344      7.6704921      2373.1121      6.7027444      3408.1102      9.3844519
              3      3293.9831      8.1383811      2802.5453      7.1807909      4008.3164      9.7075195
              4      3517.5539       8.256475      2994.3831      7.3076846       4272.987      9.8033317
              5      3507.7595      8.3511124      2987.5697       7.361631      4252.3938      9.9390351
              6      3384.7584      8.3842425       2886.382      7.4198886      4091.8688      9.8472345
              7      3180.9569      8.0766062      2714.3761      7.1472738      3838.7826      9.4620099
              8       2932.269       7.503335      2503.1603      6.6282207      3530.8251      8.8025332
              9      2712.7445       7.457596      2319.8916      6.6067893      3257.1275      8.6815581
             10      2476.4595      7.0535499      2119.0552      6.2884826      2968.6904      8.1122941
             11      2253.3543      6.6045167      1930.1986      5.8728319      2695.4952      7.6396935
             12      2049.6561      6.5885612      1756.9058      5.8434089      2447.8456      7.6524419
             13      1869.1739      6.2803305      1603.5981      5.5808581      2228.7857      7.2417792
             14      1706.0685      5.9217012      1466.1283      5.2867106      2028.3827      6.7908922
             15      1547.5827      5.6373562      1330.0166      5.0289759      1838.4083      6.4650988
             16      1405.1568      5.7009381      1208.7043      5.1044885      1667.7402      6.4842132
             17      1289.5374       5.018209      1109.3844      4.4716052      1529.1506      5.7574118
             18      1174.2322      4.8152531      1011.1298      4.2917067      1390.0465      5.5127816
             19      1090.8413      4.9689711       939.8661      4.4184759      1289.9123      5.6782639
             20      989.70903      4.5120436      853.30786       4.047656      1169.3126      5.1409626
             21      911.10051      4.3783238      785.86741      3.9344206      1075.3084      4.9446864
             22      844.69987      4.7085343      729.11554      4.2141545      995.40643      5.3258121
             23      775.09098      4.0232152      669.24909       3.610528      912.89883      4.5524317
             24      710.96817      3.6764153      614.08715      3.3120309       836.2256      4.1786982
             25      652.65872      3.5596822      563.61313      3.1786572      768.29867       4.053438
             26      609.09443      3.6570055      526.54771        3.30483      715.41593      4.0815735
             27       556.2928      3.0813244      480.81905      2.7644145      653.30367       3.493075
             28      525.36657      3.2107423      454.00404      2.8725699      617.38143       3.634335
             29      484.97458      2.9641068      419.68287      2.6787939      568.98785      3.3189387
             30      454.24306      3.2242272      393.46031      2.9128411      531.98517      3.5969213
             31      419.76476      2.8079707      363.67109      2.5233291      491.47402      3.1861201
             32      394.25358      3.0731873      341.62852      2.7620343      461.09363      3.4562025
             33      366.39684       2.699937      317.75418      2.4571524       428.1778      2.9918069
             34       344.2914      2.6046922      298.29046      2.3374383      402.99662      2.9446117
             35      320.99297       2.533181      278.17854      2.2876083        375.796      2.8338858
             36      299.61944      2.3586633      259.60881      2.1107317      350.52761      2.6908321
             37      282.12664       2.240131      244.63739      2.0230688      329.62179      2.5245729
             38      264.10787      2.1902669       228.5992      1.9340659      309.51314      2.5831139
             39      251.48956      2.1956531      218.39276       1.988457      293.22295      2.4542855
             40       234.5154      2.0319789      203.37689      1.8439524      273.99669      2.2562407
             41      223.19685      2.1030234       193.7305      1.8997204      260.38088      2.3523612
             42      211.44353      1.9679518      183.54326      1.7804736      246.56115      2.1890643
             43      199.55332      1.9818057      173.37898      1.7856915      232.61012      2.2259976
             44      183.51538      1.6206274      159.08442      1.4535715      214.46231      1.8367526
             45       180.3431      1.9041499      156.74507      1.7109673      209.77789      2.1419922
             46      165.17374      1.5795648      143.35328      1.4324029      192.88932      1.7687883
             47       158.5006      1.5936701      137.64733      1.4225571      184.69664      1.8378344
             48      150.04063      1.7008129      130.52625       1.522688      174.40589      1.9332238
             49      143.12976      1.7043627      124.25854      1.5298383      166.91753      1.9139679
             50      143.12976      1.7043627      124.25854      1.5298383      166.91753      1.9139679
