# pt_bjet1-CMS-        central        num_err    min (scale)        num_err    max (scale)        num_err
# 1bjet
             30      105.50001      0.2784434      91.348616     0.25187503      123.40657      0.3124293
             50       41.40485     0.15293533      35.922515     0.13890172      48.193166       0.170869
             75      17.096942    0.082034198      14.845628    0.074477868      19.848968     0.09146373
            110      6.7227195    0.044065635      5.8187057    0.039611232      7.8324043    0.050628374
            155      2.5075727    0.021906513      2.1542561    0.019682738      2.9410302    0.025021191
            220     0.67827014   0.0083246941     0.58074186   0.0074947822       0.795048   0.0094798039
            360      0.1036892   0.0031583587    0.087685779   0.0027716717     0.12288932   0.0037165334
            600      0.1036892   0.0031583587    0.087685779   0.0027716717     0.12288932   0.0037165334
