#   y_bbZ-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5    0.038284448    0.038282533    0.022590551    0.022589421    0.068869095    0.068865652
           -4.9     0.11393701     0.12522736     0.10186416     0.16157865     0.11742421     0.11890538
           -4.8     0.40392136     0.23267427     0.34455393     0.19052476     0.46175787     0.27747239
           -4.7      4.5305187      1.0152501      3.6079124      0.8571909      5.7451063       1.188539
           -4.6      7.8808893      1.0059569      6.4026213     0.82593537      9.6563347      1.2328204
           -4.5      23.286614      2.0405526      18.949665      1.6731023      28.571811      2.5408642
           -4.4      42.885164      2.7913868      35.370814      2.3045821      51.928811      3.4364729
           -4.3      93.576316      8.2936261      77.766328      7.2867205      112.24843      9.2111329
           -4.2      143.30062      6.4781493      118.18566      5.4521644      173.80763      7.5304048
           -4.1      252.87379      7.1747456      209.50599      6.2334559      306.11494      8.1785936
             -4      349.28381      9.5512745      291.18745      8.2758573      419.69166      10.969849
           -3.9      493.39786      7.9299859      410.61381      6.7551732       595.8962      9.4099832
           -3.8      655.58948      9.2960904      547.79689      8.0936952      788.36053      10.821581
           -3.7      840.43466      10.492614      701.56048      8.9942524      1014.4472      12.413837
           -3.6      1063.4033      11.970167      890.63169       10.16772      1278.4372      14.369212
           -3.5      1307.1728      13.190676      1095.7078      11.321589      1571.4737      15.570342
           -3.4      1537.4935      14.527077      1290.2535      12.547035      1847.1223      17.111154
           -3.3      1811.2351      15.102286      1520.7589      12.959133      2175.6563       17.91406
           -3.2      2046.6182      16.871501      1719.5111      14.576477      2458.2248      19.996692
           -3.1      2355.1279      18.164875      1980.3843      15.621899      2826.9091       21.51236
             -3      2589.9337      18.742625      2176.1549      16.176351      3112.3739      22.018035
           -2.9      2856.7134      19.703975      2401.7989      17.032262      3432.0959      23.104825
           -2.8      3063.5767      21.644163      2573.9812      18.559107      3684.5965       25.63565
           -2.7      3358.3297      24.777317      2825.5784      21.109727      4032.0665      29.633568
           -2.6      3520.8661      21.900218      2961.4453      18.908805      4230.4694      25.996617
           -2.5      3774.4861      25.533273       3180.283      22.060491      4523.6682      30.109387
           -2.4      3939.8193      25.014072      3314.2662      21.305772      4733.5448      30.116517
           -2.3      4109.8392      26.393245      3456.2286      23.066908      4936.7764       31.13311
           -2.2      4296.1345      26.475007      3613.5771      23.127168      5160.5481      31.540242
           -2.1       4399.527      26.173833      3696.9412      22.949002      5288.3943      30.892888
             -2      4594.1174      28.284818      3866.7311      24.833183      5513.8716      33.473491
           -1.9      4652.7581       26.49625      3909.9878      23.089477      5591.7063      31.544741
           -1.8      4796.3906       27.43712      4036.7399      24.235138      5754.7743      31.867491
           -1.7      4873.0274      26.611109      4095.1852      23.228243      5861.2783      31.018383
           -1.6      4987.2556      29.602431      4198.2969      25.803425      5983.7915      34.540606
           -1.5      5032.5639      27.683851      4233.1658      24.224706      6042.1674      32.757989
           -1.4      5133.8577      29.111929      4319.5389      25.338781      6164.1653      34.150645
           -1.3      5229.0049      32.690925      4400.2262      28.288613      6275.8305      38.556837
           -1.2      5284.8072      29.694889       4447.573        25.6446      6341.0103       35.32598
           -1.1       5282.959      32.368032      4442.8911      28.137071      6344.4403      37.884892
             -1      5321.7543      31.107517      4474.7021      26.838697      6393.8385      36.646852
           -0.9      5373.7555      30.157326       4513.621      25.706104      6464.0119      36.195798
           -0.8      5324.4211      28.545842      4473.9809      24.783775      6401.1172      33.450395
           -0.7      5375.5415      30.069007      4515.0343      26.008147      6465.0607       35.43775
           -0.6      5388.0436      31.167369       4527.449      27.304639      6477.8303      36.742249
           -0.5      5453.8509      29.841647      4581.8484      25.843663      6558.0619       35.16437
           -0.4      5470.7305      34.751193      4598.8554      29.936708      6570.4013      41.181026
           -0.3      5403.6465      29.084387      4535.6392      25.332088      6504.1505      33.902719
           -0.2      5455.7051      31.606794      4582.5686       27.50847      6561.3211      36.826282
           -0.1      5518.8095      32.928519      4636.5376      28.743991      6634.2288      38.331912
              0      5477.1964      30.884002      4602.5231      27.061005      6582.6564      35.880615
            0.1      5404.5736      30.158251      4541.0209      26.348203      6497.1191      35.237287
            0.2      5441.1765      33.290362      4573.2578      29.449011      6539.4723      38.169436
            0.3      5416.8337      31.562872      4546.2767       27.20134      6520.8463       37.39958
            0.4      5444.8772       32.93412      4576.6027      28.973188      6542.2972      38.222084
            0.5      5376.1827      30.594277       4521.118      26.734572      6454.2379      36.168664
            0.6      5366.6362      30.420424       4510.749      26.116105      6448.2951      36.444003
            0.7      5360.4808      31.044393      4503.8566      26.864488      6446.1687      36.606339
            0.8      5306.4908      29.841377      4461.5894      25.647382      6374.3219      36.119552
            0.9        5288.51      32.456408      4448.6861      28.128909      6348.1768      38.279219
              1      5250.0799      33.351152      4410.3309      29.026057       6315.263      39.233504
            1.1       5168.306      28.119671      4340.3316      24.287057      6218.6536      33.143982
            1.2       5177.972      29.001322      4353.6352      25.202045      6222.1338      34.179377
            1.3      5081.8238      28.254275      4274.9161      24.773306      6099.7646      33.238125
            1.4      5014.6674      28.997355      4214.1455      25.269317      6029.0076      34.768298
            1.5      4983.2502      29.814165      4192.0909      26.084481      5983.5851      35.571769
            1.6      4894.0094      30.632643       4115.359      26.794009      5876.4451      36.178136
            1.7      4760.7161      27.087143      4004.9899      23.948478      5716.6195      31.939581
            1.8      4692.5875      28.968869      3945.2354      25.424601       5641.202      34.228995
            1.9      4564.7511      28.546788       3837.164      25.145729      5487.6767      33.766792
              2      4448.0151      25.967895      3741.7249       22.50632      5341.0118      31.164929
            2.1      4305.1485      25.657292      3620.0942       22.69068      5171.0952       30.36503
            2.2      4086.7678      24.148605      3436.1557      21.218015      4910.7758      28.519343
            2.3      3934.0019      25.927306      3308.4338      22.736023      4726.7513      30.513108
            2.4      3766.8896      24.844525      3169.9102      21.469229      4522.9039      29.338002
            2.5      3562.0857       22.57976      2996.1269      19.569911      4280.0046       26.52861
            2.6       3331.546      24.353797      2803.0173       21.26861      3999.7554      28.166595
            2.7      3095.3602      22.584739      2606.1623      19.618408      3712.2887      26.407309
            2.8      2886.5208      21.564956      2428.4709       18.71965       3464.171      25.200001
            2.9      2576.8593      20.098507      2169.5596      17.252073      3088.5523      24.128878
              3      2300.0953      17.485215      1933.4726      15.838489      2762.1762      19.932326
            3.1      2093.5523      17.520949      1757.9315      15.019458      2515.4619      20.829832
            3.2      1815.1756      18.179297      1525.2499      15.231025      2178.3054      22.367056
            3.3      1567.1039      14.474517       1316.437      12.496722      1878.8763        17.2446
            3.4      1300.1579      13.165319      1088.6977      11.347138      1565.8488      15.533496
            3.5      1078.2656      11.939235      903.30318      10.291533      1295.6498      13.997439
            3.6      842.67373      10.835372      701.94572      9.2671687      1019.8084      12.831064
            3.7      658.55333       10.29719      550.21699      8.9432678       792.1297      11.944391
            3.8      492.44799      8.3111415      411.06309      7.1077396      592.16463      9.7946197
            3.9      337.24423      6.5675531      279.29754      5.5588239      409.39523      7.8462138
              4      248.30051      9.4178141      207.28416      8.2787052      297.29541       10.54821
            4.1      142.13549      5.3643689       117.6185      4.6444185      172.17032      6.1968411
            4.2      86.422841      4.1864633      71.328193      3.5396752      104.61055      4.9703366
            4.3      52.678944      7.1644579      42.787963      5.8251307      64.884896      8.6021802
            4.4      21.211718      2.3134768      17.531175       2.029787      25.743368      2.7053313
            4.5      8.5306693      1.1217018       7.042108     0.90554017      10.078331      1.6067596
            4.6      3.0514652     0.60950255      2.4028623     0.49394604      3.8249941     0.74106861
            4.7     0.31307382      0.1547927     0.23474508     0.12071224     0.44203446     0.20958727
            4.8    0.060748031    0.079085427    0.046827756    0.057102208    0.085300198     0.12012627
            4.9   -0.034087597    0.034085894   -0.066901575    0.066898229   -0.018561024    0.018560095
              5   -0.034087597    0.034085894   -0.066901575    0.066898229   -0.018561024    0.018560095
