#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      22.325673     0.70334898      19.063187     0.61203208       26.90405     0.82555088
              1      66.844367      1.4051729      57.423504      1.3246914      79.813161      1.4631607
              2      110.96332      1.7929621      95.077441      1.5998198      133.09451      2.0332063
              3       154.1661      2.2603473      132.28362      2.0450106      184.48538      2.5769897
              4       195.7313      2.1908794      167.52931      1.9821122      235.21443       2.463491
              5      244.06935      2.9053807      209.31505      2.5958895      291.91683      3.3289951
              6      285.16458      2.9012321      244.74328      2.5689915      341.43412      3.3976848
              7      337.77571      3.4932894      289.65626      3.1251826      404.09175      3.9524419
              8      379.80105      3.1255744      325.34756      2.7925093      455.15446      3.5765743
              9      427.65446      3.4498468       366.6774      3.0853249      512.07956      3.9453488
             10      476.28706      3.7602876      408.33128      3.3737467      570.34415      4.2397362
             11       527.1173      3.9391535      452.13488      3.5371032      630.85456      4.4758266
             12      585.64962      4.3902381      502.97337      3.9437469      699.41053      4.9558964
             13      630.96028      4.5086769        541.114      4.0608067      754.57193      5.0555152
             14      688.13509      4.4981482      590.60062      4.0365244      822.12749      5.0863418
             15      751.76461      4.9534698      645.73794      4.4380019      897.50727      5.6231834
             16      794.41958      4.8392027      681.98828      4.3129134      949.23973      5.5993372
             17      853.32648      4.9012371      732.79926      4.3911407      1018.5996      5.5799488
             18      915.90698      5.3002477      787.54893      4.7467484      1091.9871      6.0821708
             19      978.37377      5.6449438       840.4763      5.0298146      1167.4327      6.4951417
             20      1029.8603      5.4091991      886.20265      4.8721475      1226.8428      6.1223002
             21      1090.0335      5.4480247       937.4052      4.8705193      1300.0204      6.2772576
             22      1150.5828      5.7751039      989.52183      5.1796795      1371.6938      6.5665641
             23      1197.5278      5.5751271      1029.7226      4.9701443      1428.3588      6.4337092
             24      1261.3564      5.7834388       1084.946      5.1733043      1504.1795      6.5957916
             25      1322.3966      6.0216889       1137.705      5.3784167      1577.5416      6.9282675
             26      1368.9875      5.7063647       1178.441      5.0886192      1632.0541      6.6044557
             27      1416.9094       5.746213      1220.4179      5.1161552      1688.8961      6.6677583
             28      1462.2612      5.9218912      1258.9399      5.2600495      1745.5521      6.9121337
             29      1512.7785       5.827751      1302.7905      5.1736504      1805.6355      6.8369882
             30      1552.4421      5.8134466      1336.6292      5.1386412      1854.5766      6.8363459
             31      1580.5137      5.5656598      1360.6861      4.9079847      1889.0819      6.6080426
             32         1609.4        5.73099      1385.9706      5.0417076      1924.4513      6.8147924
             33      1625.5253      5.6112256       1399.808      4.9151305      1945.6989      6.7757677
             34      1636.6537      5.5811998      1409.4773      4.9246809      1962.1474      6.6700033
             35      1637.6177      5.5906545      1409.7982      4.9183648      1964.0511      6.6684807
             36      1622.1217      5.4403815      1396.1545      4.7698818      1949.0249      6.5762853
             37      1595.1418      5.6531705      1373.4351      4.9646109      1915.1136      6.8159357
             38      1541.6977      5.1979213      1325.9011      4.5637379      1854.0083      6.2834949
             39      1475.8406      4.9788272      1269.5631      4.3519026       1772.674      6.0824954
             40      1397.1926      4.8925357      1201.7044      4.2965677      1676.7857      5.8862655
             41      1330.3277      4.7566941      1145.2145        4.22277      1591.5373       5.615874
             42      1242.3369      4.5646634       1067.941      4.0423935      1486.3193      5.3774013
             43      1155.5273      4.4806964      994.07291      3.9917874      1379.1403      5.2060445
