#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      624.30221      11.795308      532.94841      10.042061      761.11675       14.53373
           -4.9      733.88441      11.881569      628.72218      9.9057609       891.0216       15.18968
           -4.8      902.67318      13.805147      773.11868       11.83615      1096.7891      17.011872
           -4.7      1090.1618       15.02884      936.39827      12.918684      1317.6542      18.512488
           -4.6      1220.7223      18.206175      1048.4547      15.095307      1473.9335      23.304449
           -4.5      1428.0683      17.770139      1227.9978      15.108341      1721.7041      22.409314
           -4.4      1647.0875      19.646262      1419.3998      16.887362      1976.2188      24.200115
           -4.3      1888.7004      20.664573      1623.4268      17.825419      2269.6616      24.945589
           -4.2      2126.1733      23.230228      1830.5764      19.623774      2553.0635      29.024624
           -4.1      2344.5143      22.535686      2021.8003      19.353196       2805.401      27.587717
             -4      2609.8935      22.791295      2251.4496      19.712114      3119.4145      27.643643
           -3.9      2880.0442      24.417457      2481.8888       20.85602      3446.7096      30.024398
           -3.8      3157.0124      24.270947      2723.9402      20.771265       3763.813      30.217717
           -3.7       3413.194      26.279863      2952.4345      23.085159      4060.7416      31.320122
           -3.6      3744.7115      27.594645      3235.5541      24.117677      4459.0192      33.243007
           -3.5      4055.1745      28.331162      3504.5867      24.822055      4821.1556      33.576175
           -3.4      4359.0967      31.059798      3766.2281      27.301512        5182.15      36.612153
           -3.3      4654.0876      32.318526      4017.9356       28.45927      5536.5239       37.89804
           -3.2      4933.0123       35.04335      4260.1352      30.732118      5866.6191      41.499928
           -3.1      5152.5998      32.545773      4448.0612      28.702888      6130.9143      39.060206
             -3      5450.1199      34.074836      4708.3777      30.230991      6467.1614      39.607166
           -2.9      5665.1947      33.419088      4890.6144      29.718372      6728.7732      39.044258
           -2.8      5954.8785      33.077533      5135.7477      29.478179      7079.8696      38.651801
           -2.7      6184.8756      36.938091      5333.5528      32.763802      7354.7229      43.079041
           -2.6      6461.1985      36.544641      5562.7651      32.414425      7698.7586      42.758037
           -2.5      6716.3839      35.135483      5778.6761       31.01202      8003.1462      41.660793
           -2.4      6933.6991      38.674669      5969.6512      35.019076      8253.9284      43.933922
           -2.3      7175.4721      36.704217      6169.7086      32.608441      8559.7299      42.903753
           -2.2      7422.7714      37.353047      6379.3432        33.3193      8856.2467      43.300018
           -2.1      7655.9605      39.673222      6577.9583      35.332471      9131.2247      46.068742
             -2       7705.754      35.915765      6606.8335      31.785107      9208.4075      42.247808
           -1.9      7975.1754      40.347681      6843.0646      36.350379       9513.541      45.680126
           -1.8       8220.523      41.856411      7051.8734      37.443618      9820.6847      48.243468
           -1.7      8353.9015      41.662766      7162.4829      37.289993      9971.7713      48.263553
           -1.6      8530.4984       41.28287      7309.6779      36.767467      10189.871      47.705257
           -1.5      8761.1938      43.744818      7502.0795        39.1898      10466.364      49.748202
           -1.4       8859.469      42.814188      7580.9768      38.050008      10599.021      49.579916
           -1.3      8951.0882      40.440602      7655.7795      36.175414      10709.478       46.43501
           -1.2      9085.4276      41.731514      7760.0891      37.310133      10885.278       47.73926
           -1.1      9292.1676      43.042405      7943.3498      38.591104      11128.482      49.276053
             -1      9295.4189      41.273645      7941.1065      36.657291      11134.996      48.396731
           -0.9      9479.3391      44.639419      8093.3193      39.777939      11369.395      51.523152
           -0.8      9603.8367      44.745211      8200.9203      40.063163      11502.693      51.068641
           -0.7      9545.1416       44.51332      8152.4449      39.920355      11431.378      50.669235
           -0.6      9636.4077      44.627913      8225.1792      40.243256      11547.429      50.831333
           -0.5      9701.5739      41.581382      8271.6287      37.256938       11642.47      47.715068
           -0.4      9769.8728      43.579359      8337.8588      39.123325      11707.109      49.814438
           -0.3       9926.829      47.176472       8480.517      42.414381      11873.279      53.774914
           -0.2      9819.6038      42.616171      8374.7381      38.116259      11770.113      48.989807
           -0.1      9807.2223      43.869005      8361.8087      39.367678      11763.607      50.037769
              0      9718.8651      42.885575       8280.646      38.152112      11677.529      49.871235
            0.1      9806.1252      44.874282      8361.2364      40.326138       11769.15      51.145841
            0.2      9777.9057      41.823492      8333.7608      37.177528      11738.352       49.03736
            0.3       9718.065      41.262057      8290.8537      36.880552      11648.909      48.117898
            0.4      9710.0192      43.643398      8277.1708      38.986418      11654.688      50.469077
            0.5      9718.3568      44.836051      8302.5215      40.390255      11628.524      51.127056
            0.6      9643.8347      44.000694      8227.8139      39.376158      11569.629      50.749057
            0.7      9516.9503      43.919478      8128.2316      39.327415      11399.961       50.12629
            0.8      9394.2785      41.474721      8019.9021       36.94572      11261.484      48.188905
            0.9      9298.3302      43.545251      7940.5955      38.905633       11143.54      49.937604
              1      9228.0629      40.852939      7883.8667      36.575065      11057.962      46.981582
            1.1      9067.7917      43.151305      7749.9535      38.571494      10857.309      49.523011
            1.2      8988.5123      43.195076      7690.2658      38.762945      10754.025      49.246973
            1.3      8841.4349      42.735377      7558.9882        38.1482      10588.266      49.547675
            1.4      8672.5369      42.709393      7423.2322      38.273766      10373.816      48.917417
            1.5      8519.4617      41.907786      7287.9061      37.116446        10198.3      48.944274
            1.6      8393.8611      42.817924      7187.8007      38.353211      10036.635      48.811433
            1.7      8189.0458      40.713709      7021.7396      36.328899      9784.6812      47.100376
            1.8      7975.7451      40.250933      6841.1173      35.793081      9519.4905      46.749193
            1.9      7836.0096       39.86514      6727.3485      35.493199      9337.6658      46.136557
              2      7562.8066      39.011596      6499.7902      34.861296      9010.8454      44.962356
            2.1      7380.1751      37.485643      6344.3415      33.489804      8791.3157      43.219165
            2.2      7124.9697      38.531956      6126.7613      34.041003      8486.2111      45.255107
            2.3      6945.9868      36.943335      5975.7113      33.000587      8274.5298      42.427673
            2.4      6683.6155      36.719696      5756.3752      32.771268      7952.0258      42.741389
            2.5      6479.9335      37.336264      5582.1445      33.121323      7715.1661      43.563841
            2.6      6202.3507       34.63048      5342.2428      30.618488      7386.3129       40.92859
            2.7      6025.4017       38.00996      5201.8792       34.09054      7149.1776      43.498825
            2.8      5684.4149      32.477495      4904.1375      28.783113      6757.2113      37.928736
            2.9      5404.7834      33.343349      4665.7248      29.416035       6427.121      39.603575
              3      5098.9084      31.287401       4396.683      27.772108      6073.8944      36.620473
            3.1      4901.0194      32.248003       4227.629       28.62015      5839.3749        37.4718
            3.2      4580.0673       31.04911      3953.2856       27.26855       5448.501      36.688068
            3.3      4262.2505      30.042107      3685.3928      26.518615      5066.4536      35.790907
            3.4      4063.8411      29.598315      3511.0157       26.02176      4835.6948      34.957209
            3.5      3745.1449      28.789627      3233.2157       25.09172      4460.3346      34.191949
            3.6      3493.2142      28.709641      3014.8489      25.225767      4164.2709      33.701747
            3.7      3169.2571      25.507472      2734.7043       22.35256      3784.4077      30.340866
            3.8      2881.6821      23.941526      2489.4332      21.065038      3438.0581      28.502885
            3.9      2651.3282      24.345043      2288.1999       21.68899      3165.4227      28.192457
              4      2373.9763      23.860876      2047.8011      20.450771      2845.3691      29.646653
            4.1        2119.64       22.10051      1822.9259      19.004577      2551.7702      26.887652
            4.2      1880.7277      20.316576      1619.9777      17.739005      2261.8258      24.245882
            4.3      1657.0232      18.652902      1425.8194      15.931964      1992.5988      23.304132
            4.4      1457.9218      17.899214      1254.4375      15.255597      1751.3453      22.172832
            4.5      1248.9385      17.330453      1074.6113      14.700404      1504.0561      21.951385
            4.6      1064.0803      17.721483      913.12645      15.027069      1286.0642      21.994201
            4.7      946.13347      16.184498      811.56692      13.992691      1147.4597      19.955214
            4.8      741.29408      12.150024      632.74736      10.282755      905.08625      15.286734
            4.9      633.80525      12.778425      542.18204      10.761078       770.9905      16.058229
              5      633.80525      12.778425      542.18204      10.761078       770.9905      16.058229
