#  pt_bbZ-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      25.371737     0.31707369        21.7396     0.28594559      29.813047     0.34973489
              5      94.955406     0.61135313      80.783922     0.54828533      112.79328     0.68442714
             10      197.22822     0.84443141      167.36537     0.75287644      234.76577     0.94987007
             15      340.67261      1.0667758      289.36946     0.94973226      404.18448      1.2046982
             20      526.34305      1.3793906      448.35319      1.2257236      621.05674      1.5590659
             25      598.22883      1.4810926      509.87057      1.3199733      705.61487      1.7178155
             30      585.15526      1.4756906      498.11517      1.2872315      693.09186      1.7243833
             35      528.00634      1.3566132       447.8226       1.177555      627.62029      1.5893053
             40      453.79117      1.2673191      383.22702      1.0979063      541.97216       1.486483
             45      380.40854      1.1276148       320.1077     0.98327423      456.18018      1.3117735
             50       320.0932     0.98814862      268.33727      0.8589733      385.41578      1.1552681
             55      268.27878     0.87428615      224.07993     0.75197583      324.40502      1.0392443
             60      226.25264       0.847941      188.37304     0.73142487      274.56606      1.0046648
             65       193.3896     0.77824665      160.48924     0.66842545      235.58808     0.92319523
             70      163.91492     0.69637628      135.63914     0.59606694       200.3137     0.84017055
             75      140.50842     0.61459978      115.95087     0.52114827      172.25463     0.74873034
             80      121.72628      0.5784362      100.15894     0.49036878      149.72933     0.69961368
             85      104.76636     0.51920637      85.907026     0.43710011      129.40614     0.63575228
             90      91.977896     0.53861921      75.416128     0.45377842      113.52338     0.65840975
             95      80.407006     0.48668551      65.713427     0.40936265      99.652904     0.59268031
            100       69.22204     0.41849809      56.469481     0.35069303      85.939029     0.51465467
            105      61.053647     0.40772644      49.797244     0.34462099      75.791664     0.49621499
            110      54.148779     0.43701793      44.042112     0.36590163      67.427347     0.53454401
            115      47.230407      0.3650103      38.349113     0.30945488      58.925549     0.44014084
            120       42.24069     0.35318278      34.269848      0.2975904      52.735921     0.43039469
            125      37.595145      0.3301186      30.454161     0.27559968      47.022224     0.40408555
            130      33.430424     0.34754461      27.094474     0.29289768      41.770633     0.42473562
            135      29.766977     0.31088382      24.092618     0.25407457      37.255645     0.39527852
            140      25.678431     0.25967146      20.802406     0.23403916      32.069492     0.30292104
            145      24.607079     0.33948483      19.912328     0.28754327      30.833457     0.41032707
            150      21.063619     0.25467971      17.019031     0.21619719      26.396092     0.30798735
            155      19.212392     0.32352943      15.506083     0.26567295      24.103625     0.40525695
            160      17.209129     0.25365345       13.92542     0.21141656      21.517329     0.31430296
            165      15.286929     0.19447614      12.306721     0.16042802      19.232526      0.2455178
            170      14.324514     0.30293616       11.55849     0.25968435      17.983901     0.36036927
            175      12.589672     0.15943209      10.116862     0.13508105      15.866951      0.1943471
            180      11.352054     0.20280553      9.1369393     0.17036815      14.281163     0.24791391
            185      10.121342     0.16012995      8.1149681     0.13279567      12.785706     0.19949431
            190      9.1967664      0.1429968      7.3624626      0.1198408      11.645192     0.17700396
            195      8.3442791     0.13851353      6.7199774     0.11630723      10.482489     0.17373475
            200      8.0136799     0.19799964      6.4492397     0.15918781      10.068424     0.25743354
            205      7.0857387     0.13500114      5.6982558     0.11424932      8.9088198     0.17241749
            210      6.3121402     0.10597701       5.095589     0.09679211       7.884798     0.15892463
            215       5.653758     0.10367271      4.5421661    0.086733439      7.1120744      0.1306234
            220       5.445795     0.17776352      4.3612083     0.14853616      6.8795547      0.2158001
            225      5.0092018     0.10986059       4.006561    0.092944272       6.341699     0.13359291
            230      4.5323487     0.11035866      3.6191076    0.092730544      5.7488902     0.13561537
            235      4.2007199     0.12761026      3.3595201      0.1051386       5.319019     0.16211435
            240      3.7958248    0.087801308      3.0401224    0.073313564      4.7983863     0.10978221
            245      3.4156189    0.080983949      2.7200779    0.068217059      4.3451591    0.099243236
            250      3.3335129     0.11982604      2.6679589     0.10205829      4.2146293     0.14468113
            255      3.2091836     0.13410479      2.5911338     0.11354084       4.016103     0.16353339
            260      2.6859121    0.065557618      2.1457061    0.054715367      3.3965125    0.082380347
            265      2.5053628    0.058219255      2.0058689    0.047901014       3.161073    0.074936503
            270       2.269377    0.056819534      1.8048594    0.044647197      2.8871766    0.079632894
            275      2.2323103    0.063275555      1.7915116    0.052549032      2.8067201    0.079894356
            280      2.0347766    0.058694763      1.6255955    0.048680051      2.5696024     0.07437648
            285      1.9222677      0.1377802      1.5501435     0.11381132      2.4024727       0.171641
            290      1.7006963     0.05665194      1.3578929    0.046701589      2.1521118    0.071537217
            295      1.5190246    0.041211627       1.200819    0.032798213      1.9458779    0.054742457
            300      1.5341956    0.047941396      1.2238969    0.039765834      1.9440294    0.061090121
            305      1.3554449     0.05259326      1.0946014    0.043752317      1.6859568    0.066599407
            310      1.3234986     0.05061319      1.0543116    0.042177419      1.6807433    0.063096136
            315      1.3224232     0.11666695      1.0420658    0.091424949      1.7031303     0.15204202
            320      1.3891876     0.14588169       1.111089     0.11702547      1.7513019     0.18412164
            325      1.0178733    0.050333949     0.81940717    0.043783466      1.2764386    0.060408579
            330      1.1143527     0.07984524     0.89640776    0.067603245      1.3974616    0.096188236
            335     0.98500332    0.040993992     0.78771504    0.034301541      1.2432286    0.051425657
            340     0.79621698    0.029573045      0.6343159    0.023513432      1.0070323    0.039886561
            345     0.90707401    0.060162524     0.73267809    0.056741166      1.1299288    0.062503512
            350     0.69903588    0.026159497      0.5540466    0.020562807     0.88997009    0.035642496
            355     0.72809202    0.041155605     0.58490373    0.035680116     0.91289067    0.049775641
            360     0.81579236     0.13431455     0.69187085     0.12380993     0.94789054     0.15020611
            365     0.64274338    0.057388514     0.51594567    0.047265742      0.8073063    0.071714436
            370     0.52362724    0.022988789     0.41288636    0.018019847     0.67127258    0.031872296
            375     0.57548197    0.031626281     0.45594709    0.026304774     0.73344924    0.039942366
