#         pt_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2432.1649      3.0688441      2067.2091      2.6733126      2965.8706      3.7773114
              5      3152.5247      3.4429749      2690.3068      3.0581774      3803.6828      4.0293167
             10      2067.8777      2.8450513      1772.2017      2.5411379      2470.7931      3.2604486
             15      1304.6795      2.3376774      1122.5985      2.0956418      1546.7086      2.6527352
             20      844.56671      1.8824893      728.90736      1.6917827      995.79489      2.1252434
             25      567.06473      1.5380306      490.36085      1.3857443      666.06613      1.7276962
             30      397.47248      1.2673243      344.27882      1.1417135       465.4413      1.4256732
             35      283.29341      1.0509257      245.47093     0.94422648      331.34965      1.1806099
             40      210.48516     0.88680851      182.81402     0.79854786      245.31969      1.0031445
             45       157.4806     0.76183099      136.79166     0.68938865      183.45261     0.84896884
             50      122.39235     0.69335529      106.36368     0.62085163      142.44665     0.78136138
             55       94.88779     0.58627684      82.405024     0.52766317      110.48043        0.65883
             60      75.775785     0.50472614      65.931818     0.45717162      88.000122     0.57664642
             65       59.96844     0.41870385      52.151814     0.37743844      69.737607     0.47416721
             70       49.45401     0.36376369      43.033722     0.32854338      57.510195     0.40983173
             75      40.521702     0.41521914      35.195048     0.37274559       47.22157     0.46790509
             80      33.569049      0.3069825      29.134326     0.27866534      39.153856     0.34451146
             85      27.306009     0.27377424      23.700949     0.24582648      31.816672      0.3137984
             90      23.492834     0.30155905      20.345763     0.28756483      27.450369     0.32040832
             95      19.772846     0.22483106      17.119952     0.20108941      23.092999     0.25899451
            100      17.235016     0.25272338      14.905961     0.22293522      20.131384     0.29288379
            105      14.583358     0.19613842      12.614027     0.17453387       17.03033     0.22712074
            110      12.389876     0.18542358      10.662553     0.16348221      14.556885     0.21578716
            115      10.899638     0.21439361      9.3732239     0.18761989      12.805574     0.25670166
            120      9.2368049       0.156869      7.9581957     0.14176033      10.825077     0.17731798
            125      8.6734875     0.21559498        7.52702     0.19690913      10.040968     0.23907471
            130      7.1106457     0.12304478      6.0942704     0.11043859      8.3884162     0.14114062
