#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       101.4472      1.6886362      86.442069       1.415665      129.27285      2.3347245
              1      315.09737      3.2236762      269.11945      2.7242905       398.9574      4.3064019
              2      508.09371      3.8276514      433.99912      3.2065235      640.97276      5.2122495
              3      682.87153      4.6615088      584.94965      3.9203899      856.18288      6.2094893
              4      844.84078      4.9567439      724.62278      4.2587591      1054.4863      6.3081328
              5      987.60903      5.3074117      848.04679      4.5241267      1226.0266      6.8100852
              6      1099.6689      5.4778145      945.06275      4.7746594      1354.6884      6.7239919
              7      1188.5824      5.7347564      1022.1684      5.0163594      1459.2108      6.9731965
              8      1272.2661      5.8610131      1094.6929      5.1278077      1553.2365      7.0790082
              9      1324.4633      5.8822181      1141.4249      5.1681167      1608.3678      7.0300793
             10      1371.0893      5.8234486       1181.106       5.100831      1660.6825      6.9824392
             11       1387.933      5.6635465       1195.813      4.9974788      1677.4559      6.7092972
             12      1403.0431      5.8338023      1210.0333      5.2147498      1686.9162      6.7554369
             13      1401.7529      5.7549537      1209.2895      5.1404741      1681.2453      6.6349724
             14      1403.7199        5.85229      1211.5576      5.2221069      1679.2288      6.7430711
             15      1398.8364      6.0501108      1206.6549       5.376133      1670.5758      6.9752464
             16      1374.0362      5.6442517      1185.4193      5.0356984      1638.9233      6.4965876
             17      1356.1737      5.8144374      1171.4795      5.1917251      1612.0306      6.6621077
             18      1329.7394      5.6785649      1148.4345      5.0794518      1578.9965      6.4856911
             19      1284.2243      5.0915222       1108.024       4.542325      1524.9889      5.8602036
             20      1266.2322      5.5949608       1093.762      5.0330313      1498.5229      6.3015818
             21      1243.1297      5.5069411      1073.6759      4.9294134      1469.7763      6.2435548
             22      1200.5658      5.2497407      1036.6131      4.6865873      1418.0395      6.0153866
             23       1159.073      4.7702068      1000.2577      4.2769145      1369.5646      5.4371199
             24      1130.8732      5.0557703      975.37182      4.5468485      1336.0872      5.6805188
             25      1087.2046      4.5118621      937.62163      4.0538178      1283.6908      5.0850471
             26      1067.0142       4.779617      920.53551      4.3200733      1257.7081      5.3339345
             27      1031.1595      4.8362595      890.27343      4.3734922      1214.4502      5.4026125
             28       994.0552       4.494249       856.7505      4.0364225      1172.4172      5.0732506
             29        966.432      4.4613481        833.743      4.0456126      1137.4871      4.9657464
             30      925.63955      4.3225063      798.12755      3.8990411       1089.379      4.8321964
             31      898.77747      4.1980765      774.27945      3.7905244      1058.7972      4.6862386
             32       856.3542      3.8378523      737.76103      3.4555034      1008.0962      4.3742328
             33      829.11035      3.9437387      713.86797       3.560699      976.60049      4.3919519
             34      808.25908      4.0440947      696.10947       3.636684      951.02966      4.5531809
             35      780.30363      4.0158119      670.61997      3.6005206      921.07736      4.5357036
             36      741.75411      3.7994689      638.08076      3.4518451      873.95729        4.25545
             37      717.25751      3.5733451      616.34214      3.2251623      845.73077      4.0069445
             38      693.64729      3.6049003      595.72165      3.2409281      818.22923      4.0591172
             39      663.53855      3.3852707       569.2478      3.0309464      783.81272      3.8400905
             40      643.10729      3.4354238      551.83495      3.0741171      759.32999      3.9281985
             41      615.74336      3.4201911      527.98327      3.0621297      727.12048      3.8383598
             42      588.66907      3.0375731      504.59269      2.7212713      695.57658      3.4326789
             43      569.21759      3.1842053      488.04652      2.8842121      672.18759      3.5379359
             44       549.9447      2.8561707      470.96648      2.5635735      650.20459      3.2221159
             45      532.64936      2.9278388       455.8912      2.6302711      630.45321      3.2999487
             46      513.20284      2.9412666      439.33394      2.6745079      606.98565      3.2626403
             47      488.77902       2.845948      417.51158      2.5173082      579.57186      3.2875566
             48      474.06334      2.6760231      404.81687      2.3652227      562.28202      3.0837671
             49      457.93913       2.567235      391.08522      2.3060229      542.65437      2.8984301
             50      457.93913       2.567235      391.08522      2.3060229      542.65437      2.8984301
