#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5        801.464      12.438048      683.22837      10.589184      982.31965      15.498081
           -4.9      930.56414      14.551248      795.20367      12.288191      1136.2129      18.258251
           -4.8       1084.396      15.958956      927.36912       13.71925      1318.5388      19.604255
           -4.7      1222.5022      15.890519      1048.3095      13.197912      1480.5053      20.469152
           -4.6       1436.748      17.295985      1232.2372      14.599332      1739.9795      22.210228
           -4.5      1611.7423       17.88466      1384.9391      15.114421      1946.8876      22.588363
           -4.4       1860.615      21.399272      1594.9302       18.30976      2251.6067      26.255642
           -4.3      2056.7322      20.207864      1766.7469      17.514239      2477.6903      24.788745
           -4.2      2257.8505      21.070031      1938.6368       18.05707      2717.8363      25.833862
           -4.1      2515.8636       22.55438       2168.283      19.715464      3011.6322      27.121575
             -4      2763.7799      25.955792       2380.829      22.136594       3315.104      32.092088
           -3.9      3043.3252      26.394954      2622.4094      22.723514       3636.601      32.481456
           -3.8      3332.6629      26.600353      2869.6233       23.09971      3986.6733      31.941692
           -3.7      3564.2809      25.532109      3071.3674      21.985547      4264.2149      31.714561
           -3.6      3762.3504      26.219593      3244.3375       23.14034      4487.0704      30.857558
           -3.5      4042.9049      27.966638      3491.5746      24.790502      4804.7508      32.606648
           -3.4      4394.1049      29.737276      3792.5922      26.165091       5229.871      35.406023
           -3.3      4632.5157      32.387384      3992.6632      28.515684      5524.1576      38.049568
           -3.2      4951.9588      33.187962      4272.4979      29.358077      5890.0327      38.757969
           -3.1       5188.854      32.143937      4475.8576      28.612626      6175.6175      37.361343
             -3      5483.0232      34.400442      4729.6003       30.56226      6517.0236      40.166256
           -2.9       5674.034      32.478167      4891.1337      28.777945      6749.7113       37.94782
           -2.8      5932.8305      34.248219      5114.7307      30.367964      7054.1038      40.170905
           -2.7      6177.6664       35.65165      5320.3002      31.754102      7354.3734      41.134874
           -2.6       6434.297      35.527673      5537.9261      31.710547      7664.6507      40.891638
           -2.5      6653.7803      36.262303      5723.4272      31.927978      7926.9554      43.109048
           -2.4      6827.1399      36.326705       5872.138      32.620286      8135.7199      41.818868
           -2.3      7158.9727      36.673634      6157.6932      32.777975      8519.2402      41.911002
           -2.2      7346.1699      37.511308      6316.7915      33.258048      8753.6843      44.102552
