# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2887.3788      23.542744      2504.3924      21.354438      3383.9429      26.115661
            0.1        1398.84      15.762515      1211.9988      14.267959      1637.7021      17.651942
            0.2      710.69001      10.640903      620.90177      9.4347768      824.18602      12.241619
            0.3      412.22461      7.7590704      362.88591      7.0167537      473.32443      8.6266251
            0.4      263.15269      7.6297726      233.84517      7.1091338       298.6012      8.0691069
            0.5      169.23718      6.4073364      150.39673      5.8619309      192.44524      7.1243186
            0.6      94.658954      3.6021827      84.105614      3.2611108      107.65182      4.0385268
            0.7      57.684431      3.3925318      51.339891      2.9592018      65.572186      3.9998332
            0.8      19.402059      1.5253653      17.630215      1.3358376      21.336966      1.8020943
              1      19.402059      1.5253653      17.630215      1.3358376      21.336966      1.8020943
