# n_light_jets-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS
           -0.5      171.66182        1.44303       152.2619      1.3028691      211.45018      1.8347959
            0.5      2729.8633      6.3762722       2369.391       5.647466      3267.8686      7.7114159
            1.5      14722.496      14.406852      12624.994      12.719527      17499.359      16.967682
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
