#         pt_em        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      119.13416     0.79888802      101.68292     0.72268158      143.21418      0.8962867
              5      368.01175      1.4103356      313.73308      1.2683336      443.14528      1.5947036
             10      640.62693      1.9073084      546.53773      1.7093844      769.95766      2.1657491
             15      938.77921      2.3112033      802.00035      2.0691783      1126.6496       2.630137
             20       1236.659      2.5220064      1058.6951      2.2482267      1481.3208       2.915755
             25      1498.5074      2.5435563      1285.8057      2.2611904      1792.6944      2.9636854
             30       1658.658      2.5056623      1425.7058      2.2202265       1986.895      2.9592815
             35       1597.021      2.3708182      1374.1829       2.089701      1917.6215      2.8496171
             40      1215.5064        1.95352      1046.4731      1.7199768      1452.2881      2.3311883
             45      805.43715       1.530342      693.05011      1.3555188      954.93095      1.7861267
             50      531.05711      1.2302515      456.03734      1.0913634      628.08249      1.4196493
             55      362.70071      1.0221271      310.97067     0.90845236      428.67173      1.1777495
             60      254.52856     0.86898053      217.59616     0.77016722      301.47609     0.99980252
             65       184.9216     0.72273324      157.69517     0.64313171       219.5662     0.83356539
             70      138.26511     0.60368504      117.75512     0.53551133      164.26939     0.69625741
             75      103.30327     0.49479527      87.846122     0.44019778      122.94243     0.57058269
             80      79.778043      0.4344918      67.758759     0.38658312      95.003805     0.50028276
             85      63.350012     0.45282178      53.700465     0.39265959      75.658772     0.53269298
             90      50.133173     0.33566899      42.469318     0.29783393      59.892882     0.38860334
             95      41.315455     0.34730506      34.946939     0.29784639      49.507218     0.41970814
            100       32.75897     0.26158247      27.710416     0.22881048      39.225376     0.30991575
            105      27.066171     0.30171957      22.892396     0.28929631      32.413206     0.31907732
            110      22.713358     0.25255141      19.176684     0.22161209       27.23237     0.29401921
            115      18.907083      0.2688466      15.945957     0.24827884       22.67303     0.29836184
            120      15.642987     0.19929794      13.199812     0.17628194      18.744352      0.2303332
            125      13.182425     0.18410382      11.092532     0.16102642      15.861339     0.21543704
            130       11.38721     0.16171468      9.5792946     0.14162806      13.700712     0.19023306
            135      9.5449371     0.14862314      7.9871834     0.12663131      11.558346     0.18274921
            140      8.2064891     0.12226327      6.8761066     0.10796372      9.9178612     0.14304072
            145      6.9745698     0.10916264      5.8246078    0.095299119      8.4602726     0.12919972
            150      6.1696905     0.11704976      5.1769685      0.1041956      7.4354537     0.14105138
            155       5.291703       0.111837      4.4257519    0.098565844      6.4013176     0.13138244
            160      4.7859303     0.14353251      4.0144756     0.12931043      5.7643005     0.15990794
            165      4.1787101     0.12060742      3.5000375     0.10938001      5.0546294     0.13510946
            170      3.6868239     0.15383055      3.0771533      0.1297627      4.4683785     0.18723761
            175      3.0777795    0.069713303       2.551772    0.060035608      3.7608362    0.083472374
            180      2.8054152    0.080807359      2.3368131    0.070878055      3.4092074    0.095281623
            185      2.5829613     0.14185283      2.1608797      0.1283489      3.1183463     0.15398657
            190      2.3368226    0.085632473       1.954867     0.07744322      2.8269656    0.095625599
            195      1.9075453    0.061541404      1.5967272    0.054388312      2.3045047    0.071797832
            200      1.8418881    0.058875651      1.5450785    0.051830576      2.2182855    0.068857287
            205      1.6150455    0.067133969      1.3543925    0.061236396      1.9483962    0.074605406
            210      1.4548693    0.051533737      1.2469526    0.059203854          1.685     0.10864889
            215      1.1819302    0.076664789     0.99286104    0.060571958      1.4207277     0.10179142
            220      1.1500552    0.058268575     0.95953354    0.052006228      1.3945262    0.065636367
            225     0.98024027     0.04219093     0.81861644    0.036578536      1.1838803    0.050727774
            230     0.92453389    0.048786144     0.77313245    0.042943483      1.1172158    0.056481967
            235     0.77412218    0.034139858     0.63705331    0.029828286     0.95245646    0.040313146
            240     0.74090228    0.039878541     0.61085939    0.034783655     0.91135591    0.046936764
            245     0.69750499    0.033061548     0.57860489    0.028600787     0.84865461    0.040364882
            250     0.64310285    0.039521721     0.54102943    0.034974826      0.7694388    0.045472134
            255     0.61153596    0.040746414     0.50893273    0.034592088     0.74279328    0.049232136
            260      0.4563033    0.026416653     0.38092423    0.022737978     0.54974143    0.032655111
            265      0.4798536    0.031658398     0.40404346    0.028324895      0.5728385     0.03613256
            270     0.43163321    0.027457645     0.35583079    0.024898491     0.52972101    0.031099804
            275     0.36286234    0.026536881     0.29479606    0.022558931     0.45363388    0.032052286
            280     0.46228191    0.065885842     0.39305112    0.060276267     0.54603892    0.072159745
            285     0.33451116    0.034623756     0.27688581    0.029622116     0.40634153    0.041516314
            290     0.36879841    0.072548516     0.30683282    0.062438056     0.44677025    0.083293147
            295     0.27081872     0.01991876     0.22532721    0.017278957     0.33124301    0.023973403
            300     0.28361179     0.02441389     0.23493358    0.020832508     0.34595811    0.029655435
            305     0.31991248    0.036215005     0.27341783    0.032758415     0.37635341    0.040085557
            310     0.19434146    0.019981602     0.15980347    0.016818171      0.2377873    0.024408369
            315     0.19222791    0.020348682     0.18025761    0.025835317      0.1936211    0.021364832
            320     0.21545949    0.031753385      0.1840886    0.029606209     0.25351153    0.034148328
            325     0.19371894    0.023871322     0.16323286    0.021581612     0.23246264    0.026738574
            330      0.1733061    0.025266576       0.147596    0.022853331     0.20286754    0.028104217
            335     0.15210451    0.016148648     0.12568839    0.013761525     0.18535534    0.019432456
            340     0.13228697    0.014301598     0.10826238    0.012232293     0.16467451      0.0173821
            345     0.11301618    0.015617554    0.093434389    0.013800035     0.13754535    0.017899444
            350     0.14262325    0.018188601     0.11888929    0.016175985     0.17123449    0.020813732
            355    0.095670157    0.010358912    0.079091019   0.0086089402     0.11625319    0.013241831
            360     0.10342974    0.016033655    0.087507896     0.01423276     0.12300673    0.018429924
            365    0.099088515    0.011505272    0.080541945   0.0096978615     0.12366386     0.01443385
            370    0.075370374   0.0099340378    0.062004807   0.0080816615    0.092710401    0.012843373
            375    0.079406515    0.010106054    0.066886614   0.0087469727    0.093265945    0.012411115
            380    0.074338149    0.011602669     0.06128621    0.010237483    0.090830669    0.013785018
            385    0.060088779   0.0099588488    0.048496929   0.0085866861    0.075966004    0.012177604
            390     0.08969935    0.023058566    0.079490197    0.020789884    0.099128367    0.025848134
            395    0.070819114    0.014930219    0.061143799    0.011903863    0.080900295    0.020267327
            400    0.067574803    0.014370968     0.05840315    0.013249781    0.077917244    0.015673532
            405    0.022405807    0.025512785    0.018257815    0.036877353    0.023581399    0.018059713
            410    0.064030728    0.013025102    0.052383248    0.010837601    0.079624371    0.016230116
            415    0.059574507     0.01015839    0.049007146   0.0088227745    0.073278543    0.012063154
            420    0.047432598   0.0087502795    0.039142992   0.0072141183    0.057876122      0.0110358
            425    0.050766771    0.014260215    0.041138445    0.012605039    0.063540728    0.016097579
            430    0.036874193   0.0085532524    0.031058071   0.0073336101    0.043785571      0.0103486
            435    0.041027165   0.0075903945    0.034347677   0.0061175255    0.048522005    0.010098242
            440    0.031455807    0.006600439     0.02671508    0.005761225    0.036979193   0.0077641494
            445    0.041824862   0.0082938445    0.035831673   0.0072138065    0.047850354    0.010554485
            450    0.042456594    0.011731166    0.034934764    0.010260628    0.052179625    0.013379448
            455    0.038182225    0.011817327    0.032413248    0.010858638    0.045198091    0.012836817
            460    0.029891004   0.0061246914    0.024675296    0.005269349    0.037197323   0.0075044988
            465    0.037132421    0.020468013    0.032136358    0.018474655    0.042515906    0.022034207
            470     0.01540622   0.0040469649    0.012803878    0.003337533    0.018706831   0.0053133439
            475    0.025895079   0.0049831724    0.020885059   0.0041024982     0.03234187   0.0062266427
            480     0.02244181   0.0077593871    0.018831575   0.0066872122    0.027174252    0.009146808
            485    0.014881988   0.0037324022    0.012628268   0.0031321409    0.017335721   0.0047601682
            490    0.021299783   0.0046634725    0.017665669   0.0038686412    0.025674325   0.0058505689
            495    0.021167795   0.0056138826     0.01764496   0.0051933184    0.026327461   0.0064364139
            500    0.021167795   0.0056138826     0.01764496   0.0051933184    0.026327461   0.0064364139
