#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      24.606669      1.0288937       21.10021     0.94646645      29.378613      1.1027965
              1      70.078776      1.2458114      59.691556      1.1170776      84.504292      1.4572509
              2      118.19474      1.8203232      100.73413      1.6498282       142.4434      2.0311793
              3      167.69112      2.2449263      143.20766      2.0388266      201.42763      2.4924507
              4      215.09949      2.2399429      183.68103      2.0132188      258.31695      2.5382464
              5      266.27525      2.5228761      226.91838      2.2624739        321.087      2.8712539
              6      318.36594      2.9269928      271.29986      2.6349741      383.63879      3.3123009
              7      369.19823      3.4555001      315.08229      3.0871689      443.74577       3.939333
              8      417.70731      3.3223822      356.09051      2.9963974       503.1763      3.7347386
              9      468.51201      3.4755626      399.27435      3.1365407      564.07852      3.9087381
             10      528.77862      4.0674466      451.27825       3.636641      635.34148      4.6263111
             11      585.84884      4.1323527        499.503       3.701341      705.03196      4.6912736
             12      634.36777      4.0681422      540.85094      3.6296211       763.1988       4.649189
             13      698.42829      4.5399387      596.54711      4.0907715      837.91962      5.1261876
             14      755.71116      4.5791302      644.50935      4.0989599      908.29645      5.2076582
             15      820.70836      5.1140028      700.93616      4.6010077       985.1086      5.7737075
             16       878.5414      4.9273245      749.83961      4.3983048      1055.8127      5.6419779
             17      933.29652      5.0433563      797.24048      4.5115771      1120.0364      5.7467868
             18      995.32163      5.1698072      850.29973      4.6103484      1194.7441      5.9229042
             19      1066.0282      5.7165629      911.68577      5.1163636       1277.546      6.4930882
             20      1116.9545      5.4177552      956.00544      4.8302038      1337.0544      6.2346542
             21      1179.8542      5.9111953      1008.6536      5.2519851      1415.9867      6.8192102
             22      1232.9859      5.5673325      1056.3853      4.9777179      1474.8424      6.4290162
             23      1299.0055      5.6342353       1112.028      5.0062969      1556.9739      6.6229698
             24      1354.4949      5.9149017      1160.4034      5.2737361      1621.7464      6.8034309
             25      1401.3582      5.8005231      1200.9787      5.1612069      1677.3552      6.7152351
             26      1456.2874      5.9504227      1249.5405      5.2699318      1740.8761      6.9504385
             27      1498.2675      5.6720663      1285.4533      5.0357171      1792.9278      6.6299751
             28      1556.6055       5.846008      1336.5988      5.2154004      1861.5508      6.7668562
             29      1580.0184      5.5460722      1356.4572      4.9100736      1890.7619       6.539096
             30      1624.8902      5.7521668      1394.8097      5.0786767      1946.8421      6.7967923
             31      1639.6988      5.6408122      1409.4225      4.9997116      1961.9619      6.6270158
             32      1664.2708      5.6314609      1430.2364      4.9787652      1993.8029       6.656242
             33      1680.8606      5.6794335      1445.1087      5.0248128      2014.6711       6.704404
             34      1683.5698        5.78774      1448.9515      5.1389598      2017.1969      6.8800771
             35      1672.3066       5.486488      1438.2884      4.8459441      2007.1119      6.5166782
             36      1661.0801      5.7536467      1429.3446      5.0718123      1994.1504      6.8636237
             37      1606.1739      5.3531923      1382.8539      4.7265647      1927.8669      6.4499704
             38      1553.0456       5.264498      1336.1379      4.6353682      1866.1775      6.3633145
             39      1492.4988      5.0950168      1284.2897      4.4556245      1792.8009      6.2106185
             40      1394.4232      4.8117277      1200.2944      4.2114637      1672.0755      5.8585601
             41      1309.6455      4.6610452      1126.7105      4.0936117      1570.4371      5.5893266
             42      1215.5194      4.3150068      1046.8862      3.8325338      1449.9215      5.0603973
             43      1118.7316      4.1755772      963.09077      3.6658585      1333.5367      4.9683716
             44      1039.2122      4.1681329      895.38357      3.6724252      1235.4695      4.9137259
             45      951.11649      3.8797518      818.87246      3.4594443      1129.4003      4.4670848
             46      871.90208      3.7009927      750.45974      3.2608752      1034.5831      4.3698671
