# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      1257.4803      6.0224048      1100.0577      5.5332492      1448.9744       6.657772
            0.4      1103.0415      4.8041161      962.35972        4.36063      1275.2894        5.39879
              1       777.5929      4.3319823      673.72021      3.9337951       906.9583      4.8646666
            1.6      454.58863      3.4331685       389.6181       3.079016      537.70512      3.8690454
            2.3      174.46508      1.7854027      147.45646      1.5461469      209.54295      2.1114423
            3.4      22.782817     0.56700211      18.910707     0.48702382      27.896335     0.68423621
            4.6      22.782817     0.56700211      18.910707     0.48702382      27.896335     0.68423621
