#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      687.26916      4.0246889      581.06223      3.3632934      848.48479      5.4311948
              1      1901.6557      6.4100175      1615.1811      5.5304252      2326.5138      8.1305513
              2      2779.8687      7.5082153      2361.9179      6.5173243      3394.3058      9.2614812
              3      3283.7501      7.9438368      2791.6799      6.9447276      4000.2166      9.6475486
              4      3508.2809      8.3545704      2986.2045      7.3547862      4259.8321      9.9393702
              5       3518.189      8.3240519      2995.8701      7.3127229      4265.8614      9.9445721
              6      3386.4573      8.3086191      2887.7048      7.3514298      4093.5565      9.7702753
              7      3200.7484      8.0040055      2732.5479      7.1143425       3858.583      9.3779364
              8      2949.1292       7.492637      2520.1128      6.6585004      3547.9757      8.7220459
              9      2708.0998      7.5726563      2315.2984      6.7497265      3252.4376      8.7134526
             10      2465.3416      6.9953857      2109.1728       6.241835      2956.1802       8.027603
             11      2251.4096      6.7424131      1928.0542      6.0044518      2694.1313      7.7667854
             12      2053.3604      6.6076189      1760.0464      5.8552611      2452.8485      7.6593738
             13      1867.4799      6.1729518      1601.8069      5.5320213        2226.49       7.020492
             14       1701.797      5.8802337      1461.9282       5.262038      2024.3154      6.7087774
             15      1551.8103      5.6446784      1333.3484      5.0426809      1844.5365      6.4605368
             16      1414.4874      5.5175049      1216.8076      4.9506391      1678.1219       6.259964
             17      1291.4633      5.3556492      1111.3887      4.8005605      1530.5312      6.0701388
             18      1179.9378      5.0934486      1016.0973      4.5731999      1396.5956      5.7488642
             19      1085.6984      4.7984409      935.35066      4.2857173      1283.7576      5.4584101
             20      987.19909      4.4836045      851.13168      4.0348911      1166.3531      5.0708452
             21      909.21719       4.307169      784.04028      3.8476731       1073.598      4.9148887
             22      845.27007      4.5988234      730.08406       4.150042      995.43019      5.1465083
             23      769.71186      3.9952795      664.72402      3.6019395         906.07      4.4663893
             24      711.43535      3.7718623      614.55675      3.3635209      837.52319      4.3076623
             25      655.63784      3.6562887      566.26412        3.30172      771.02955      4.0988097
             26      608.53478       3.573005      525.95928      3.2042425      715.51443      4.0141207
             27      561.75695      3.4433555      485.91245      3.0975277      659.77339      3.8917558
             28       518.8658      3.2199723      449.26406      2.9257044      608.36398      3.5829847
             29      490.52826      3.3779016      424.40435      3.0259661       575.6493      3.8206847
             30      451.45869      2.9970394      390.14555      2.6603278       530.3026      3.4479333
             31       422.5148      2.8592834      365.72673      2.5831498      495.18902      3.1913388
             32      398.28305      2.9962749      345.36932      2.7145503      465.97069      3.3258187
             33      367.79619      2.8397142      318.89795      2.5695473      429.83482      3.1836903
             34      347.30966      2.5027797      301.25453      2.2581838      405.90938      2.8230196
             35      323.30036      2.4206391      280.01104      2.1755459      378.42216       2.725436
             36      300.77564      2.4554308      260.83661      2.1964658      351.44286       2.785532
             37      282.03825      2.5960509      244.37912      2.3458426      329.67602      2.8673528
             38      264.38498      2.1945957       228.9089      1.9720342      309.56001      2.4641058
             39      245.96781      2.0794982      213.21897      1.8595783      287.64718      2.3623704
             40      235.23798      2.1755397      204.14313      1.9297108      274.70581      2.5155169
             41      224.67361      2.0422168      195.34095      1.8529831      261.49043      2.2783895
             42      209.87292      1.9253912      182.37631       1.758959      244.49517      2.1293552
             43      196.58993      1.7834731      170.72811      1.5980106      229.10445      2.0378622
             44      186.05134      1.9890634      161.48161       1.789639      216.80259      2.2516627
             45      173.47281      1.6817218      150.52495      1.5169899      202.23767      1.8817697
             46      166.69502      1.8596878      144.93112      1.6879283      194.04563      2.0643596
             47       157.6903      1.7716152      137.01637      1.6160263      183.70773      1.9457505
             48      148.38966      1.6518967      128.96915      1.4981817      172.74587      1.8442184
             49      141.15518      1.5506148      122.51671      1.3826594      164.52617      1.7593075
             50      141.15518      1.5506148      122.51671      1.3826594      164.52617      1.7593075
