#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      794.38877      1.8333412      680.82912      1.6333042      959.59693      2.1538373
            105      812.33987      1.8572495      697.57608        1.66414       975.4066      2.1547133
            110      765.97202      1.7867468      658.69671      1.6045976      915.91729      2.0500802
            115       699.1717       1.716741      602.00142      1.5457365      833.33611      1.9534624
            120      627.30054      1.6067077      540.22698      1.4482844        746.213      1.8274047
            125      559.58088      1.4904685      481.86806      1.3432449      665.38629      1.6963415
            130       496.1286      1.3852485      427.29945      1.2459622       589.2944      1.5836449
            135      444.14013      1.2922379       382.6779      1.1694536      526.83897      1.4602515
            140       399.1363      1.2448028      343.62224      1.1202191      473.51496      1.4114436
            145      357.63831      1.1665445      307.78098      1.0486155      424.37719      1.3239517
            150      323.40662      1.0823739      278.20637     0.97618949      383.86251      1.2225508
            155      294.13095      1.0506027      252.82953     0.94679278      349.21265      1.1890591
            160      267.20563      1.0115994      229.68327     0.91057414      317.22473      1.1488774
            165      243.11535     0.94206604      208.78009     0.84577445      288.74823      1.0682317
            170       223.3999     0.88549666      191.76758     0.79859531      265.39195      1.0028865
            175      204.77739     0.84631916      175.70493       0.757117       243.3806     0.96875884
            180      188.64817     0.85180825      161.87493     0.76614271      224.17733     0.96841838
            185      175.26274     0.83218279      150.31344      0.7438768      208.30294     0.95203218
            190      162.27645     0.76096984      139.02107     0.68032836       193.1668     0.87033998
            195      149.53133     0.74608089      127.96609     0.67053961      178.20683     0.84533492
            200      139.35852     0.69928984      119.21777     0.61877117      166.10309     0.81070985
            205      132.38034     0.76093008      113.22313     0.67509834      157.77221     0.87308036
            210      122.07434     0.66297399      104.33732     0.58962187       145.6948     0.76245898
            215       114.0143      0.6481916      97.322297     0.56762484      136.20549     0.76172575
            220      107.12576     0.59438963      91.422164     0.52817492      128.04859     0.68877036
            225      100.44551     0.60632686      85.788714     0.54184192      119.86047     0.69563332
            230      94.907071     0.62710645      81.022445     0.55375719      113.33463     0.72766832
            235       89.52448     0.59356814       76.29961      0.5224429      107.12811     0.69053011
            240      84.602019     0.56813288      72.085367      0.4926659      101.25866     0.67571346
            245      79.437496     0.58226361      67.663527     0.51148271      95.102896     0.68277246
            250      79.437496     0.58226361      67.663527     0.51148271      95.102896     0.68277246
