#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      32.154475     0.22607098      27.290365     0.19960181      39.034373     0.26943097
             60      94.874526     0.40736396      80.947867     0.36427802      114.31408     0.47652614
             70      2174.4639       1.978704      1863.3637      1.7638835      2602.1953      2.3007026
             80      3536.1415      2.4640563      3033.2436      2.2040438      4224.5737      2.8517113
             90       103.8078     0.48088458      89.305992     0.42524969      123.52255     0.56447746
            100      32.713463     0.25882918      28.215515     0.22884536      38.799147     0.30015139
            110      16.071872     0.20019678      13.864497     0.17571592      19.012282     0.23489925
            120      9.2629692     0.17630444       8.021396     0.15264981      10.930187     0.21183451
            130      5.9038846     0.11163775      5.1254119     0.10369802       6.933357     0.12281213
            140       3.906686    0.083184028      3.3875772     0.07496501      4.5881487    0.094583316
            150       3.906686    0.083184028      3.3875772     0.07496501      4.5881487    0.094583316
