#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1208.5153      18.321171      1036.9673      15.354397        1457.93      23.379858
           -4.9      1359.1435      17.803261      1165.2617      15.155131      1647.2235      22.673621
           -4.8      1506.1031      16.573327      1291.7712      14.210491      1814.7392      20.510919
           -4.7      1688.9948      19.104166       1452.194      16.237806       2033.124      23.775379
           -4.6      1894.7752      20.806903      1626.0927      17.844071       2277.865      25.368572
           -4.5      2098.5964      20.829589      1803.4867      18.083666      2524.3623      25.129436
           -4.4      2309.2038      21.341988      1986.9317      18.443149      2772.7245      25.984345
           -4.3      2525.8397       22.76021      2177.5288      19.957492      3018.3203       27.33815
           -4.2      2764.1267      25.132612      2379.0919      21.821085       3310.349      30.740757
           -4.1       2958.004      25.031565      2547.1672       21.16566      3537.0024      31.526737
             -4      3274.4009       24.77802      2819.8626      21.591836      3917.5713      30.123181
           -3.9      3565.6478      25.447945      3071.5513      22.317273      4260.9408      30.472757
           -3.8      3811.6932      29.093906      3283.0038      25.354701      4555.8537      35.034649
           -3.7      4053.9593      29.730246      3493.8051      26.135895      4839.0116      35.361713
           -3.6      4278.7678      29.424602      3687.6167      25.735566      5105.2025      35.374213
           -3.5      4557.5898      29.695359      3929.0154       26.23337       5428.691      34.893021
           -3.4      4881.3716       32.61352      4210.8483      29.191506      5809.0144      37.387541
           -3.3      5077.0352      33.942223      4379.5027      29.788367      6040.3851      40.068944
           -3.2      5300.4448      32.611977       4563.322      28.665533      6324.5708      38.493888
           -3.1      5609.0878      35.178418      4834.1744      31.139946      6681.2534      41.405576
             -3      5823.7102      35.207676      5016.9676      31.233361      6932.7423       40.91375
           -2.9      6033.5839      34.949955      5194.3251      30.995709      7189.1547      40.709971
           -2.8      6233.7538      33.963663      5365.6989      30.421636      7427.5534      39.501305
           -2.7      6472.2798      35.155444      5568.2932      31.306222      7713.4886      40.780716
           -2.6      6762.3158      39.106445      5812.5845      34.444296      8066.4186      46.213736
           -2.5       6884.741       37.44411      5923.8406      33.422017      8201.0825      43.353385
           -2.4      7098.9378      35.761613      6098.0071      31.981412      8474.7138      41.340105
           -2.3      7233.5808      38.141097      6211.7402      34.047184      8630.7762      43.906896
           -2.2      7405.5506      37.398277      6358.2393      33.329901      8836.4768      43.654938
           -2.1      7549.9816      37.631283      6476.7734      33.516836      9015.0421      43.565874
             -2      7617.7989      35.046351      6531.4189      31.370977      9104.1555      41.334072
           -1.9      7813.2014        39.7135      6699.0406      35.628261      9332.2178      45.543984
           -1.8      7949.6959      41.487346       6813.531      37.284016      9503.2868      47.373632
