# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      25.658717      0.8584186      22.460186     0.75690362       29.73453      1.0073563
            0.6      86.407825      1.6962235      75.381623      1.5563163      100.39066       1.861147
            1.2      164.02378      2.0492551      144.02532      1.8593881      188.90704      2.2909434
            1.8      241.46253      2.6362072       211.2867      2.3754735      279.48848      2.9741265
            2.4      289.12638      5.0481124      252.12593      4.6651378      335.77545      5.3857246
            2.7       301.1669       4.210867      262.43444      3.7895077      351.10427      4.7412374
              3       183.8402      3.0206466      159.24341      2.6946761      216.22296      3.4298887
            3.3      64.213851      1.3144631       54.75876       1.178454      77.000683      1.5106095
              4      13.790164     0.45544079      11.509107      0.3924895      16.882253     0.53908355
              5      13.790164     0.45544079      11.509107      0.3924895      16.882253     0.53908355
