# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3688.6608      10.066535      3066.8695      8.7792234      4487.4555      11.809107
     0.31415927      3991.6349      11.044483      3324.1414       9.711483       4845.944      12.967498
     0.62831853      4227.3759      11.424488      3519.3538      10.041599      5134.3617      13.219726
      0.9424778      4626.4656      12.830729      3856.2812      11.172374      5616.7441      15.027515
      1.2566371      5252.1291      13.958023      4378.1978      12.133864      6375.1947      16.391553
      1.5707963      6223.0522      15.588585      5187.3474      13.597786      7553.7371      18.190906
      1.8849556      7642.1809      18.901638      6368.8871      16.552588      9274.9122      22.087569
      2.1991149      9607.3153      22.644295      8004.8416      19.567201      11656.411      26.677151
      2.5132741      11989.416      26.368764      9987.0209      22.594544      14539.245      31.463318
      2.8274334       14084.52      32.738072      11730.513      27.785939      17067.843      39.425149
      3.1415927       14084.52      32.738072      11730.513      27.785939      17067.843      39.425149
