#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1.0008386     0.40385115     0.82767815     0.34049026       1.431687     0.64993035
           -4.9      2.7498405     0.62160664      1.9722411     0.48793294      4.2910738       1.414747
           -4.8      7.3014974       1.109746      5.8801362     0.89066518      10.030432      1.5641776
           -4.7      30.846024      3.7249023      25.899968      3.1671437      40.017371      4.5119845
           -4.6      63.461695      3.6798763      53.160616       3.121438      81.139634      4.7372302
           -4.5      132.30215        5.73863      112.45722      4.9090957      163.89375      7.1624185
           -4.4      242.97137      6.7025892      207.14327      5.5348567      302.35317       9.189359
           -4.3      427.61091      11.211089      363.73427      9.8158352      529.84126      13.181429
           -4.2      660.37656      10.782746       563.3847       9.151829      816.58465       13.72685
           -4.1      988.12631      13.428928      844.36117      11.645681      1216.0432      16.783548
             -4      1347.9025      15.043857      1154.9782      13.088674      1643.0575      18.267394
           -3.9      1785.1031       16.93707      1531.3979      14.505042      2167.3808      21.661291
           -3.8      2225.7822      18.837182      1913.3435      16.305932      2695.3556      23.484773
           -3.7      2693.8204      20.728724       2316.103       17.98309      3251.7678      25.804495
           -3.6      3226.3572      22.514077      2776.7972      19.562546      3877.0975      28.049248
           -3.5      3755.3943      23.764913      3235.5929      20.727836      4506.5363      28.974529
           -3.4      4270.2521      25.007275      3673.3001      21.770736       5129.307      30.729202
           -3.3      4799.9488      26.818594      4126.2921      23.397605      5762.7409      32.562812
           -3.2      5251.4175      29.570098      4519.2618      25.958719      6287.4099        35.4286
           -3.1      5772.1998      31.936329      4970.0203      28.172399      6902.3336      38.065488
             -3      6150.2285      31.003198      5286.9893      27.497209       7360.359      36.357412
           -2.9      6528.9908      32.465018      5614.6231      28.593806      7800.1669      38.423091
           -2.8      6889.8496      36.583516      5919.6464      32.171181       8240.993      43.384294
           -2.7      7288.2841      39.285445      6262.5143      34.127435      8714.3332      47.702498
           -2.6      7498.1782      35.147992      6441.7791      31.365059      8961.5133      41.093505
           -2.5      7888.6667        40.8179      6778.0967      36.163494      9416.1703      47.506626
           -2.4      8055.4536      39.138075        6913.43      34.447774      9627.0249      46.284393
           -2.3      8303.2437      41.490637      7119.7069      36.742096      9932.6021      48.219806
           -2.2      8493.8114      42.680627      7283.8609      37.853407      10144.834      49.432937
           -2.1      8660.8989      42.832447      7424.1105      38.194499      10356.679      49.551705
             -2      8831.1531      43.207784       7573.354      38.487614      10542.831       49.62898
           -1.9      8908.6284      44.728406      7631.3385      40.116258      10648.032      51.083534
           -1.8      9122.2471      42.704172      7819.6273      38.177156      10899.497      49.103792
           -1.7      9101.5266      41.406656      7793.9897      37.058518      10873.744      47.563164
           -1.6        9303.83      45.069064      7978.7718       40.49705      11097.616      51.284835
           -1.5       9331.898      44.432771      8000.0668      39.501128      11129.783      51.282921
           -1.4      9425.8508      43.737708      8074.3204      38.822351      11260.036      50.911499
           -1.3       9523.102      45.710805      8157.7275      40.651254      11370.227      52.809948
           -1.2      9604.0402       45.24734      8227.4224      40.086709      11457.947      52.720434
           -1.1       9462.611      44.608478       8101.728      39.733731      11298.625      51.571743
             -1       9597.696      45.665268      8219.8606      40.578599      11454.367      52.955008
           -0.9       9659.688      45.439053      8270.4975      40.139276      11532.369      53.199639
           -0.8      9549.7318      43.263497      8173.2967      38.900543       11414.35      49.364937
           -0.7      9651.4581      45.594538      8262.3056      40.654189      11527.606      52.374043
           -0.6      9709.1099      46.220412      8311.3086      41.273019      11592.074      53.583377
           -0.5      9751.2084      44.474214      8344.2145      39.849109      11647.216       50.95993
           -0.4      9800.4041      50.402358      8397.1985      44.559438      11678.628       59.18123
           -0.3      9675.4656      44.371399      8282.6642      39.771463      11554.796      50.823236
           -0.2      9742.6472      46.696503        8343.14      41.759696      11626.267      53.347146
           -0.1      9774.6884       47.12443      8368.0715      42.016389      11664.837      54.030689
              0      9753.5977      46.105354       8351.375      41.311766      11639.158      52.696151
            0.1      9647.8516      43.751701      8257.6144      38.877995      11525.843      50.808383
            0.2      9722.6388      49.814176      8326.6919      44.698504      11606.065      56.505178
            0.3      9698.0635      45.604734      8295.9623      40.425915      11592.556      52.941089
            0.4      9739.0671      47.892164      8340.5215      42.679452      11620.188      55.155312
            0.5      9656.6078      45.774566       8275.739       41.06719      11510.492      52.671561
            0.6      9716.0374      47.957164      8331.4326      42.688657      11575.538      55.678761
            0.7      9684.3753      47.710254      8294.8164      42.597626      11559.257      54.479415
            0.8      9598.3815      44.861194      8217.5925      39.768961      11460.434      52.468336
            0.9      9524.4629      46.160871      8157.5377      41.131412      11370.165      53.251104
              1      9552.1035      45.677273      8173.4004       40.62442      11414.875      52.701201
            1.1      9453.3652      43.051166      8097.0985      38.512752      11287.202      50.242559
            1.2       9441.119      44.822932      8083.7668      40.010857      11272.391      51.612317
            1.3      9369.3793      42.876897      8025.2288      37.931694       11191.83      50.462901
            1.4      9317.8501      43.880453       7980.355      38.788215      11133.153      51.634836
            1.5      9269.4578      44.691678      7949.5592      39.703989       11061.11      51.980844
            1.6      9172.8998      45.088362      7857.4427      39.955185      10958.674      52.265081
            1.7      8963.2074      40.717617      7675.5202      36.132747      10726.067      47.625577
            1.8      8917.6553      43.224734      7635.8989      38.150892      10659.392      50.503851
            1.9      8805.5342      42.592369      7552.2271      37.976257      10514.213      49.227905
              2      8658.7393      42.034198      7428.4277      37.181269      10336.338      49.162056
            2.1      8503.1764      40.584949      7292.1117      36.251126      10156.922      47.173805
            2.2      8298.7922      41.168528      7122.5526      36.695844      9907.4879      47.768894
            2.3      8035.2123      39.277225      6888.4924      34.802422      9609.8324      45.559205
            2.4      7797.1199      37.531384      6689.8725      33.374578      9325.9088      43.820938
            2.5      7581.0428      38.044566      6508.4958      33.972649      9062.9961      43.848119
            2.6      7254.4081      37.776138      6232.7131      33.746917      8668.4185      43.661984
            2.7      6973.9349       35.76295      5995.0161      31.852034      8335.2235      41.643941
            2.8      6567.2281      34.982382      5642.9712      30.838694      7857.4119      41.853016
            2.9      6088.2286       32.64395      5239.5764      28.844282      7274.4963      38.442757
              3       5692.872      31.841767      4899.2271      28.526487      6810.4345      37.240311
            3.1      5320.7926      30.688382      4576.2547      27.033765      6381.2797      36.355884
            3.2      4787.3611      28.134507      4118.2775      24.458044      5741.4038       34.19245
            3.3      4324.6117      26.900944      3722.5321      23.581723      5186.1072      32.457632
            3.4      3743.7918      23.801951      3223.9681      21.045185      4496.4446      28.462049
            3.5      3283.2079       23.31774      2827.9013      20.907701      3950.8354      27.114105
            3.6       2723.103      21.326575      2338.7803      18.609157      3294.3575      26.177611
            3.7      2233.3822      19.132217      1918.4304      16.649407      2703.7512      23.435859
            3.8      1762.8504       17.15798      1513.6531      14.781624      2139.7691      21.465329
            3.9      1325.6765      14.691067      1133.0152      12.753066      1623.2297      18.157652
              4      1005.5627      15.584578      860.31291      13.461497      1234.7226      19.658049
            4.1      678.95513      10.794725      579.50396      9.3161486      839.88025      13.779751
            4.2      416.71385      8.8036908      355.55682      7.2755467      515.40252      12.056541
            4.3      261.39464      10.649819      222.17517      9.4117337       326.5527      12.316458
            4.4      142.07011      6.5173291      120.40183      5.6185624      177.33732      8.0436971
            4.5      61.080084      3.0043914      52.018415       2.568639      76.767225      4.2189929
            4.6      26.846768      2.6573727      22.394277      2.2260422      34.109939      3.5020135
            4.7      7.0158947       1.143158      5.8086241     0.92913824      8.8442382      1.5223024
            4.8      1.5616678     0.41266157      1.2854635     0.40135318      2.0637726     0.63990453
            4.9     0.96243818     0.37510617     0.84499233     0.32777128      1.1792187     0.53399508
              5     0.96243818     0.37510617     0.84499233     0.32777128      1.1792187     0.53399508
