#  total-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2611.8014      6.2627348      2082.2445      5.2368787       3332.707      7.7707301
              1      2611.8014      6.2627348      2082.2445      5.2368787       3332.707      7.7707301
