# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0        91.7815     0.96408153      75.303493      0.8235946       113.5367      1.2127278
              1      298.21952      2.2656687      246.71191      1.9512635      365.02534      2.7320977
            1.6      537.60862      3.8502564      450.87804       3.409891      647.63571      4.5805637
              2      927.23508      5.5804654      790.18005      4.9847782      1098.7625      6.4160405
            2.4      1433.7493      10.633975      1237.1481      9.6695086      1672.0822      11.769675
            2.6      2005.8073      11.858669      1743.5705      10.826166       2319.559      13.074378
            2.8      2909.8821      14.017215      2547.7237      12.795933      3345.6025       15.48989
              3      3925.6688      16.299775      3472.7527      14.925883      4485.5017      18.143296
            3.2      2192.2758      13.326088      1926.2309      12.222932      2527.9757      14.716393
            3.4      1399.2428      10.639796      1220.9357      9.6905966      1625.0397      11.808916
            3.6      845.64018      6.2982958      732.05025      5.6328865      991.93324      7.1709146
              4      446.72243      3.8714483      383.57774      3.4430538      529.24171      4.4436716
            4.4      209.55613      2.4983729      179.24626      2.1982319      249.29322      2.8877516
              5      73.054725       1.379594      62.297403      1.2246874        87.1293      1.5875571
            5.6      73.054725       1.379594      62.297403      1.2246874        87.1293      1.5875571
