#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      22.263264      0.1337671      19.231147     0.11930024      25.936222     0.15265031
             20      50.807083     0.29710863      44.189598     0.26885539      58.876876     0.33030828
             30      57.144853     0.29884674      50.025902     0.27331801      66.122292     0.33130014
             40      48.343596     0.25621465       42.35456     0.23227038      55.869948       0.288865
             50      38.249209     0.19482504      33.398892     0.17727131      44.275817     0.21738784
             65      28.791844     0.15940504      24.987024     0.14496623      33.519091     0.17752692
             80      21.203865     0.14608527      18.330965     0.13427142      24.779346     0.15992505
             95      15.477671     0.11973942      13.295577     0.10699927      18.212385     0.13607995
            110      10.895701    0.076096598      9.3315666    0.068423947      12.883473    0.086740552
            130       6.554118     0.04458637      5.5715098    0.039649187      7.8070247    0.051670647
            165      3.5289529    0.032082227      2.9733427    0.028213226      4.2460221    0.037906145
            200       2.007825    0.022727917      1.6809816     0.02022355      2.4294922    0.026333004
            240     0.99641568    0.014265681     0.83077086    0.012617729      1.2111222    0.016559389
            300     0.18010273    0.002907836     0.14959486    0.002608174     0.21899316    0.003452686
            600     0.18010273    0.002907836     0.14959486    0.002608174     0.21899316    0.003452686
