#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      490.47012      1.7176058      419.82661      1.4545449      615.97444      2.2699771
              5      1174.5179      2.5084372      1010.2791      2.1856745       1440.306       3.070343
             10      1393.5076      2.5578745      1201.5599      2.2719146      1677.1057      2.9890488
             15       1348.602      2.5048691      1164.0024      2.2359063       1605.103      2.8745714
             20      1199.9748       2.320975      1035.9361      2.0827828      1418.3981      2.6286882
             25      1029.1731      2.0455758      887.78482      1.8475202      1213.1507      2.2890914
             30      863.62813       1.805301      744.02909        1.62882      1016.7805       2.024175
             35      719.30022      1.6342522      618.00246      1.4726845      848.56148      1.8389536
             40       593.3364      1.4188925      508.68478      1.2745825      700.88385       1.598501
             45      493.32674      1.2425099      421.72776       1.113019      584.38942      1.4082809
             50      411.28524      1.1397988      350.84356      1.0171958      488.19918      1.2997478
             55       339.7619     0.98960019       289.0989     0.88543255      404.25836       1.128857
             60      285.06039     0.86655603       241.9398     0.77044171      340.05552       0.991149
             65      239.16503     0.79054372      202.78492     0.71329713      285.51614     0.90497584
             70      200.22354     0.69687132      169.35745     0.61799087      239.68122     0.80309565
             75      170.49708     0.66753202      144.05153     0.59187514      204.34687     0.77454089
             80       147.1783     0.66132744      124.22196     0.58466111      176.60037     0.76095508
             85      123.05057     0.54693541      103.72616     0.48660467      147.85443     0.62791364
             90      106.39939     0.50773884      89.542902     0.44511856      128.06495     0.59292232
             95      91.839686     0.45243541       77.15413      0.3922995      110.80339     0.53545421
            100        79.4406     0.43455739       66.79674      0.3838162      95.756037     0.50610814
            105      67.907517     0.40961121      56.892826     0.37215246      82.245744      0.4668059
            110      59.511112     0.37269056      49.813033     0.32223466      72.102357     0.44318114
            115      51.923814      0.3262413      43.565537     0.30365614      62.738383     0.36193777
            120      45.184492     0.34058816      37.782013     0.29226688      54.796926     0.40929981
            125      39.990091     0.27614735      33.383461     0.24122425      48.585513     0.32837824
            130      34.796175      0.2760601      29.043039     0.24632075      42.266421      0.3212066
            135      30.403744     0.22399539      25.343182     0.19516238      36.991839      0.2681393
