#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      8.4768799      0.9755405      7.1761591      0.8360343      10.856463      1.3372578
           -4.9      24.531133       2.123712      20.443189      1.8035699      30.926067      2.6619494
           -4.8      60.659013      3.0736938       50.91509      2.5974068       76.17701      3.9034222
           -4.7      138.99508      5.3636106      116.66876      4.5466496      174.37169       6.676506
           -4.6      261.61485      10.520928       220.6331      9.1646536      323.54069      12.233023
           -4.5      425.02784      8.2579129       360.5141      7.1119805      523.94302      10.171228
           -4.4      692.42152      10.366765      588.43015      8.8232404      848.97192      13.073315
           -4.3        1028.71      11.942767      874.22088       10.27199      1264.5824      14.865315
           -4.2      1459.9616      14.801691       1239.467      12.798468      1792.7681      18.201869
           -4.1      1925.6871      18.986005      1638.3783      16.270631      2351.7637      23.315561
             -4      2385.1707      18.850986       2030.213      16.244241      2909.1887      23.190682
           -3.9      2977.2632       23.98012      2536.5736      20.532914      3622.6995      29.752874
           -3.8      3473.2529      22.453749      2965.1207      19.403298      4201.0782      27.961761
           -3.7      3984.4111      24.465562      3399.3559      21.005442      4827.6163        30.5386
           -3.6      4522.8969        26.0769       3863.764      22.605164      5466.3498      31.740466
           -3.5      4999.7577      26.869454      4271.1423      23.222654      6033.7018      32.766755
           -3.4      5495.0539      28.622759      4695.0177      24.994383      6624.9409      34.273225
           -3.3      5944.1374      27.856162       5080.282      24.367395      7163.1195      33.586574
           -3.2      6305.0167      31.041204      5392.4615      27.195529       7582.332      37.209768
           -3.1      6638.4126      33.846009      5678.4682      29.696343      7979.8447      40.459036
             -3       6976.301      33.437355      5969.4169      29.353237      8381.9547      40.005881
           -2.9       7312.482      37.127944      6263.5991      32.925987      8767.3382      43.358289
           -2.8      7482.7112       34.83672       6402.997      30.576075      8975.4209      41.509174
           -2.7       7702.716      35.759448      6600.1389      31.906441      9222.7303      41.758356
           -2.6      7870.1844      36.984639      6740.9661      32.482343      9432.9258      44.207088
           -2.5      8053.7471      39.913038      6901.5891      35.566258       9639.604      46.185574
           -2.4      8112.0457      38.033628       6948.106        33.5894      9703.6858      44.721052
           -2.3      8187.5858      39.779921      7018.5834      35.529291      9793.0492      45.770993
           -2.2      8318.0571      41.425075      7133.2906      36.991844      9940.4456      47.538356
           -2.1      8344.3475      41.090199      7144.0988      36.590398      9987.8509      47.470494
             -2      8488.6795      47.390862      7286.3159      42.264368      10124.019      54.465089
           -1.9      8553.5102      42.339256         7345.8      37.996204      10186.352      48.386396
           -1.8      8493.7525      43.176949      7284.0759      38.560141      10141.764      49.642864
           -1.7      8553.7482      42.371428      7340.8066      38.047477      10194.088      48.495509
           -1.6      8562.6535      43.560049        7350.78       39.11905      10199.002      49.508495
           -1.5      8626.8434      44.690232      7413.4548       39.94207      10260.237      51.402689
           -1.4      8530.7134       43.05826      7318.6306      38.201268      10171.058      49.831683
           -1.3      8591.7273      42.906901      7377.1723      38.241289      10231.189      49.336658
           -1.2      8575.5789      43.157828      7366.4093      37.998642      10207.497      50.837519
           -1.1      8540.9414      39.887845      7330.6596      35.450998       10179.66      46.323752
             -1      8594.9497       43.71601      7383.4269      38.946569      10227.972      50.668231
           -0.9      8603.7009      44.567893      7394.3027      39.605671      10228.308      51.992835
           -0.8      8693.8254      45.817254      7472.5223      41.188887      10339.367      51.958167
           -0.7      8665.8667      44.093162      7448.9558      39.434979      10309.032      50.816353
           -0.6      8735.3064      47.274678      7504.2158      42.208625      10395.048      54.195085
           -0.5      8593.7038      43.122867      7378.2712      38.378202      10232.764      49.835242
           -0.4      8628.1353       47.69449      7419.5874      42.370885      10243.434      55.323668
           -0.3      8575.6984       43.63912      7370.5913      39.054496      10205.357      50.061198
           -0.2      8634.1332      46.132586       7423.898      41.213319      10258.683      53.137963
           -0.1      8635.7387      44.201107      7424.1218      39.451728      10266.207       50.76617
              0      8618.8993      46.567588      7415.9254      41.814099      10228.573      53.040782
            0.1       8541.188      44.880324      7337.7274      40.177295      10158.158       51.32322
            0.2      8573.6364      44.211979      7365.2099      39.322637      10201.123      51.129089
            0.3      8624.9388      43.804638      7415.6956      39.152907      10255.287      50.507525
            0.4      8574.9754      43.324629      7368.0757      38.585201        10200.7       49.96887
            0.5      8608.7084      45.702124       7397.821      40.687546      10241.352      53.093314
            0.6      8589.7305      46.378289      7389.1587      41.329108      10196.251      53.853522
            0.7      8530.5915      43.184305      7330.5254      38.532725       10147.64      49.631182
            0.8      8562.5616      43.176585      7359.2875      38.705178      10181.681      49.569642
            0.9      8532.1656      42.111919      7329.0873       37.61115      10148.833      48.498753
              1       8660.805      47.332454      7446.2467      42.320626      10309.166      54.760627
            1.1      8611.8203      44.618954      7403.3503      39.929868      10237.508      51.254405
            1.2      8595.9125      44.328072      7379.0037      39.152453      10234.395      52.099539
            1.3      8660.9956      44.068215      7436.5427       39.46983      10316.192      50.438647
            1.4      8560.2729      42.932105      7342.7189      38.040276      10213.505      50.170296
            1.5      8507.7834      41.478597      7296.8309       36.81185      10150.157      48.346206
            1.6      8502.5708      40.650187      7295.0406      36.092823      10142.859      47.519879
            1.7      8532.1529      40.820557      7319.8866      36.276513      10182.955      47.439814
            1.8      8526.3388      44.267845      7307.8628      39.524334      10188.939      50.886691
            1.9      8404.2862      40.573581      7208.7395      36.111049      10030.665      47.225775
              2      8407.2594      41.476135       7208.479      37.129403      10044.096      47.470948
            2.1      8273.5671      39.647912      7099.1653      35.385769       9861.213      46.885705
            2.2       8208.689      39.688271      7036.4085      35.540033      9810.8016      45.571079
            2.3      8167.1517      41.472997      7001.2907      37.145616       9765.385      47.810671
            2.4      7944.3883      37.690573       6804.995      33.481872      9511.7676      43.971518
            2.5       7891.578      37.693576      6757.4982      33.495018      9448.9299      44.079825
            2.6      7675.8733      38.321279      6567.5937      33.853562      9206.8475       44.95267
            2.7       7502.289      37.150938      6418.1475      32.650869      9002.8519      44.070611
            2.8      7242.6661      33.589041      6196.7771      29.628086      8694.2063       39.71368
            2.9      7045.3673      35.776295       6031.443      31.513592      8458.4286      42.456949
