#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      229.77406       10.41542      193.41163       9.247784      280.36984      11.789898
           -4.9      296.88713      10.414008      249.42629       9.141059      364.81985      12.131315
           -4.8      349.04589      7.8906977      293.92355        6.86992      426.92649      9.4451632
           -4.7      445.58745      13.241159      377.59284      11.865609      543.22713      15.036769
           -4.6      537.19554      12.197554      454.45399       10.72938      653.72239      14.192813
           -4.5      680.70894      15.405136      577.80141      13.484349      827.28097      18.313065
           -4.4      805.25295      13.453919      678.32875        11.5306      987.53242       16.40764
           -4.3       1012.307      18.507316      859.54661      16.598065      1227.3051      20.924047
           -4.2      1202.2719      15.841261      1016.4353       13.73893      1469.8399      19.165966
           -4.1      1453.8567      17.097009      1234.4551      15.173403       1765.864      19.788568
             -4      1734.2267      20.753151      1475.2406      18.143998       2099.852      24.690835
           -3.9      2020.1176      21.849512      1718.5523      19.129273      2449.8824      26.105185
           -3.8      2351.8202      20.754971      2000.4818      18.225607      2851.7274      24.760439
           -3.7      2728.3083       24.93624      2322.9866      22.019592      3304.3773      29.555335
           -3.6      3095.3276      23.832246      2633.4792      20.966086       3748.321      28.272426
           -3.5      3547.9394      25.076626      3021.0292      22.183572      4293.0201      29.391787
           -3.4      4022.2805      31.426133      3430.8511      27.443933      4850.4196      37.310163
           -3.3      4403.5177      27.761182      3755.0327      24.461769      5314.3144      32.895089
           -3.2      4872.9977      30.612988      4160.8468      27.192338      5865.8763      35.911117
           -3.1      5318.5126       31.06812      4539.5399      27.305234      6412.4188      36.839818
             -3      5739.9767      34.109176       4906.483      30.130684      6902.4354      40.128245
           -2.9      6146.4477      32.669559      5248.7136      28.594394      7402.3439      39.011929
           -2.8      6579.2541      35.347887      5630.9587      31.253443      7895.3316      41.651822
           -2.7      6939.9521      35.154289      5934.6124      31.118622      8347.4619      41.386572
           -2.6      7311.1453      35.548223      6257.3894       31.41049      8775.3036      42.060422
           -2.5      7654.3173      37.483692      6549.6588      33.135171      9184.4073      44.009505
           -2.4      7889.3956      38.204502      6753.4912      33.599606      9458.1227      45.578655
           -2.3       8228.281      41.027563      7051.5401        36.5571      9851.0467      47.480026
           -2.2      8351.6135      37.783699      7153.0333      33.532679      9995.4026      43.961068
           -2.1       8648.908      40.164451       7420.925       35.55547      10334.268       47.51977
             -2      8855.2778      44.093795      7593.9863      39.107395      10588.321      51.355194
           -1.9      8947.0527      41.002764      7675.4043       36.36044       10689.25      47.596892
           -1.8      9016.5395      41.440222      7737.1539      36.980722       10774.35      48.150139
           -1.7      9199.9031      42.687981      7903.5976      38.047041      10965.692      49.485964
           -1.6      9307.3088      43.856774      7997.1646      38.895267      11093.474      51.236724
           -1.5      9369.1625      44.603891      8047.9206      39.424336      11165.173      51.926835
           -1.4      9360.7419      43.072575      8047.7864      38.380313      11139.188      49.977207
           -1.3       9352.895      42.515384      8037.8308      37.807048       11140.51      49.783598
           -1.2      9478.6193      44.916037      8146.3804      40.321608      11280.273      51.548118
           -1.1      9522.3297      44.731329      8181.5684      39.454376      11339.884      52.630381
             -1      9442.5275      43.150626      8108.9639       38.47863       11255.73      49.878619
           -0.9      9484.1303      45.274841      8151.1251       40.19315      11283.384      52.438382
           -0.8      9512.4251        47.4109      8179.7988      42.436018       11311.56      54.159574
           -0.7      9430.8865      45.274314      8108.3573       40.57414      11218.842      51.478721
           -0.6      9485.1098      46.386492      8155.2594      41.699122      11287.757      52.751235
           -0.5       9539.467      46.045544      8207.9186      41.152333      11339.298      52.920492
           -0.4      9486.6226      44.809868      8160.3698      40.139186      11275.598      51.104644
           -0.3      9564.9599      46.631882      8228.0228      41.602579      11369.033      53.933615
           -0.2      9494.7743      43.148292      8172.0739      38.635326      11281.733      50.149987
           -0.1      9490.9979      45.317468      8159.9438      40.504713      11288.322      52.119712
              0      9414.8895      44.356108      8097.2883      39.651635      11194.406      50.878493
            0.1      9412.1521      43.849118      8096.5348      38.943107      11188.272      50.987632
            0.2       9486.703      46.043462      8158.3397      41.145284      11274.726      52.721079
            0.3      9421.5405      40.998439       8101.225      36.465959      11207.993      47.603117
            0.4      9424.1685       43.02174      8108.7561      38.004974      11198.558      50.727711
            0.5      9470.6358      44.193929      8149.6185      39.098132      11253.459      51.855134
            0.6      9545.3125      45.968833      8209.1404      40.958537      11351.394       53.22048
            0.7      9471.3045      43.989172      8143.4997      39.225934      11267.123      50.959987
            0.8      9484.3429      46.279834      8157.5395      41.529156      11282.487      53.130541
