#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      201.27758      2.6184091      167.77655       1.966791       255.8854      4.1256273
              1      590.05928      4.1079971      494.38163        3.25238      742.03303      5.9494811
              2      950.83289       4.742565      800.23735      3.9409434      1185.8922      6.2952977
              3      1260.5498      5.3401983      1063.9829      4.5566765      1563.5283      6.7985641
              4      1515.2658      5.8967419      1281.1668       5.104397      1873.7268      7.2440968
              5      1726.0243      6.1207525      1462.0133      5.3232265      2125.7926      7.5338283
              6      1852.5992      6.1750969      1572.4331       5.424327      2271.6117      7.4264628
              7      1940.7871      6.3380562      1647.8831       5.542749      2373.2294      7.6316005
              8      1990.5767      6.4626261      1692.1833      5.7037377      2427.2732      7.6317327
              9      2006.7302      6.2661441      1707.6767      5.5214046      2440.3157      7.4187105
             10      1997.7845      6.2828414      1702.5744      5.5731513      2422.9859      7.3524515
             11      1962.6716       6.325224      1674.3777       5.608221      2372.2628      7.3995013
             12      1913.5464      6.0680561      1633.0128      5.3683341      2309.5383       7.083929
             13      1865.7386      6.5346249      1594.4467       5.811629      2245.8043      7.5427039
             14      1780.3204      5.7483059      1522.9045      5.1443394      2139.1335      6.6152324
             15      1717.4473      5.8781329      1470.4541      5.2632295      2059.3603      6.7285476
             16      1639.1355      5.7648382      1403.7869      5.1413417      1963.4176      6.6276281
             17      1570.2344      5.6900906      1346.6034       5.093261      1876.7682      6.5158836
             18      1488.1066      5.5176099      1276.7888      4.9440569      1776.0363      6.2797919
             19      1418.8564      5.4259715      1218.5001      4.8399604      1690.0427      6.2187158
             20      1346.7133      5.3105576      1157.2279      4.7708062       1601.465      6.0090297
             21      1276.6539      5.2251433      1097.5088      4.6749691      1516.6319      5.9387048
             22      1221.5081      5.4348044      1050.8741      4.8611386       1448.327      6.1506417
             23      1155.9808      4.9230159      995.35434      4.4318153      1368.9464       5.548918
             24      1098.2414      4.9092377      945.94155      4.4220253      1299.3923      5.5139662
             25      1031.2142       4.662138      888.34242      4.2015799      1220.1568      5.2447172
             26      974.22522      4.3373842       839.1872      3.8824901      1152.4699      4.9480575
             27      926.70671      4.1883856      799.17364      3.7642134      1093.6547      4.7288909
             28      879.46649      4.1652127      758.15483       3.753891      1038.4917      4.6952125
             29      823.16324      3.9562054      709.90104      3.5585667      971.30411      4.4803393
             30      786.25872      3.8352777      678.31078      3.4452818      926.49425        4.34025
             31      736.72078      3.4519074      635.83952      3.0952203      867.85891      3.9293381
             32      705.90888      3.8113982       609.5058      3.4763014      831.18487      4.2241887
             33      670.11352      3.7708258      578.47281      3.3990355      788.36925      4.2042548
             34      634.21081      3.6820784      547.82834      3.3215842      745.73766      4.1094662
             35      601.93308      3.4666941      520.08604      3.1142976      707.68459      3.8934817
             36      576.35719      3.2550592      498.35419      2.9411003      675.95095      3.6533082
             37      541.74379      3.2561178      468.62271      2.9317556      635.20868      3.6431404
             38      517.81702       3.035004      447.94259      2.7313021      607.09509       3.403219
             39      486.91412      3.0877472       420.8433      2.7655649      571.03823      3.4807944
             40      472.29452      3.3968102      408.97737      3.0462859      552.86587      3.8379225
             41      443.97457       2.833587      384.51769       2.568075      519.46474      3.1588506
             42      421.84085       2.858098      365.11572      2.6213427      493.89636      3.1268696
             43      410.01592      2.8514733      354.53844      2.5243804      480.54788      3.3078276
             44      389.73077      2.9528243      337.56705      2.6684175      455.67905      3.2874549
             45      370.50925      2.6755199      320.68294      2.4178476      433.51678       2.973704
             46      352.44841      2.6954322      305.65323      2.4365503      411.40626      3.0024818
             47      331.26993      2.5678982      286.48186      2.2942067      388.00908      2.9001466
             48      320.04425      2.5287105      276.88502      2.2597768       374.4531      2.8541561
             49      307.57241      2.3984323      266.59923       2.186703      359.08802      2.6408376
             50      307.57241      2.3984323      266.59923       2.186703      359.08802      2.6408376
