#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.9976773    0.056836076      4.2467228    0.051261675      5.9804979    0.063147676
             50      4.2136423    0.053933085      3.6221077    0.049651419      4.9832528    0.058348835
             75      3.9621793    0.050830727      3.4640092    0.045792884      4.5992172    0.057700688
            100      2.8944316    0.045060612       2.546023    0.040570551      3.3386614    0.050980906
            125      1.8687865    0.037814144      1.6543014    0.033882961      2.1356525    0.042822271
            150      1.0589883    0.019525217     0.94035965    0.017711706      1.2072145    0.021728284
            200     0.56244652    0.016134133       0.504684    0.014855584     0.63227008    0.017382737
            250     0.28742755    0.010139715     0.25671225   0.0092050985     0.32554639    0.011364248
            300     0.14557811   0.0054922388     0.13058019   0.0049451406     0.16359868   0.0062022015
            400     0.05552921   0.0029015999    0.049864775   0.0026618884    0.062386968   0.0031933512
            500     0.05552921   0.0029015999    0.049864775   0.0026618884    0.062386968   0.0031933512
