qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.04           0.5            2                   CT.QCD                                                               -131490.753 +-           7.089
0.04           0.5            2                   RT.QCD                                                                137562.662 +-           8.162

0.04           1              1                   NLO.QT.32                                                             23932.9217 +-          7.6793
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.04           1              1                   CT.QCD                                                               -89560.8956 +-          4.8247
0.04           1              1                   RT.QCD                                                                94255.9740 +-          5.5926

0.04           2              0.5                 NLO.QT.32                                                             19777.5968 +-          5.4667
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.04           2              0.5                 CT.QCD                                                               -62219.9108 +-          3.3622
0.04           2              0.5                 RT.QCD                                                                65936.9166 +-          3.9339

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.05           0.5            2                   NLO.QT.32                                                              28665.352 +-          10.719
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.05           0.5            2                   CT.QCD                                                               -124238.363 +-           6.712
0.05           0.5            2                   RT.QCD                                                                130315.947 +-           7.978

0.05           1              1                   NLO.QT.32                                                             23936.7887 +-          7.4318
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.05           1              1                   CT.QCD                                                               -84648.8070 +-          4.5696
0.05           1              1                   RT.QCD                                                                89347.7525 +-          5.4711

0.05           2              0.5                 NLO.QT.32                                                             19780.2838 +-          5.3001
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.05           2              0.5                 CT.QCD                                                               -58827.0948 +-          3.1858
0.05           2              0.5                 RT.QCD                                                                62546.7876 +-          3.8518

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.06           0.5            2                   NLO.QT.32                                                              28674.395 +-          10.423
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.06           0.5            2                   CT.QCD                                                               -118465.377 +-           6.411
0.06           0.5            2                   RT.QCD                                                                124552.004 +-           7.832

0.06           1              1                   NLO.QT.32                                                             23942.9057 +-          7.2366
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.06           1              1                   CT.QCD                                                               -80738.1048 +-          4.3665
0.06           1              1                   RT.QCD                                                                85443.1673 +-          5.3744

0.06           2              0.5                 NLO.QT.32                                                             19784.4910 +-          5.1691
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.06           2              0.5                 CT.QCD                                                               -56125.4970 +-          3.0453
0.06           2              0.5                 RT.QCD                                                                59849.3969 +-          3.7868

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.07           0.5            2                   NLO.QT.32                                                              28681.973 +-          10.179
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.07           0.5            2                   CT.QCD                                                               -113691.489 +-           6.163
0.07           0.5            2                   RT.QCD                                                                119785.695 +-           7.709

0.07           1              1                   NLO.QT.32                                                             23947.9658 +-          7.0758
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.07           1              1                   CT.QCD                                                               -77503.7567 +-          4.1986
0.07           1              1                   RT.QCD                                                                82213.8792 +-          5.2935

0.07           2              0.5                 NLO.QT.32                                                             19787.9237 +-          5.0612
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.07           2              0.5                 CT.QCD                                                               -53890.8173 +-          2.9291
0.07           2              0.5                 RT.QCD                                                                57618.1500 +-          3.7324

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.08           0.5            2                   NLO.QT.32                                                              28686.784 +-           9.972
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.08           0.5            2                   CT.QCD                                                               -109635.483 +-           5.951
0.08           0.5            2                   RT.QCD                                                                115734.498 +-           7.604

0.08           1              1                   NLO.QT.32                                                             23951.2255 +-          6.9397
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.08           1              1                   CT.QCD                                                               -74755.4391 +-          4.0559
0.08           1              1                   RT.QCD                                                                79468.8214 +-          5.2241

0.08           2              0.5                 NLO.QT.32                                                             19790.1662 +-          4.9701
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.08           2              0.5                 CT.QCD                                                               -51991.7028 +-          2.8304
0.08           2              0.5                 RT.QCD                                                                55721.2780 +-          3.6858

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.09           0.5            2                   NLO.QT.32                                                              28693.575 +-           9.793
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.09           0.5            2                   CT.QCD                                                               -106118.954 +-           5.768
0.09           0.5            2                   RT.QCD                                                                112224.761 +-           7.511

0.09           1              1                   NLO.QT.32                                                             23955.7961 +-          6.8219
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.09           1              1                   CT.QCD                                                               -72372.4007 +-          3.9322
0.09           1              1                   RT.QCD                                                                77090.3536 +-          5.1631

0.09           2              0.5                 NLO.QT.32                                                             19793.2913 +-          4.8913
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.09           2              0.5                 CT.QCD                                                               -50344.8084 +-          2.7448
0.09           2              0.5                 RT.QCD                                                                54077.5087 +-          3.6449

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.1            0.5            2                   NLO.QT.32                                                              28700.091 +-           9.635
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.1            0.5            2                   CT.QCD                                                               -103021.860 +-           5.607
0.1            0.5            2                   RT.QCD                                                                109134.183 +-           7.428

0.1            1              1                   NLO.QT.32                                                             23960.1672 +-          6.7181
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.1            1              1                   CT.QCD                                                               -70273.3837 +-          3.8232
