          bin (n_jets)   qTcut           contribution/subprocess            dsigma +-            error     chi2_dof   n_run [total]   (removed)   events / bin

         1           2   independent     NLO.CS.32.RA.QCD              -41389.4997 +-         436.5173
--------------------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   independent     gu_epvebb~d                    -1685.7767 +-          19.1864       0.1141       0 [    3]      (   0)       63990063
         1           2   independent     gd~_epvebb~u~                   -733.9861 +-          22.7650       0.6817       0 [    3]      (   0)       24274262
         1           2   independent     ud~_epvebb~g                  -38969.7370 +-         435.5008        1.408       0 [    3]      (   0)      106281378

==============================================================================================================================================================

         2           3   independent     NLO.CS.32.RA.QCD              -407325.726 +-         1875.907
--------------------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   independent     gu_epvebb~d                    -16865.146 +-          111.372       0.1598       0 [    3]      (   0)      685059046
         2           3   independent     gd~_epvebb~u~                   -7805.626 +-           89.832       0.7171       0 [    3]      (   0)      253243364
         2           3   independent     ud~_epvebb~g                  -382654.955 +-         1870.442       0.9902       0 [    3]      (   0)     1222030507

==============================================================================================================================================================

