qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            2                   NLO.CS.32                                                             28625.3209 +-          2.8139

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985

independent    2              0.5                 NLO.CS.32                                                             19764.1546 +-          1.6260

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            2                   NLO.CS.32                                                             28625.3209 +-          2.8139
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   VA.QCD                                                                 8869.4914 +-          1.2200
independent    0.5            2                   CA.QCD                                                                  979.9159 +-          0.7327
independent    0.5            2                   RA.QCD                                                                18775.9136 +-          2.4275

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   VA.QCD                                                                 8996.4974 +-          1.1492
independent    1              1                   CA.QCD                                                                 1429.2383 +-          0.4251
independent    1              1                   RA.QCD                                                                13485.8346 +-          1.7036

independent    2              0.5                 NLO.CS.32                                                             19764.1546 +-          1.6260
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 VA.QCD                                                                 8252.7126 +-          1.0249
independent    2              0.5                 CA.QCD                                                                 1591.9066 +-          0.2771
independent    2              0.5                 RA.QCD                                                                 9919.5354 +-          1.2316

=====================================================================================================================================================

