#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      16.657858    0.084175126      16.657858    0.084175126      16.657858    0.084175126
             60      47.321084     0.14179989      47.321084     0.14179989      47.321084     0.14179989
             70      1032.4711     0.57640586      1032.4711     0.57640586      1032.4711     0.57640586
             80      1661.1614     0.65734149      1661.1614     0.65734149      1661.1614     0.65734149
             90      47.069272     0.13924434      47.069272     0.13924434      47.069272     0.13924434
            100      14.402526    0.076846452      14.402526    0.076846452      14.402526    0.076846452
            110      6.8224775    0.052770139      6.8224775    0.052770139      6.8224775    0.052770139
            120      3.7745907    0.039820736      3.7745907    0.039820736      3.7745907    0.039820736
            130      2.3964349    0.030805355      2.3964349    0.030805355      2.3964349    0.030805355
            140      1.5876311    0.025429258      1.5876311    0.025429258      1.5876311    0.025429258
            150      1.5876311    0.025429258      1.5876311    0.025429258      1.5876311    0.025429258
