#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.26600876     0.16146125     0.26600876     0.16146125     0.26600876     0.16146125
           -4.9      2.0440905      1.2262047      2.0440905      1.2262047      2.0440905      1.2262047
           -4.8      3.2387018      0.4825757      3.2387018      0.4825757      3.2387018      0.4825757
           -4.7      8.2896937     0.81332243      8.2896937     0.81332243      8.2896937     0.81332243
           -4.6      19.423499      1.1654657      19.423499      1.1654657      19.423499      1.1654657
           -4.5      39.696072      1.6926215      39.696072      1.6926215      39.696072      1.6926215
           -4.4      76.756323      2.2896085      76.756323      2.2896085      76.756323      2.2896085
           -4.3      135.16789      2.9852644      135.16789      2.9852644      135.16789      2.9852644
           -4.2      211.69365      3.6065173      211.69365      3.6065173      211.69365      3.6065173
           -4.1      320.78711      4.3693713      320.78711      4.3693713      320.78711      4.3693713
             -4      445.30386      5.1108478      445.30386      5.1108478      445.30386      5.1108478
           -3.9      599.22544       5.772714      599.22544       5.772714      599.22544       5.772714
           -3.8      767.86483      6.4813908      767.86483      6.4813908      767.86483      6.4813908
           -3.7      973.46556      7.1642805      973.46556      7.1642805      973.46556      7.1642805
           -3.6      1169.5684      7.8731176      1169.5684      7.8731176      1169.5684      7.8731176
           -3.5      1395.0569      8.3986942      1395.0569      8.3986942      1395.0569      8.3986942
           -3.4      1643.9242      8.9379313      1643.9242      8.9379313      1643.9242      8.9379313
           -3.3      1870.2407      9.4867612      1870.2407      9.4867612      1870.2407      9.4867612
           -3.2      2090.2667      9.9464568      2090.2667      9.9464568      2090.2667      9.9464568
           -3.1      2334.5588      10.624322      2334.5588      10.624322      2334.5588      10.624322
             -3      2554.1578      10.819107      2554.1578      10.819107      2554.1578      10.819107
           -2.9      2756.9798      11.171006      2756.9798      11.171006      2756.9798      11.171006
           -2.8      2938.9534      11.458198      2938.9534      11.458198      2938.9534      11.458198
           -2.7      3158.9212      11.790038      3158.9212      11.790038      3158.9212      11.790038
           -2.6      3347.5561       12.13595      3347.5561       12.13595      3347.5561       12.13595
           -2.5       3528.408      12.392799       3528.408      12.392799       3528.408      12.392799
           -2.4      3676.2482      12.510116      3676.2482      12.510116      3676.2482      12.510116
           -2.3      3827.8819      12.682837      3827.8819      12.682837      3827.8819      12.682837
           -2.2      3940.7938       12.86005      3940.7938       12.86005      3940.7938       12.86005
           -2.1      4081.8889       12.97186      4081.8889       12.97186      4081.8889       12.97186
             -2      4195.7351      13.157597      4195.7351      13.157597      4195.7351      13.157597
           -1.9       4290.651      13.381081       4290.651      13.381081       4290.651      13.381081
           -1.8      4401.1859      13.332946      4401.1859      13.332946      4401.1859      13.332946
           -1.7      4475.6897      13.429504      4475.6897      13.429504      4475.6897      13.429504
           -1.6      4531.9343      13.521533      4531.9343      13.521533      4531.9343      13.521533
           -1.5      4603.8339      13.622855      4603.8339      13.622855      4603.8339      13.622855
           -1.4      4700.9662      13.670007      4700.9662      13.670007      4700.9662      13.670007
           -1.3      4736.7326       13.69466      4736.7326       13.69466      4736.7326       13.69466
           -1.2      4796.2819      13.824738      4796.2819      13.824738      4796.2819      13.824738
           -1.1      4801.6401      13.733399      4801.6401      13.733399      4801.6401      13.733399
             -1       4857.176      13.800458       4857.176      13.800458       4857.176      13.800458
           -0.9      4889.9349      13.849684      4889.9349      13.849684      4889.9349      13.849684
           -0.8      4896.7467      13.791957      4896.7467      13.791957      4896.7467      13.791957
           -0.7      4939.5444      13.862884      4939.5444      13.862884      4939.5444      13.862884
           -0.6      4945.1246      13.874661      4945.1246      13.874661      4945.1246      13.874661
           -0.5       4987.425      13.950709       4987.425      13.950709       4987.425      13.950709
           -0.4      4993.1971      13.979115      4993.1971      13.979115      4993.1971      13.979115
           -0.3      4974.3183      13.835868      4974.3183      13.835868      4974.3183      13.835868
           -0.2      4988.4754      13.874165      4988.4754      13.874165      4988.4754      13.874165
           -0.1      5006.2264      13.937485      5006.2264      13.937485      5006.2264      13.937485
              0      4989.7918       13.86969      4989.7918       13.86969      4989.7918       13.86969
            0.1      4984.2941       13.85842      4984.2941       13.85842      4984.2941       13.85842
            0.2      4965.3962      14.083801      4965.3962      14.083801      4965.3962      14.083801
            0.3      4990.7528      13.858652      4990.7528      13.858652      4990.7528      13.858652
            0.4      4972.9632      13.900349      4972.9632      13.900349      4972.9632      13.900349
            0.5      4936.5838       13.88074      4936.5838       13.88074      4936.5838       13.88074
            0.6      4924.6079      13.853691      4924.6079      13.853691      4924.6079      13.853691
            0.7      4908.8412      14.474932      4908.8412      14.474932      4908.8412      14.474932
            0.8      4868.4848       13.97382      4868.4848       13.97382      4868.4848       13.97382
            0.9      4818.6991       13.89855      4818.6991       13.89855      4818.6991       13.89855
              1      4818.8379      13.807687      4818.8379      13.807687      4818.8379      13.807687
            1.1       4750.552      14.192948       4750.552      14.192948       4750.552      14.192948
            1.2      4724.0772      13.963736      4724.0772      13.963736      4724.0772      13.963736
            1.3      4644.1135      13.666514      4644.1135      13.666514      4644.1135      13.666514
            1.4      4620.3218      13.618448      4620.3218      13.618448      4620.3218      13.618448
            1.5      4541.8708      13.663595      4541.8708      13.663595      4541.8708      13.663595
            1.6      4469.6182       13.49443      4469.6182       13.49443      4469.6182       13.49443
            1.7      4369.9757      13.395977      4369.9757      13.395977      4369.9757      13.395977
            1.8      4289.8687      13.512788      4289.8687      13.512788      4289.8687      13.512788
            1.9      4188.9577      13.122173      4188.9577      13.122173      4188.9577      13.122173
              2      4082.2334      13.062099      4082.2334      13.062099      4082.2334      13.062099
            2.1      3981.0742      12.979025      3981.0742      12.979025      3981.0742      12.979025
            2.2      3811.8283      12.792526      3811.8283      12.792526      3811.8283      12.792526
            2.3      3675.2618      12.583999      3675.2618      12.583999      3675.2618      12.583999
            2.4      3531.3511      12.714174      3531.3511      12.714174      3531.3511      12.714174
            2.5      3360.1911      12.139918      3360.1911      12.139918      3360.1911      12.139918
            2.6      3154.1144      11.904222      3154.1144      11.904222      3154.1144      11.904222
            2.7      2976.1758      11.646619      2976.1758      11.646619      2976.1758      11.646619
            2.8      2765.7036       11.26937      2765.7036       11.26937      2765.7036       11.26937
            2.9      2521.1304       10.94404      2521.1304       10.94404      2521.1304       10.94404
              3      2308.2719      10.564058      2308.2719      10.564058      2308.2719      10.564058
            3.1      2117.0009      10.130178      2117.0009      10.130178      2117.0009      10.130178
            3.2      1872.7015      9.5924067      1872.7015      9.5924067      1872.7015      9.5924067
            3.3      1644.2157      9.1027904      1644.2157      9.1027904      1644.2157      9.1027904
            3.4      1394.3736      8.5279332      1394.3736      8.5279332      1394.3736      8.5279332
            3.5      1177.7711      7.8968008      1177.7711      7.8968008      1177.7711      7.8968008
            3.6      967.20596      7.2501707      967.20596      7.2501707      967.20596      7.2501707
            3.7      780.88287       6.599356      780.88287       6.599356      780.88287       6.599356
            3.8      601.42552      5.9090164      601.42552      5.9090164      601.42552      5.9090164
            3.9      443.46795      5.1887106      443.46795      5.1887106      443.46795      5.1887106
              4       318.3699      4.5078775       318.3699      4.5078775       318.3699      4.5078775
            4.1      213.85855      3.7469275      213.85855      3.7469275      213.85855      3.7469275
            4.2      131.93782      2.9912594      131.93782      2.9912594      131.93782      2.9912594
            4.3      77.778127      2.3011593      77.778127      2.3011593      77.778127      2.3011593
            4.4      39.119235      1.7261079      39.119235      1.7261079      39.119235      1.7261079
            4.5      19.881357      1.2471786      19.881357      1.2471786      19.881357      1.2471786
            4.6      7.9068618     0.83940207      7.9068618     0.83940207      7.9068618     0.83940207
            4.7      2.1987221     0.48674912      2.1987221     0.48674912      2.1987221     0.48674912
            4.8     0.29519685     0.35094177     0.29519685     0.35094177     0.29519685     0.35094177
            4.9      0.1634685     0.28053304      0.1634685     0.28053304      0.1634685     0.28053304
              5      0.1634685     0.28053304      0.1634685     0.28053304      0.1634685     0.28053304
