#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      457.93238      4.7618311      457.93238      4.7618311      457.93238      4.7618311
           -4.9      516.81662      5.0570643      516.81662      5.0570643      516.81662      5.0570643
           -4.8      579.24283      5.3192945      579.24283      5.3192945      579.24283      5.3192945
           -4.7      646.31848      5.6577348      646.31848      5.6577348      646.31848      5.6577348
           -4.6      734.49854      6.0094201      734.49854      6.0094201      734.49854      6.0094201
           -4.5      815.19428      6.2417537      815.19428      6.2417537      815.19428      6.2417537
           -4.4       904.3359      6.5358947       904.3359      6.5358947       904.3359      6.5358947
           -4.3      994.36172      7.1170323      994.36172      7.1170323      994.36172      7.1170323
           -4.2      1082.8537      7.4095466      1082.8537      7.4095466      1082.8537      7.4095466
           -4.1      1183.1689      7.3977692      1183.1689      7.3977692      1183.1689      7.3977692
             -4      1312.4359      7.8064193      1312.4359      7.8064193      1312.4359      7.8064193
           -3.9      1443.4467      8.1546382      1443.4467      8.1546382      1443.4467      8.1546382
           -3.8      1530.7138      8.3388325      1530.7138      8.3388325      1530.7138      8.3388325
           -3.7      1661.5703      8.6517603      1661.5703      8.6517603      1661.5703      8.6517603
           -3.6      1774.1399      8.9116751      1774.1399      8.9116751      1774.1399      8.9116751
           -3.5      1902.2408      9.2124892      1902.2408      9.2124892      1902.2408      9.2124892
           -3.4      2045.8105      9.5625031      2045.8105      9.5625031      2045.8105      9.5625031
           -3.3       2145.103      9.7519428       2145.103      9.7519428       2145.103      9.7519428
           -3.2      2299.5119      9.9827175      2299.5119      9.9827175      2299.5119      9.9827175
           -3.1      2422.4568      10.394164      2422.4568      10.394164      2422.4568      10.394164
             -3      2540.8739      10.508337      2540.8739      10.508337      2540.8739      10.508337
           -2.9      2683.6234       10.71917      2683.6234       10.71917      2683.6234       10.71917
           -2.8      2806.1542      10.970577      2806.1542      10.970577      2806.1542      10.970577
           -2.7      2945.3881      11.166737      2945.3881      11.166737      2945.3881      11.166737
           -2.6      3075.0639      11.383717      3075.0639      11.383717      3075.0639      11.383717
           -2.5      3165.9193      11.504889      3165.9193      11.504889      3165.9193      11.504889
           -2.4      3308.6965       11.72524      3308.6965       11.72524      3308.6965       11.72524
           -2.3      3399.6215      11.923735      3399.6215      11.923735      3399.6215      11.923735
           -2.2      3517.9272      12.050182      3517.9272      12.050182      3517.9272      12.050182
           -2.1      3629.6737      12.346002      3629.6737      12.346002      3629.6737      12.346002
             -2       3701.235      12.823591       3701.235      12.823591       3701.235      12.823591
           -1.9      3800.6594      12.414806      3800.6594      12.414806      3800.6594      12.414806
           -1.8      3887.0819      12.546869      3887.0819      12.546869      3887.0819      12.546869
           -1.7      3981.2644      12.738779      3981.2644      12.738779      3981.2644      12.738779
           -1.6      4026.0114       12.78744      4026.0114       12.78744      4026.0114       12.78744
           -1.5      4060.4579      12.752439      4060.4579      12.752439      4060.4579      12.752439
           -1.4      4115.4335      12.825882      4115.4335      12.825882      4115.4335      12.825882
           -1.3      4160.1486      12.855024      4160.1486      12.855024      4160.1486      12.855024
           -1.2      4192.6815      12.894826      4192.6815      12.894826      4192.6815      12.894826
           -1.1      4209.4916      13.048388      4209.4916      13.048388      4209.4916      13.048388
             -1      4233.5803      12.956941      4233.5803      12.956941      4233.5803      12.956941
           -0.9      4230.0393      12.975031      4230.0393      12.975031      4230.0393      12.975031
