#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      346.47316      1.3101043      346.47316      1.3101043      346.47316      1.3101043
              1      964.46267      2.2028377      964.46267      2.2028377      964.46267      2.2028377
              2      1403.9658      2.5619283      1403.9658      2.5619283      1403.9658      2.5619283
              3       1635.311      2.7306597       1635.311      2.7306597       1635.311      2.7306597
              4      1713.5328      2.7603739      1713.5328      2.7603739      1713.5328      2.7603739
              5       1691.857      2.7220568       1691.857      2.7220568       1691.857      2.7220568
              6      1601.8485      2.6437735      1601.8485      2.6437735      1601.8485      2.6437735
              7      1497.5267      2.5469766      1497.5267      2.5469766      1497.5267      2.5469766
              8      1371.3082      2.3941643      1371.3082      2.3941643      1371.3082      2.3941643
              9      1250.3987      2.2747347      1250.3987      2.2747347      1250.3987      2.2747347
             10      1136.6012      2.1733925      1136.6012      2.1733925      1136.6012      2.1733925
             11      1030.0176      2.0412952      1030.0176      2.0412952      1030.0176      2.0412952
             12      934.57591      1.9399141      934.57591      1.9399141      934.57591      1.9399141
             13      848.89043      1.8353827      848.89043      1.8353827      848.89043      1.8353827
             14      770.73423      1.7571563      770.73423      1.7571563      770.73423      1.7571563
             15      699.89094       1.667832      699.89094       1.667832      699.89094       1.667832
             16      638.33103      1.5769052      638.33103      1.5769052      638.33103      1.5769052
             17       581.9303      1.5036793       581.9303      1.5036793       581.9303      1.5036793
             18      532.48465      1.4373272      532.48465      1.4373272      532.48465      1.4373272
             19      489.77188       1.374771      489.77188       1.374771      489.77188       1.374771
             20      446.24211      1.3110006      446.24211      1.3110006      446.24211      1.3110006
             21      412.22057      1.2557446      412.22057      1.2557446      412.22057      1.2557446
             22      380.05137      1.2075627      380.05137      1.2075627      380.05137      1.2075627
             23      349.01426      1.1517095      349.01426      1.1517095      349.01426      1.1517095
             24      323.82591      1.1074437      323.82591      1.1074437      323.82591      1.1074437
             25      298.81909      1.0607057      298.81909      1.0607057      298.81909      1.0607057
             26      278.65595      1.0229047      278.65595      1.0229047      278.65595      1.0229047
             27       257.5127     0.98624476       257.5127     0.98624476       257.5127     0.98624476
             28       238.2997     0.94819681       238.2997     0.94819681       238.2997     0.94819681
             29      223.23765     0.91532413      223.23765     0.91532413      223.23765     0.91532413
             30      208.72208     0.87861252      208.72208     0.87861252      208.72208     0.87861252
             31      196.25668     0.85204314      196.25668     0.85204314      196.25668     0.85204314
             32      183.24183     0.82431738      183.24183     0.82431738      183.24183     0.82431738
             33      170.00479     0.80210268      170.00479     0.80210268      170.00479     0.80210268
             34      160.63504     0.77033726      160.63504     0.77033726      160.63504     0.77033726
             35      151.31535     0.74590882      151.31535     0.74590882      151.31535     0.74590882
             36      141.50843     0.72113485      141.50843     0.72113485      141.50843     0.72113485
             37      132.51786     0.69858493      132.51786     0.69858493      132.51786     0.69858493
             38      125.27513      0.6772226      125.27513      0.6772226      125.27513      0.6772226
             39      117.06042     0.65814421      117.06042     0.65814421      117.06042     0.65814421
             40      111.94358     0.63997861      111.94358     0.63997861      111.94358     0.63997861
             41      105.83308     0.62541368      105.83308     0.62541368      105.83308     0.62541368
             42        99.0953     0.60413596        99.0953     0.60413596        99.0953     0.60413596
             43      93.859117      0.5850606      93.859117      0.5850606      93.859117      0.5850606
             44      88.594335     0.57146939      88.594335     0.57146939      88.594335     0.57146939
             45      83.736327     0.55221224      83.736327     0.55221224      83.736327     0.55221224
             46      78.922747     0.53870922      78.922747     0.53870922      78.922747     0.53870922
             47      75.084948     0.53290518      75.084948     0.53290518      75.084948     0.53290518
             48      71.996139      0.5110542      71.996139      0.5110542      71.996139      0.5110542
             49      68.539626     0.49775724      68.539626     0.49775724      68.539626     0.49775724
             50      68.539626     0.49775724      68.539626     0.49775724      68.539626     0.49775724
