#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2156.9252       1.213558      2156.9252       1.213558      2156.9252       1.213558
             15      1263.6976     0.95407325      1263.6976     0.95407325      1263.6976     0.95407325
             20      691.35888     0.72086216      691.35888     0.72086216      691.35888     0.72086216
             25      416.22647      0.5627464      416.22647      0.5627464      416.22647      0.5627464
             30      268.62969     0.45696615      268.62969     0.45696615      268.62969     0.45696615
             35      184.62342     0.37598576      184.62342     0.37598576      184.62342     0.37598576
             40      132.64708     0.31836273      132.64708     0.31836273      132.64708     0.31836273
             45      98.447925     0.27317466      98.447925     0.27317466      98.447925     0.27317466
             50      75.024592     0.25229216      75.024592     0.25229216      75.024592     0.25229216
             55      59.184332     0.21542228      59.184332     0.21542228      59.184332     0.21542228
             60      47.030374     0.18856264      47.030374     0.18856264      47.030374     0.18856264
             65      38.513319     0.17221576      38.513319     0.17221576      38.513319     0.17221576
             70      31.666664     0.15631945      31.666664     0.15631945      31.666664     0.15631945
             75      26.160764     0.14162608      26.160764     0.14162608      26.160764     0.14162608
             80      22.104065     0.12899462      22.104065     0.12899462      22.104065     0.12899462
             85      18.730178     0.11845777      18.730178     0.11845777      18.730178     0.11845777
             90      15.997021     0.13061422      15.997021     0.13061422      15.997021     0.13061422
             95      14.040094     0.10426196      14.040094     0.10426196      14.040094     0.10426196
            100      14.040094     0.10426196      14.040094     0.10426196      14.040094     0.10426196
