# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      305.11156      2.1098656      305.11156      2.1098656      305.11156      2.1098656
     0.31415927      331.28622      2.0228769      331.28622      2.0228769      331.28622      2.0228769
     0.62831853      345.34726      2.1418287      345.34726      2.1418287      345.34726      2.1418287
      0.9424778      367.96531      2.1601867      367.96531      2.1601867      367.96531      2.1601867
      1.2566371      411.16223      2.3398183      411.16223      2.3398183      411.16223      2.3398183
      1.5707963      492.38083      2.5368763      492.38083      2.5368763      492.38083      2.5368763
      1.8849556       624.1284      2.9897177       624.1284      2.9897177       624.1284      2.9897177
      2.1991149      848.99428      3.4690859      848.99428      3.4690859      848.99428      3.4690859
      2.5132741      1211.9952      3.9140669      1211.9952      3.9140669      1211.9952      3.9140669
      2.8274334      1690.7376      4.6629779      1690.7376      4.6629779      1690.7376      4.6629779
      3.1415927      1690.7376      4.6629779      1690.7376      4.6629779      1690.7376      4.6629779
