#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      1710.3114     0.67942449      1710.3114     0.67942449      1710.3114     0.67942449
             20      553.79268     0.44150012      553.79268     0.44150012      553.79268     0.44150012
             30      226.62655     0.29172824      226.62655     0.29172824      226.62655     0.29172824
             40       115.5475     0.20821191       115.5475     0.20821191       115.5475     0.20821191
             50      67.104462     0.16521482      67.104462     0.16521482      67.104462     0.16521482
             60      42.771847     0.12733555      42.771847     0.12733555      42.771847     0.12733555
             70      28.913714     0.10527433      28.913714     0.10527433      28.913714     0.10527433
             80      20.417122    0.087450483      20.417122    0.087450483      20.417122    0.087450483
             90      15.018557    0.083496265      15.018557    0.083496265      15.018557    0.083496265
            100      11.282396    0.064910445      11.282396    0.064910445      11.282396    0.064910445
            110      8.6451094    0.057429362      8.6451094    0.057429362      8.6451094    0.057429362
            120      6.7931683     0.05038246      6.7931683     0.05038246      6.7931683     0.05038246
            130      5.4715109    0.045017513      5.4715109    0.045017513      5.4715109    0.045017513
            140      4.3906187    0.039982385      4.3906187    0.039982385      4.3906187    0.039982385
            150      3.6564533    0.037230207      3.6564533    0.037230207      3.6564533    0.037230207
            160      2.9869041    0.033846211      2.9869041    0.033846211      2.9869041    0.033846211
            170      2.5156931    0.031551093      2.5156931    0.031551093      2.5156931    0.031551093
            180      2.0284025    0.030312897      2.0284025    0.030312897      2.0284025    0.030312897
            190      1.7838331    0.026032942      1.7838331    0.026032942      1.7838331    0.026032942
            200      1.5133246    0.023964216      1.5133246    0.023964216      1.5133246    0.023964216
            210      1.2681624    0.021459566      1.2681624    0.021459566      1.2681624    0.021459566
            220      1.1246962    0.021497102      1.1246962    0.021497102      1.1246962    0.021497102
            230      0.9972654    0.020004564      0.9972654    0.020004564      0.9972654    0.020004564
            240     0.85470015     0.01812696     0.85470015     0.01812696     0.85470015     0.01812696
            250     0.73936752    0.016431883     0.73936752    0.016431883     0.73936752    0.016431883
            260     0.65124857    0.016867949     0.65124857    0.016867949     0.65124857    0.016867949
            270     0.60980774    0.015979601     0.60980774    0.015979601     0.60980774    0.015979601
            280     0.53483965    0.014494871     0.53483965    0.014494871     0.53483965    0.014494871
            290     0.47680374    0.013125498     0.47680374    0.013125498     0.47680374    0.013125498
            300     0.41420497    0.012206263     0.41420497    0.012206263     0.41420497    0.012206263
            310     0.36653616    0.011815805     0.36653616    0.011815805     0.36653616    0.011815805
            320     0.34220317    0.010849729     0.34220317    0.010849729     0.34220317    0.010849729
            330     0.29225159    0.010189828     0.29225159    0.010189828     0.29225159    0.010189828
            340     0.26293836    0.010097518     0.26293836    0.010097518     0.26293836    0.010097518
            350     0.23533176   0.0095769429     0.23533176   0.0095769429     0.23533176   0.0095769429
            360     0.20577946   0.0087980199     0.20577946   0.0087980199     0.20577946   0.0087980199
            370      0.1996748   0.0084958952      0.1996748   0.0084958952      0.1996748   0.0084958952
            380     0.18203788   0.0084978651     0.18203788   0.0084978651     0.18203788   0.0084978651
            390     0.18423274    0.013524719     0.18423274    0.013524719     0.18423274    0.013524719
            400     0.14923252   0.0077081439     0.14923252   0.0077081439     0.14923252   0.0077081439
            410     0.12576792   0.0067851495     0.12576792   0.0067851495     0.12576792   0.0067851495
            420     0.12253293   0.0066990996     0.12253293   0.0066990996     0.12253293   0.0066990996
            430     0.12241475   0.0067360439     0.12241475   0.0067360439     0.12241475   0.0067360439
            440    0.094813208   0.0061387659    0.094813208   0.0061387659    0.094813208   0.0061387659
            450    0.087576599   0.0058907696    0.087576599   0.0058907696    0.087576599   0.0058907696
            460    0.083088593   0.0054243643    0.083088593   0.0054243643    0.083088593   0.0054243643
            470    0.083871417   0.0053752915    0.083871417   0.0053752915    0.083871417   0.0053752915
            480    0.072634232   0.0049656531    0.072634232   0.0049656531    0.072634232   0.0049656531
            490    0.062905011   0.0048058314    0.062905011   0.0048058314    0.062905011   0.0048058314
            500    0.062905011   0.0048058314    0.062905011   0.0048058314    0.062905011   0.0048058314
