#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      4.2703382     0.55310446      4.2703382     0.55310446      4.2703382     0.55310446
           -4.9      11.640058     0.82888558      11.640058     0.82888558      11.640058     0.82888558
           -4.8      26.223189      1.3192186      26.223189      1.3192186      26.223189      1.3192186
           -4.7      59.561578      2.2023402      59.561578      2.2023402      59.561578      2.2023402
           -4.6      108.56149      2.5371912      108.56149      2.5371912      108.56149      2.5371912
           -4.5      178.58656       3.236666      178.58656       3.236666      178.58656       3.236666
           -4.4      293.54239      4.0258117      293.54239      4.0258117      293.54239      4.0258117
           -4.3      440.21779      4.8668642      440.21779      4.8668642      440.21779      4.8668642
           -4.2      626.33036      5.7505557      626.33036      5.7505557      626.33036      5.7505557
           -4.1      826.62833      6.5253298      826.62833      6.5253298      826.62833      6.5253298
             -4      1054.9752      7.3137077      1054.9752      7.3137077      1054.9752      7.3137077
           -3.9      1302.1711      8.0197483      1302.1711      8.0197483      1302.1711      8.0197483
           -3.8      1547.6848      8.7016119      1547.6848      8.7016119      1547.6848      8.7016119
           -3.7      1792.3914      9.3955921      1792.3914      9.3955921      1792.3914      9.3955921
           -3.6       2056.407      9.8826506       2056.407      9.8826506       2056.407      9.8826506
           -3.5      2304.8759      10.362187      2304.8759      10.362187      2304.8759      10.362187
           -3.4      2536.4621      10.789742      2536.4621      10.789742      2536.4621      10.789742
           -3.3      2767.6052      11.192472      2767.6052      11.192472      2767.6052      11.192472
           -3.2       2953.057      11.525772       2953.057      11.525772       2953.057      11.525772
           -3.1      3125.7092      11.811627      3125.7092      11.811627      3125.7092      11.811627
             -3      3299.8817      12.037802      3299.8817      12.037802      3299.8817      12.037802
           -2.9      3442.7976      12.230326      3442.7976      12.230326      3442.7976      12.230326
           -2.8      3575.1266      12.371305      3575.1266      12.371305      3575.1266      12.371305
           -2.7      3673.4196       12.49605      3673.4196       12.49605      3673.4196       12.49605
           -2.6      3762.7159      12.806036      3762.7159      12.806036      3762.7159      12.806036
           -2.5      3829.0913       12.69547      3829.0913       12.69547      3829.0913       12.69547
           -2.4      3895.4822      12.740033      3895.4822      12.740033      3895.4822      12.740033
           -2.3      3923.9892      12.722726      3923.9892      12.722726      3923.9892      12.722726
           -2.2      3969.2903      12.853218      3969.2903      12.853218      3969.2903      12.853218
           -2.1       4020.598      12.840335       4020.598      12.840335       4020.598      12.840335
             -2       4025.201      12.823111       4025.201      12.823111       4025.201      12.823111
           -1.9      4059.7119       12.91214      4059.7119       12.91214      4059.7119       12.91214
           -1.8      4071.5122      12.757281      4071.5122      12.757281      4071.5122      12.757281
           -1.7      4083.3883      12.889437      4083.3883      12.889437      4083.3883      12.889437
           -1.6      4091.4187      12.817788      4091.4187      12.817788      4091.4187      12.817788
           -1.5       4085.352      12.779249       4085.352      12.779249       4085.352      12.779249
           -1.4      4080.8069      12.701769      4080.8069      12.701769      4080.8069      12.701769
           -1.3      4099.6446      12.739806      4099.6446      12.739806      4099.6446      12.739806
           -1.2      4083.8031      12.702181      4083.8031      12.702181      4083.8031      12.702181
           -1.1      4097.0042      12.734564      4097.0042      12.734564      4097.0042      12.734564
             -1      4079.9397      12.677761      4079.9397      12.677761      4079.9397      12.677761
           -0.9      4071.7683      12.724095      4071.7683      12.724095      4071.7683      12.724095
           -0.8      4092.3482      12.631716      4092.3482      12.631716      4092.3482      12.631716
           -0.7      4078.8344       12.61732      4078.8344       12.61732      4078.8344       12.61732
           -0.6      4094.5664      12.597029      4094.5664      12.597029      4094.5664      12.597029
           -0.5      4078.4248      12.581524      4078.4248      12.581524      4078.4248      12.581524
           -0.4      4055.0652       12.54739      4055.0652       12.54739      4055.0652       12.54739
           -0.3      4040.7874      12.494691      4040.7874      12.494691      4040.7874      12.494691
           -0.2      4059.7055      12.609576      4059.7055      12.609576      4059.7055      12.609576
           -0.1      4053.5545      12.828249      4053.5545      12.828249      4053.5545      12.828249
              0      4067.9421      12.548734      4067.9421      12.548734      4067.9421      12.548734
            0.1      4041.6511      12.509964      4041.6511      12.509964      4041.6511      12.509964
            0.2       4057.991      12.549623       4057.991      12.549623       4057.991      12.549623
            0.3      4073.6229      12.635386      4073.6229      12.635386      4073.6229      12.635386
            0.4       4056.872      12.563037       4056.872      12.563037       4056.872      12.563037
            0.5      4070.1277      12.684029      4070.1277      12.684029      4070.1277      12.684029
            0.6      4072.7106      12.580918      4072.7106      12.580918      4072.7106      12.580918
            0.7      4056.0767      12.654467      4056.0767      12.654467      4056.0767      12.654467
            0.8      4071.2526      12.693046      4071.2526      12.693046      4071.2526      12.693046
            0.9      4083.3455      12.761925      4083.3455      12.761925      4083.3455      12.761925
              1      4070.0851      12.725977      4070.0851      12.725977      4070.0851      12.725977
            1.1      4072.5367      12.753649      4072.5367      12.753649      4072.5367      12.753649
            1.2      4071.9971      12.962612      4071.9971      12.962612      4071.9971      12.962612
            1.3      4102.4507      12.803932      4102.4507      12.803932      4102.4507      12.803932
            1.4      4095.2724      12.752659      4095.2724      12.752659      4095.2724      12.752659
            1.5       4070.706      12.832502       4070.706      12.832502       4070.706      12.832502
            1.6      4070.0607      12.889345      4070.0607      12.889345      4070.0607      12.889345
            1.7      4072.7266      13.186146      4072.7266      13.186146      4072.7266      13.186146
            1.8      4073.6165       12.95494      4073.6165       12.95494      4073.6165       12.95494
            1.9      4036.2355      12.874503      4036.2355      12.874503      4036.2355      12.874503
              2       4020.236      12.906446       4020.236      12.906446       4020.236      12.906446
            2.1      3972.5992      13.399414      3972.5992      13.399414      3972.5992      13.399414
            2.2      3931.8869      12.873368      3931.8869      12.873368      3931.8869      12.873368
            2.3      3886.2545      12.804099      3886.2545      12.804099      3886.2545      12.804099
            2.4      3817.2116      12.730265      3817.2116      12.730265      3817.2116      12.730265
            2.5      3758.2894       12.72451      3758.2894       12.72451      3758.2894       12.72451
            2.6      3674.5026      12.539138      3674.5026      12.539138      3674.5026      12.539138
            2.7           3552      12.423373           3552      12.423373           3552      12.423373
            2.8      3448.8175      12.253194      3448.8175      12.253194      3448.8175      12.253194
            2.9      3302.9303      12.115041      3302.9303      12.115041      3302.9303      12.115041
              3      3153.6083      12.550666      3153.6083      12.550666      3153.6083      12.550666
            3.1      2953.0725       11.62991      2953.0725       11.62991      2953.0725       11.62991
            3.2      2754.2263      11.268707      2754.2263      11.268707      2754.2263      11.268707
            3.3      2535.0627       10.94951      2535.0627       10.94951      2535.0627       10.94951
            3.4      2303.8212      10.496898      2303.8212      10.496898      2303.8212      10.496898
            3.5      2068.2446      10.167863      2068.2446      10.167863      2068.2446      10.167863
            3.6      1813.2837      9.3733982      1813.2837      9.3733982      1813.2837      9.3733982
            3.7      1540.9596         8.7803      1540.9596         8.7803      1540.9596         8.7803
            3.8      1289.8716      8.1327289      1289.8716      8.1327289      1289.8716      8.1327289
            3.9      1054.5442      7.4072595      1054.5442      7.4072595      1054.5442      7.4072595
              4      814.41758      6.6835394      814.41758      6.6835394      814.41758      6.6835394
            4.1      623.00117      5.8351523      623.00117      5.8351523      623.00117      5.8351523
            4.2      436.35671      4.9913432      436.35671      4.9913432      436.35671      4.9913432
            4.3      298.72123      4.1415129      298.72123      4.1415129      298.72123      4.1415129
            4.4      183.04942      3.5383692      183.04942      3.5383692      183.04942      3.5383692
            4.5      107.36143      2.5181269      107.36143      2.5181269      107.36143      2.5181269
            4.6         56.649      1.9428222         56.649      1.9428222         56.649      1.9428222
            4.7      26.668646      1.3397526      26.668646      1.3397526      26.668646      1.3397526
            4.8      11.500455     0.91757727      11.500455     0.91757727      11.500455     0.91757727
            4.9      4.9191466     0.53579155      4.9191466     0.53579155      4.9191466     0.53579155
              5      4.9191466     0.53579155      4.9191466     0.53579155      4.9191466     0.53579155
