#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            100       342.5976     0.38403301       342.5976     0.38403301       342.5976     0.38403301
            110      313.13075     0.35687568      313.13075     0.35687568      313.13075     0.35687568
            120      257.22724      0.3197494      257.22724      0.3197494      257.22724      0.3197494
            130      207.43895     0.28576099      207.43895     0.28576099      207.43895     0.28576099
            140       170.2721     0.25826539       170.2721     0.25826539       170.2721     0.25826539
            150      142.02261     0.23555442      142.02261     0.23555442      142.02261     0.23555442
            160      119.48135     0.21645792      119.48135     0.21645792      119.48135     0.21645792
            170      102.19455      0.2006988      102.19455      0.2006988      102.19455      0.2006988
            180       87.81521     0.18444211       87.81521     0.18444211       87.81521     0.18444211
            190      76.748399     0.17313491      76.748399     0.17313491      76.748399     0.17313491
            200      67.550299     0.16136845      67.550299     0.16136845      67.550299     0.16136845
            210      59.867968     0.15248352      59.867968     0.15248352      59.867968     0.15248352
            220      53.426942     0.14389124      53.426942     0.14389124      53.426942     0.14389124
            230      47.774081     0.13865629      47.774081     0.13865629      47.774081     0.13865629
            240      42.930522     0.13128081      42.930522     0.13128081      42.930522     0.13128081
            250      38.786758     0.12237388      38.786758     0.12237388      38.786758     0.12237388
            260      35.100633     0.11717291      35.100633     0.11717291      35.100633     0.11717291
            270       32.06909     0.11133265       32.06909     0.11133265       32.06909     0.11133265
            280      29.306955     0.10637451      29.306955     0.10637451      29.306955     0.10637451
            290      26.835218     0.10179392      26.835218     0.10179392      26.835218     0.10179392
            300      24.695211    0.097486182      24.695211    0.097486182      24.695211    0.097486182
            310      22.576871    0.093230031      22.576871    0.093230031      22.576871    0.093230031
            320      20.769238    0.096259804      20.769238    0.096259804      20.769238    0.096259804
            330      19.298722    0.086063581      19.298722    0.086063581      19.298722    0.086063581
            340      17.875341    0.083034949      17.875341    0.083034949      17.875341    0.083034949
            350      16.503236    0.079222394      16.503236    0.079222394      16.503236    0.079222394
            360      15.364517    0.076629707      15.364517    0.076629707      15.364517    0.076629707
            370      14.193824    0.073470117      14.193824    0.073470117      14.193824    0.073470117
            380      13.235936    0.071472532      13.235936    0.071472532      13.235936    0.071472532
