# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      86.147712      1.1402211      86.147712      1.1402211      86.147712      1.1402211
     0.31415927      89.974541      1.0823468      89.974541      1.0823468      89.974541      1.0823468
     0.62831853      93.547721      1.1492261      93.547721      1.1492261      93.547721      1.1492261
      0.9424778       100.3281      1.1494997       100.3281      1.1494997       100.3281      1.1494997
      1.2566371      109.38102      1.2650389      109.38102      1.2650389      109.38102      1.2650389
      1.5707963      134.86067      1.3814962      134.86067      1.3814962      134.86067      1.3814962
      1.8849556      170.54365      1.5694181      170.54365      1.5694181      170.54365      1.5694181
      2.1991149      236.29666      2.0970757      236.29666      2.0970757      236.29666      2.0970757
      2.5132741      348.87651      2.1448525      348.87651      2.1448525      348.87651      2.1448525
      2.8274334      546.98584      2.7308356      546.98584      2.7308356      546.98584      2.7308356
      3.1415927      546.98584      2.7308356      546.98584      2.7308356      546.98584      2.7308356
