#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      91.411992     0.66853591      91.411992     0.66853591      91.411992     0.66853591
              1      271.20715      1.1690221      271.20715      1.1690221      271.20715      1.1690221
              2      439.40884      1.4623327      439.40884      1.4623327      439.40884      1.4623327
              3      585.55744      1.6921434      585.55744      1.6921434      585.55744      1.6921434
              4      701.50283      1.8334333      701.50283      1.8334333      701.50283      1.8334333
              5      797.79324      1.9519924      797.79324      1.9519924      797.79324      1.9519924
              6      859.21235      2.0080544      859.21235      2.0080544      859.21235      2.0080544
              7      901.53105      2.0483602      901.53105      2.0483602      901.53105      2.0483602
              8      925.33881      2.0787924      925.33881      2.0787924      925.33881      2.0787924
              9      929.44156      2.0448173      929.44156      2.0448173      929.44156      2.0448173
             10      922.07679      2.0314128      922.07679      2.0314128      922.07679      2.0314128
             11      904.20432      1.9978138      904.20432      1.9978138      904.20432      1.9978138
             12      883.95365      1.9751817      883.95365      1.9751817      883.95365      1.9751817
             13      853.47683      1.9189131      853.47683      1.9189131      853.47683      1.9189131
             14       820.5781      1.8715014       820.5781      1.8715014       820.5781      1.8715014
             15      788.22963      1.8257191      788.22963      1.8257191      788.22963      1.8257191
             16      752.97069      1.7777431      752.97069      1.7777431      752.97069      1.7777431
             17      719.04736      1.7247443      719.04736      1.7247443      719.04736      1.7247443
             18       680.9198      1.7440897       680.9198      1.7440897       680.9198      1.7440897
             19      648.13493      1.6364405      648.13493      1.6364405      648.13493      1.6364405
             20      618.01276      1.5852201      618.01276      1.5852201      618.01276      1.5852201
             21      585.19986      1.5520067      585.19986      1.5520067      585.19986      1.5520067
             22      556.91313      1.4973659      556.91313      1.4973659      556.91313      1.4973659
             23      528.33196       1.462511      528.33196       1.462511      528.33196       1.462511
             24      502.42654      1.4168426      502.42654      1.4168426      502.42654      1.4168426
             25      474.56864      1.3751548      474.56864      1.3751548      474.56864      1.3751548
             26      449.90422      1.3295245      449.90422      1.3295245      449.90422      1.3295245
             27      427.09524      1.2990081      427.09524      1.2990081      427.09524      1.2990081
             28      407.58014      1.2631207      407.58014      1.2631207      407.58014      1.2631207
             29      384.61168        1.23007      384.61168        1.23007      384.61168        1.23007
             30      366.02021      1.1921092      366.02021      1.1921092      366.02021      1.1921092
             31       345.8103       1.160319       345.8103       1.160319       345.8103       1.160319
             32      329.38302      1.1475398      329.38302      1.1475398      329.38302      1.1475398
             33      314.45832      1.1012328      314.45832      1.1012328      314.45832      1.1012328
             34      296.15732       1.064142      296.15732       1.064142      296.15732       1.064142
             35      282.25192      1.0377408      282.25192      1.0377408      282.25192      1.0377408
             36      271.84089      1.0221574      271.84089      1.0221574      271.84089      1.0221574
             37      256.47113     0.98860616      256.47113     0.98860616      256.47113     0.98860616
             38      244.89757     0.96543456      244.89757     0.96543456      244.89757     0.96543456
             39      232.17362     0.94350539      232.17362     0.94350539      232.17362     0.94350539
             40       222.2712     0.91866271       222.2712     0.91866271       222.2712     0.91866271
             41      211.31356     0.89571029      211.31356     0.89571029      211.31356     0.89571029
             42      202.63972     0.87337256      202.63972     0.87337256      202.63972     0.87337256
             43      196.05353     0.85805696      196.05353     0.85805696      196.05353     0.85805696
             44      185.00219     0.83974007      185.00219     0.83974007      185.00219     0.83974007
             45      177.33363     0.82145052      177.33363     0.82145052      177.33363     0.82145052
             46      168.63508     0.80271679      168.63508     0.80271679      168.63508     0.80271679
             47      161.63981     0.77970415      161.63981     0.77970415      161.63981     0.77970415
             48      155.69227     0.76904091      155.69227     0.76904091      155.69227     0.76904091
             49      148.63873     0.74462898      148.63873     0.74462898      148.63873     0.74462898
             50      148.63873     0.74462898      148.63873     0.74462898      148.63873     0.74462898
