# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      11.180608     0.25881562      11.180608     0.25881562      11.180608     0.25881562
            0.6      37.302686     0.46769808      37.302686     0.46769808      37.302686     0.46769808
            1.2      68.343519     0.63539859      68.343519     0.63539859      68.343519     0.63539859
            1.8      100.10638     0.75317394      100.10638     0.75317394      100.10638     0.75317394
            2.4      121.90424      1.1533934      121.90424      1.1533934      121.90424      1.1533934
            2.7       131.7995       1.181978       131.7995       1.181978       131.7995       1.181978
              3      84.244279     0.94757454      84.244279     0.94757454      84.244279     0.94757454
            3.3       31.49103     0.37992887       31.49103     0.37992887       31.49103     0.37992887
              4      7.4835039     0.16091715      7.4835039     0.16091715      7.4835039     0.16091715
              5      7.4835039     0.16091715      7.4835039     0.16091715      7.4835039     0.16091715
