#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8311.8999      5.1863734      8311.8999      5.1863734      8311.8999      5.1863734
              1      8311.8999      5.1863734      8311.8999      5.1863734      8311.8999      5.1863734
