#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      76.048401     0.59613631      76.048401     0.59613631      76.048401     0.59613631
              1      276.17906      1.1439538      276.17906      1.1439538      276.17906      1.1439538
              2      437.33187      1.4768205      437.33187      1.4768205      437.33187      1.4768205
              3      539.88108      1.6330177      539.88108      1.6330177      539.88108      1.6330177
              4      593.07955       1.701641      593.07955       1.701641      593.07955       1.701641
              5      621.32738      1.7295252      621.32738      1.7295252      621.32738      1.7295252
              6      628.03266      1.7122751      628.03266      1.7122751      628.03266      1.7122751
              7      635.09067      1.7059912      635.09067      1.7059912      635.09067      1.7059912
              8      625.97749      1.6853621      625.97749      1.6853621      625.97749      1.6853621
              9      614.57252      1.6650242      614.57252      1.6650242      614.57252      1.6650242
             10      603.67486       1.635544      603.67486       1.635544      603.67486       1.635544
             11      592.98452      1.6221634      592.98452      1.6221634      592.98452      1.6221634
             12      577.77287      1.5907246      577.77287      1.5907246      577.77287      1.5907246
             13      563.52078      1.5630235      563.52078      1.5630235      563.52078      1.5630235
             14      547.01395      1.5355074      547.01395      1.5355074      547.01395      1.5355074
             15      536.81685      1.5118349      536.81685      1.5118349      536.81685      1.5118349
             16      520.58577      1.4874193      520.58577      1.4874193      520.58577      1.4874193
             17      508.26051      1.4626655      508.26051      1.4626655      508.26051      1.4626655
             18      495.26426      1.4465849      495.26426      1.4465849      495.26426      1.4465849
             19       479.9254      1.4338685       479.9254      1.4338685       479.9254      1.4338685
             20       469.2375      1.3984975       469.2375      1.3984975       469.2375      1.3984975
             21      456.47593      1.3687514      456.47593      1.3687514      456.47593      1.3687514
             22      445.16012      1.3599457      445.16012      1.3599457      445.16012      1.3599457
             23      433.00371      1.3318183      433.00371      1.3318183      433.00371      1.3318183
             24       420.4495      1.3146471       420.4495      1.3146471       420.4495      1.3146471
             25      408.65468      1.3373155      408.65468      1.3373155      408.65468      1.3373155
             26      396.88778      1.2724645      396.88778      1.2724645      396.88778      1.2724645
             27      386.17896      1.2615284      386.17896      1.2615284      386.17896      1.2615284
             28      376.54366      1.2328606      376.54366      1.2328606      376.54366      1.2328606
             29      367.61615      1.2163676      367.61615      1.2163676      367.61615      1.2163676
             30      357.11969      1.2732274      357.11969      1.2732274      357.11969      1.2732274
             31      348.28821      1.1882304      348.28821      1.1882304      348.28821      1.1882304
             32      337.95737      1.1688512      337.95737      1.1688512      337.95737      1.1688512
             33      329.40936      1.1489364      329.40936      1.1489364      329.40936      1.1489364
             34      320.24758        1.14642      320.24758        1.14642      320.24758        1.14642
             35      311.90999      1.1181946      311.90999      1.1181946      311.90999      1.1181946
             36      302.57244       1.097313      302.57244       1.097313      302.57244       1.097313
             37      294.79018      1.0865885      294.79018      1.0865885      294.79018      1.0865885
             38      286.08807      1.0715624      286.08807      1.0715624      286.08807      1.0715624
             39      279.35669      1.0587593      279.35669      1.0587593      279.35669      1.0587593
             40      272.25014      1.0384496      272.25014      1.0384496      272.25014      1.0384496
             41       264.7715      1.0208674       264.7715      1.0208674       264.7715      1.0208674
             42      256.92898      1.0098897      256.92898      1.0098897      256.92898      1.0098897
             43      250.44669     0.99323709      250.44669     0.99323709      250.44669     0.99323709
             44      242.93591     0.98383906      242.93591     0.98383906      242.93591     0.98383906
             45      237.95797     0.98131775      237.95797     0.98131775      237.95797     0.98131775
             46      229.72694     0.95385523      229.72694     0.95385523      229.72694     0.95385523
             47        222.984     0.93720382        222.984     0.93720382        222.984     0.93720382
             48      216.43311     0.92619251      216.43311     0.92619251      216.43311     0.92619251
             49      212.86424     0.91393947      212.86424     0.91393947      212.86424     0.91393947
             50      212.86424     0.91393947      212.86424     0.91393947      212.86424     0.91393947
