#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      544.39907        5.20263      544.39907        5.20263      544.39907        5.20263
           -4.9      646.67253      5.6537097      646.67253      5.6537097      646.67253      5.6537097
           -4.8      751.20305      6.1078618      751.20305      6.1078618      751.20305      6.1078618
           -4.7      856.01686      6.4538351      856.01686      6.4538351      856.01686      6.4538351
           -4.6      965.64921      6.8406305      965.64921      6.8406305      965.64921      6.8406305
           -4.5      1117.0064      7.2578438      1117.0064      7.2578438      1117.0064      7.2578438
           -4.4      1225.0085      7.5808224      1225.0085      7.5808224      1225.0085      7.5808224
           -4.3      1369.9489      8.0516398      1369.9489      8.0516398      1369.9489      8.0516398
           -4.2      1517.3592      8.4207781      1517.3592      8.4207781      1517.3592      8.4207781
           -4.1      1688.4396      8.8346378      1688.4396      8.8346378      1688.4396      8.8346378
             -4      1813.5778      9.0792252      1813.5778      9.0792252      1813.5778      9.0792252
           -3.9      1952.7803      9.4307571      1952.7803      9.4307571      1952.7803      9.4307571
           -3.8      2091.8844      9.7041228      2091.8844      9.7041228      2091.8844      9.7041228
           -3.7       2218.479      9.9603649       2218.479      9.9603649       2218.479      9.9603649
           -3.6      2363.4328      10.268977      2363.4328      10.268977      2363.4328      10.268977
           -3.5      2494.5893      10.577413      2494.5893      10.577413      2494.5893      10.577413
           -3.4       2605.835      10.623984       2605.835      10.623984       2605.835      10.623984
           -3.3      2716.6155       10.89982      2716.6155       10.89982      2716.6155       10.89982
           -3.2       2798.762      10.958177       2798.762      10.958177       2798.762      10.958177
           -3.1      2914.7255      11.260043      2914.7255      11.260043      2914.7255      11.260043
             -3      2987.2859      11.216264      2987.2859      11.216264      2987.2859      11.216264
           -2.9        3068.87      11.333123        3068.87      11.333123        3068.87      11.333123
           -2.8      3139.6606      11.607155      3139.6606      11.607155      3139.6606      11.607155
           -2.7      3185.4945      11.498983      3185.4945      11.498983      3185.4945      11.498983
           -2.6      3246.1204      11.587366      3246.1204      11.587366      3246.1204      11.587366
           -2.5      3288.5326      11.638189      3288.5326      11.638189      3288.5326      11.638189
           -2.4      3326.5559      11.674442      3326.5559      11.674442      3326.5559      11.674442
           -2.3      3371.2623      11.736703      3371.2623      11.736703      3371.2623      11.736703
           -2.2      3411.9402      11.814114      3411.9402      11.814114      3411.9402      11.814114
           -2.1      3452.3468      11.817852      3452.3468      11.817852      3452.3468      11.817852
             -2      3467.3337      11.817874      3467.3337      11.817874      3467.3337      11.817874
           -1.9      3509.8278      11.968596      3509.8278      11.968596      3509.8278      11.968596
           -1.8      3527.8079      12.016275      3527.8079      12.016275      3527.8079      12.016275
           -1.7      3541.7925      11.877292      3541.7925      11.877292      3541.7925      11.877292
           -1.6      3600.7277      11.949276      3600.7277      11.949276      3600.7277      11.949276
           -1.5      3598.9802      12.096056      3598.9802      12.096056      3598.9802      12.096056
           -1.4      3618.7395      11.990763      3618.7395      11.990763      3618.7395      11.990763
           -1.3      3628.3999      12.037983      3628.3999      12.037983      3628.3999      12.037983
