# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0       1323.844      6.5734142       1323.844      6.5734142       1323.844      6.5734142
            0.1      627.09099      4.6630681      627.09099      4.6630681      627.09099      4.6630681
            0.2      295.15446      3.1901983      295.15446      3.1901983      295.15446      3.1901983
            0.3      158.22125      2.3035787      158.22125      2.3035787      158.22125      2.3035787
            0.4      94.733862      1.7920619      94.733862      1.7920619      94.733862      1.7920619
            0.5      57.020357      1.3797655      57.020357      1.3797655      57.020357      1.3797655
            0.6       33.05881      1.0550901       33.05881      1.0550901       33.05881      1.0550901
            0.7      18.820395     0.80362503      18.820395     0.80362503      18.820395     0.80362503
            0.8      6.4795627     0.32910943      6.4795627     0.32910943      6.4795627     0.32910943
              1      6.4795627     0.32910943      6.4795627     0.32910943      6.4795627     0.32910943
