# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      3353.3188       6.391503      3353.3188       6.391503      3353.3188       6.391503
     0.31415927      3590.3024      6.5676978      3590.3024      6.5676978      3590.3024      6.5676978
     0.62831853      3772.0876       6.731805      3772.0876       6.731805      3772.0876       6.731805
      0.9424778      4034.4804      6.9775413      4034.4804      6.9775413      4034.4804      6.9775413
      1.2566371      4461.8562      7.3945568      4461.8562      7.3945568      4461.8562      7.3945568
      1.5707963      5162.7398      8.0494196      5162.7398      8.0494196      5162.7398      8.0494196
      1.8849556       6155.262      8.7209442       6155.262      8.7209442       6155.262      8.7209442
      2.1991149      7495.6732      9.6130087      7495.6732      9.6130087      7495.6732      9.6130087
      2.5132741      9057.1945      10.485149      9057.1945      10.485149      9057.1945      10.485149
      2.8274334      10379.225      11.203356      10379.225      11.203356      10379.225      11.203356
      3.1415927      10379.225      11.203356      10379.225      11.203356      10379.225      11.203356
