#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      2.7508448    0.017544624      2.7508448    0.017544624      2.7508448    0.017544624
             50      2.0322976    0.016729434      2.0322976    0.016729434      2.0322976    0.016729434
             75      1.6097344    0.014617933      1.6097344    0.014617933      1.6097344    0.014617933
            100      1.0805751    0.011896844      1.0805751    0.011896844      1.0805751    0.011896844
            125      0.6799789   0.0094305264      0.6799789   0.0094305264      0.6799789   0.0094305264
            150     0.37033446   0.0049198262     0.37033446   0.0049198262     0.37033446   0.0049198262
            200      0.1820868   0.0034762649      0.1820868   0.0034762649      0.1820868   0.0034762649
            250    0.096763995   0.0026610493    0.096763995   0.0026610493    0.096763995   0.0026610493
            300    0.045468202   0.0012473272    0.045468202   0.0012473272    0.045468202   0.0012473272
            400    0.017666409   0.0007593875    0.017666409   0.0007593875    0.017666409   0.0007593875
            500    0.017666409   0.0007593875    0.017666409   0.0007593875    0.017666409   0.0007593875
