# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      67.771091     0.52718829      67.771091     0.52718829      67.771091     0.52718829
              1      208.63409      1.1826675      208.63409      1.1826675      208.63409      1.1826675
            1.6      341.43268      1.8365808      341.43268      1.8365808      341.43268      1.8365808
              2      515.82694      2.2059006      515.82694      2.2059006      515.82694      2.2059006
            2.4      725.98139      3.6250942      725.98139      3.6250942      725.98139      3.6250942
            2.6      965.02553      4.1664812      965.02553      4.1664812      965.02553      4.1664812
            2.8      1339.4112       4.863116      1339.4112       4.863116      1339.4112       4.863116
              3      1771.8405      5.5904788      1771.8405      5.5904788      1771.8405      5.5904788
            3.2      1015.8711      4.2622044      1015.8711      4.2622044      1015.8711      4.2622044
            3.4      670.20546      3.4886733      670.20546      3.4886733      670.20546      3.4886733
            3.6      419.99568      1.9491901      419.99568      1.9491901      419.99568      1.9491901
              4      240.10533      1.4697212      240.10533      1.4697212      240.10533      1.4697212
            4.4      117.79559     0.85233098      117.79559     0.85233098      117.79559     0.85233098
              5      43.781624     0.51460943      43.781624     0.51460943      43.781624     0.51460943
            5.6      43.781624     0.51460943      43.781624     0.51460943      43.781624     0.51460943
