#          pt_b        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1210.4121      1.0043988      1210.4121      1.0043988      1210.4121      1.0043988
              5      1478.8757      1.0392788      1478.8757      1.0392788      1478.8757      1.0392788
             10      943.90962     0.83060883      943.90962     0.83060883      943.90962     0.83060883
             15      588.18377      0.6643892      588.18377      0.6643892      588.18377      0.6643892
             20      383.33843     0.53366785      383.33843     0.53366785      383.33843     0.53366785
             25      260.24232     0.43725656      260.24232     0.43725656      260.24232     0.43725656
             30      183.02368     0.36798937      183.02368     0.36798937      183.02368     0.36798937
             35      133.58324     0.31546317      133.58324     0.31546317      133.58324     0.31546317
             40      100.32297     0.27190152      100.32297     0.27190152      100.32297     0.27190152
             45      76.618431     0.23682764      76.618431     0.23682764      76.618431     0.23682764
             50      59.289728     0.20810869      59.289728     0.20810869      59.289728     0.20810869
             55      47.358802     0.18637038      47.358802     0.18637038      47.358802     0.18637038
             60      37.531424     0.16626821      37.531424     0.16626821      37.531424     0.16626821
             65      30.616423      0.1499605      30.616423      0.1499605      30.616423      0.1499605
             70      25.203869     0.13789067      25.203869     0.13789067      25.203869     0.13789067
             75      20.669912     0.14238814      20.669912     0.14238814      20.669912     0.14238814
             80      17.458331     0.11412208      17.458331     0.11412208      17.458331     0.11412208
             85      14.641542     0.10431968      14.641542     0.10431968      14.641542     0.10431968
             90      12.339614    0.095905688      12.339614    0.095905688      12.339614    0.095905688
             95      10.569811    0.087410871      10.569811    0.087410871      10.569811    0.087410871
            100      8.9738992     0.08101099      8.9738992     0.08101099      8.9738992     0.08101099
            105      7.8391322    0.075527044      7.8391322    0.075527044      7.8391322    0.075527044
            110      6.8024468    0.070525709      6.8024468    0.070525709      6.8024468    0.070525709
            115      5.9619912     0.06680302      5.9619912     0.06680302      5.9619912     0.06680302
            120      5.0733199    0.061513039      5.0733199    0.061513039      5.0733199    0.061513039
            125      4.4209254    0.057215887      4.4209254    0.057215887      4.4209254    0.057215887
            130      3.9022442    0.054277361      3.9022442    0.054277361      3.9022442    0.054277361
            135       3.497892    0.051339574       3.497892    0.051339574       3.497892    0.051339574
            140      3.1313361    0.049323881      3.1313361    0.049323881      3.1313361    0.049323881
            145      2.7095892    0.044852373      2.7095892    0.044852373      2.7095892    0.044852373
            150      2.4015055    0.042779391      2.4015055    0.042779391      2.4015055    0.042779391
            155      2.1729878    0.042170275      2.1729878    0.042170275      2.1729878    0.042170275
            160      1.9783996    0.039096184      1.9783996    0.039096184      1.9783996    0.039096184
            165      1.7963058    0.039822525      1.7963058    0.039822525      1.7963058    0.039822525
            170      1.5655525    0.037729836      1.5655525    0.037729836      1.5655525    0.037729836
            175      1.3636395    0.031725207      1.3636395    0.031725207      1.3636395    0.031725207
            180      1.2895647    0.031113055      1.2895647    0.031113055      1.2895647    0.031113055
            185      1.1774081    0.029837326      1.1774081    0.029837326      1.1774081    0.029837326
            190      1.1164645    0.036787832      1.1164645    0.036787832      1.1164645    0.036787832
            195     0.95991714    0.029503041     0.95991714    0.029503041     0.95991714    0.029503041
            200     0.84512871    0.025241719     0.84512871    0.025241719     0.84512871    0.025241719
            205     0.78068491    0.024335271     0.78068491    0.024335271     0.78068491    0.024335271
            210     0.73318276    0.026308315     0.73318276    0.026308315     0.73318276    0.026308315
            215     0.66336966    0.027870552     0.66336966    0.027870552     0.66336966    0.027870552
            220     0.64038473    0.022106858     0.64038473    0.022106858     0.64038473    0.022106858
            225     0.56568953    0.020596123     0.56568953    0.020596123     0.56568953    0.020596123
            230      0.5038764    0.019571798      0.5038764    0.019571798      0.5038764    0.019571798
            235     0.42506332    0.017907943     0.42506332    0.017907943     0.42506332    0.017907943
            240      0.4412797    0.018189022      0.4412797    0.018189022      0.4412797    0.018189022
            245     0.37947823    0.017508344     0.37947823    0.017508344     0.37947823    0.017508344
            250     0.37301268    0.017157578     0.37301268    0.017157578     0.37301268    0.017157578
            255     0.34331444    0.016403938     0.34331444    0.016403938     0.34331444    0.016403938
            260     0.30183305    0.015422445     0.30183305    0.015422445     0.30183305    0.015422445
            265     0.28927451    0.014559435     0.28927451    0.014559435     0.28927451    0.014559435
            270     0.27687898    0.015046059     0.27687898    0.015046059     0.27687898    0.015046059
            275     0.25450701     0.01434597     0.25450701     0.01434597     0.25450701     0.01434597
            280     0.21412046    0.014589243     0.21412046    0.014589243     0.21412046    0.014589243
            285     0.21199801    0.012514209     0.21199801    0.012514209     0.21199801    0.012514209
            290     0.18642831    0.012595666     0.18642831    0.012595666     0.18642831    0.012595666
            295     0.18605526     0.01222284     0.18605526     0.01222284     0.18605526     0.01222284
            300     0.17438183    0.012751131     0.17438183    0.012751131     0.17438183    0.012751131
            305     0.16074031    0.013253797     0.16074031    0.013253797     0.16074031    0.013253797
            310     0.13173402    0.010163198     0.13173402    0.010163198     0.13173402    0.010163198
            315     0.12920921    0.010479237     0.12920921    0.010479237     0.12920921    0.010479237
            320     0.12101856   0.0095372983     0.12101856   0.0095372983     0.12101856   0.0095372983
            325     0.11567736   0.0096670123     0.11567736   0.0096670123     0.11567736   0.0096670123
            330     0.13973833    0.010425788     0.13973833    0.010425788     0.13973833    0.010425788
            335     0.11668276    0.009392578     0.11668276    0.009392578     0.11668276    0.009392578
            340     0.10587203   0.0093126529     0.10587203   0.0093126529     0.10587203   0.0093126529
            345    0.099606279    0.009255872    0.099606279    0.009255872    0.099606279    0.009255872
            350     0.08228408    0.008005051     0.08228408    0.008005051     0.08228408    0.008005051
            355    0.062195841    0.007676768    0.062195841    0.007676768    0.062195841    0.007676768
            360     0.08640311   0.0080579872     0.08640311   0.0080579872     0.08640311   0.0080579872
            365    0.066549823   0.0070600933    0.066549823   0.0070600933    0.066549823   0.0070600933
            370    0.076980138   0.0085091983    0.076980138   0.0085091983    0.076980138   0.0085091983
            375    0.055813996   0.0064970087    0.055813996   0.0064970087    0.055813996   0.0064970087
            380    0.057202697   0.0078538292    0.057202697   0.0078538292    0.057202697   0.0078538292
            385    0.059946575   0.0065970506    0.059946575   0.0065970506    0.059946575   0.0065970506
            390    0.044934744   0.0061483961    0.044934744   0.0061483961    0.044934744   0.0061483961
            395     0.04049128   0.0062675286     0.04049128   0.0062675286     0.04049128   0.0062675286
            400     0.04352813   0.0059939394     0.04352813   0.0059939394     0.04352813   0.0059939394
            405    0.044643583   0.0059645994    0.044643583   0.0059645994    0.044643583   0.0059645994
            410    0.042027756   0.0054723204    0.042027756   0.0054723204    0.042027756   0.0054723204
            415    0.036776673   0.0054544034    0.036776673   0.0054544034    0.036776673   0.0054544034
            420    0.045628031   0.0060313763    0.045628031   0.0060313763    0.045628031   0.0060313763
            425    0.029388996   0.0047863068    0.029388996   0.0047863068    0.029388996   0.0047863068
            430    0.036274705   0.0053797371    0.036274705   0.0053797371    0.036274705   0.0053797371
            435    0.028887756   0.0051221732    0.028887756   0.0051221732    0.028887756   0.0051221732
            440       0.030415   0.0053288601       0.030415   0.0053288601       0.030415   0.0053288601
            445    0.026014508   0.0045756909    0.026014508   0.0045756909    0.026014508   0.0045756909
            450    0.021002539   0.0054238753    0.021002539   0.0054238753    0.021002539   0.0054238753
            455    0.026026063   0.0043252713    0.026026063   0.0043252713    0.026026063   0.0043252713
            460    0.031085256   0.0063501733    0.031085256   0.0063501733    0.031085256   0.0063501733
            465    0.022123189   0.0045038017    0.022123189   0.0045038017    0.022123189   0.0045038017
            470    0.018261653   0.0040618517    0.018261653   0.0040618517    0.018261653   0.0040618517
            475    0.027712756   0.0052916495    0.027712756   0.0052916495    0.027712756   0.0052916495
            480     0.01690565   0.0038153903     0.01690565   0.0038153903     0.01690565   0.0038153903
            485    0.013979173   0.0037488405    0.013979173   0.0037488405    0.013979173   0.0037488405
            490   0.0078828542    0.002970816   0.0078828542    0.002970816   0.0078828542    0.002970816
            495    0.013559842   0.0039326101    0.013559842   0.0039326101    0.013559842   0.0039326101
            500    0.013559842   0.0039326101    0.013559842   0.0039326101    0.013559842   0.0039326101
