#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      272.88082      3.8048617      272.88082      3.8048617      272.88082      3.8048617
           -4.9      321.80451      3.9636446      321.80451      3.9636446      321.80451      3.9636446
           -4.8      373.47019      4.2455442      373.47019      4.2455442      373.47019      4.2455442
           -4.7      432.00014      4.6991267      432.00014      4.6991267      432.00014      4.6991267
           -4.6      505.16417      4.8895034      505.16417      4.8895034      505.16417      4.8895034
           -4.5      584.17886      5.3029419      584.17886      5.3029419      584.17886      5.3029419
           -4.4      676.42563      5.7430282      676.42563      5.7430282      676.42563      5.7430282
           -4.3      757.75863      7.2891372      757.75863      7.2891372      757.75863      7.2891372
           -4.2      845.15051      6.5775174      845.15051      6.5775174      845.15051      6.5775174
           -4.1      942.04338      6.7694536      942.04338      6.7694536      942.04338      6.7694536
             -4      1041.7818       6.943026      1041.7818       6.943026      1041.7818       6.943026
           -3.9      1156.1117       7.333088      1156.1117       7.333088      1156.1117       7.333088
           -3.8      1288.3484      7.6341459      1288.3484      7.6341459      1288.3484      7.6341459
           -3.7      1417.4277      7.9803422      1417.4277      7.9803422      1417.4277      7.9803422
           -3.6      1513.6165      8.3021955      1513.6165      8.3021955      1513.6165      8.3021955
           -3.5      1654.9154       8.630008      1654.9154       8.630008      1654.9154       8.630008
           -3.4      1784.2427      8.8734005      1784.2427      8.8734005      1784.2427      8.8734005
           -3.3       1932.636      9.2408907       1932.636      9.2408907       1932.636      9.2408907
           -3.2      2048.7368      9.5382186      2048.7368      9.5382186      2048.7368      9.5382186
           -3.1      2196.8855        10.0011      2196.8855        10.0011      2196.8855        10.0011
             -3      2346.6456      10.094652      2346.6456      10.094652      2346.6456      10.094652
           -2.9       2492.969      10.415806       2492.969      10.415806       2492.969      10.415806
           -2.8      2613.5503      10.600711      2613.5503      10.600711      2613.5503      10.600711
           -2.7      2761.4043      10.837079      2761.4043      10.837079      2761.4043      10.837079
           -2.6      2907.2071      11.116393      2907.2071      11.116393      2907.2071      11.116393
           -2.5      3045.5714       11.51437      3045.5714       11.51437      3045.5714       11.51437
           -2.4      3171.7636      11.536992      3171.7636      11.536992      3171.7636      11.536992
           -2.3      3316.8248      11.770206      3316.8248      11.770206      3316.8248      11.770206
           -2.2      3441.7963      11.978159      3441.7963      11.978159      3441.7963      11.978159
           -2.1      3580.4833       12.11527      3580.4833       12.11527      3580.4833       12.11527
             -2      3692.4603      12.410035      3692.4603      12.410035      3692.4603      12.410035
           -1.9       3819.537      12.591578       3819.537      12.591578       3819.537      12.591578
           -1.8      3941.1711      13.193201      3941.1711      13.193201      3941.1711      13.193201
           -1.7      4046.9084      12.878765      4046.9084      12.878765      4046.9084      12.878765
           -1.6       4156.549      13.036137       4156.549      13.036137       4156.549      13.036137
           -1.5      4241.9079      13.119404      4241.9079      13.119404      4241.9079      13.119404
           -1.4      4337.6654      13.223935      4337.6654      13.223935      4337.6654      13.223935
           -1.3      4432.0606      13.314095      4432.0606      13.314095      4432.0606      13.314095
           -1.2      4524.7256      13.443611      4524.7256      13.443611      4524.7256      13.443611
           -1.1      4572.7174      13.569002      4572.7174      13.569002      4572.7174      13.569002
             -1      4670.9388      13.743503      4670.9388      13.743503      4670.9388      13.743503
           -0.9      4719.8071      13.804202      4719.8071      13.804202      4719.8071      13.804202
           -0.8       4785.675      13.858919       4785.675      13.858919       4785.675      13.858919
           -0.7         4830.5      13.869503         4830.5      13.869503         4830.5      13.869503
           -0.6      4835.1379      13.925437      4835.1379      13.925437      4835.1379      13.925437
