#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      28568.949      6.3793314      28568.949      6.3793314      28568.949      6.3793314
              1      28568.949      6.3793314      28568.949      6.3793314      28568.949      6.3793314
