#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      308.87347      4.0236601      308.87347      4.0236601      308.87347      4.0236601
           -4.9      354.04544      4.2505078      354.04544      4.2505078      354.04544      4.2505078
           -4.8      410.17718      4.6866776      410.17718      4.6866776      410.17718      4.6866776
           -4.7      465.84706      4.8510047      465.84706      4.8510047      465.84706      4.8510047
           -4.6      549.09623      5.3450502      549.09623      5.3450502      549.09623      5.3450502
           -4.5      627.01072      5.5890432      627.01072      5.5890432      627.01072      5.5890432
           -4.4      707.04507      5.8550791      707.04507      5.8550791      707.04507      5.8550791
           -4.3      800.01442      6.2497833      800.01442      6.2497833      800.01442      6.2497833
           -4.2      884.96862      6.5698114      884.96862      6.5698114      884.96862      6.5698114
           -4.1      986.28221      7.0354675      986.28221      7.0354675      986.28221      7.0354675
             -4      1089.5221       7.165389      1089.5221       7.165389      1089.5221       7.165389
           -3.9      1209.3211      7.7275634      1209.3211      7.7275634      1209.3211      7.7275634
           -3.8        1326.83      7.7846459        1326.83      7.7846459        1326.83      7.7846459
           -3.7      1442.1895      8.1135885      1442.1895      8.1135885      1442.1895      8.1135885
           -3.6      1536.6617      8.3837509      1536.6617      8.3837509      1536.6617      8.3837509
           -3.5      1653.9149      8.8738912      1653.9149      8.8738912      1653.9149      8.8738912
           -3.4      1807.7838      9.1134858      1807.7838      9.1134858      1807.7838      9.1134858
           -3.3      1946.8312        9.26464      1946.8312        9.26464      1946.8312        9.26464
           -3.2      2068.3958      9.6445703      2068.3958      9.6445703      2068.3958      9.6445703
           -3.1      2222.6115      9.8461273      2222.6115      9.8461273      2222.6115      9.8461273
             -3      2334.4035      10.076605      2334.4035      10.076605      2334.4035      10.076605
           -2.9      2466.5547      10.330136      2466.5547      10.330136      2466.5547      10.330136
           -2.8      2622.2581      10.707234      2622.2581      10.707234      2622.2581      10.707234
           -2.7      2738.9336      10.766151      2738.9336      10.766151      2738.9336      10.766151
           -2.6      2899.2179      11.099135      2899.2179      11.099135      2899.2179      11.099135
           -2.5      3035.0417      11.307111      3035.0417      11.307111      3035.0417      11.307111
           -2.4      3148.2601      11.484413      3148.2601      11.484413      3148.2601      11.484413
           -2.3      3310.3289      11.744488      3310.3289      11.744488      3310.3289      11.744488
           -2.2      3418.1454      11.906397      3418.1454      11.906397      3418.1454      11.906397
           -2.1      3558.0906      12.068604      3558.0906      12.068604      3558.0906      12.068604
             -2      3652.7993      12.274257      3652.7993      12.274257      3652.7993      12.274257
           -1.9       3808.519      12.433679       3808.519      12.433679       3808.519      12.433679
           -1.8      3908.5588       12.57595      3908.5588       12.57595      3908.5588       12.57595
           -1.7       3992.034      12.761762       3992.034      12.761762       3992.034      12.761762
           -1.6      4134.7834      12.937643      4134.7834      12.937643      4134.7834      12.937643
           -1.5      4206.9482      13.015595      4206.9482      13.015595      4206.9482      13.015595
           -1.4      4269.6527       13.11198      4269.6527       13.11198      4269.6527       13.11198
           -1.3      4400.3374      13.304925      4400.3374      13.304925      4400.3374      13.304925
           -1.2      4484.3255      13.371921      4484.3255      13.371921      4484.3255      13.371921
           -1.1      4572.7048       13.52559      4572.7048       13.52559      4572.7048       13.52559
             -1      4632.2376      14.252773      4632.2376      14.252773      4632.2376      14.252773
           -0.9      4682.6744      13.603678      4682.6744      13.603678      4682.6744      13.603678
           -0.8      4733.7698      13.790319      4733.7698      13.790319      4733.7698      13.790319
           -0.7      4779.9873      13.740975      4779.9873      13.740975      4779.9873      13.740975
           -0.6      4832.0573       13.81357      4832.0573       13.81357      4832.0573       13.81357
           -0.5      4858.2038      13.865705      4858.2038      13.865705      4858.2038      13.865705
           -0.4      4901.2131      13.940438      4901.2131      13.940438      4901.2131      13.940438
           -0.3      4903.9102      13.914047      4903.9102      13.914047      4903.9102      13.914047
           -0.2      4913.8194      13.930556      4913.8194      13.930556      4913.8194      13.930556
           -0.1      4940.6062      13.928524      4940.6062      13.928524      4940.6062      13.928524
              0      4947.6692      14.035527      4947.6692      14.035527      4947.6692      14.035527
            0.1      4932.7726      13.953955      4932.7726      13.953955      4932.7726      13.953955
            0.2      4944.5036      13.957231      4944.5036      13.957231      4944.5036      13.957231
            0.3       4918.062      13.933408       4918.062      13.933408       4918.062      13.933408
            0.4      4865.8168      13.911075      4865.8168      13.911075      4865.8168      13.911075
            0.5      4824.2567      13.844214      4824.2567      13.844214      4824.2567      13.844214
            0.6      4786.2291      13.745872      4786.2291      13.745872      4786.2291      13.745872
            0.7      4728.1303      14.155571      4728.1303      14.155571      4728.1303      14.155571
            0.8      4715.1124      13.683047      4715.1124      13.683047      4715.1124      13.683047
            0.9      4632.9232      13.575255      4632.9232      13.575255      4632.9232      13.575255
              1      4567.6756      13.468089      4567.6756      13.468089      4567.6756      13.468089
            1.1      4482.0408      13.434496      4482.0408      13.434496      4482.0408      13.434496
            1.2      4378.6678      13.219178      4378.6678      13.219178      4378.6678      13.219178
            1.3      4294.1179      13.199377      4294.1179      13.199377      4294.1179      13.199377
            1.4      4196.3154      13.048992      4196.3154      13.048992      4196.3154      13.048992
            1.5      4133.0764      12.988854      4133.0764      12.988854      4133.0764      12.988854
            1.6      3988.9713      12.720556      3988.9713      12.720556      3988.9713      12.720556
            1.7      3884.5056      12.628058      3884.5056      12.628058      3884.5056      12.628058
            1.8      3785.4243       12.52291      3785.4243       12.52291      3785.4243       12.52291
            1.9      3653.9209       12.31935      3653.9209       12.31935      3653.9209       12.31935
              2      3533.2541       12.47411      3533.2541       12.47411      3533.2541       12.47411
            2.1      3412.3793      11.901831      3412.3793      11.901831      3412.3793      11.901831
            2.2      3323.2187      11.868655      3323.2187      11.868655      3323.2187      11.868655
            2.3      3154.9114      11.584552      3154.9114      11.584552      3154.9114      11.584552
            2.4      3013.1644      11.286251      3013.1644      11.286251      3013.1644      11.286251
            2.5      2886.4968      11.098986      2886.4968      11.098986      2886.4968      11.098986
            2.6      2737.2082      10.829025      2737.2082      10.829025      2737.2082      10.829025
            2.7      2607.1069      10.690181      2607.1069      10.690181      2607.1069      10.690181
            2.8      2488.5539      10.393438      2488.5539      10.393438      2488.5539      10.393438
            2.9       2339.986      10.153719       2339.986      10.153719       2339.986      10.153719
              3      2220.5341       9.877415      2220.5341       9.877415      2220.5341       9.877415
            3.1      2096.9061      9.7475523      2096.9061      9.7475523      2096.9061      9.7475523
            3.2      1942.3035      9.3441458      1942.3035      9.3441458      1942.3035      9.3441458
            3.3      1804.5453      9.0727403      1804.5453      9.0727403      1804.5453      9.0727403
            3.4      1696.6671      8.9481779      1696.6671      8.9481779      1696.6671      8.9481779
            3.5      1545.3998      8.6137257      1545.3998      8.6137257      1545.3998      8.6137257
            3.6      1422.6851        8.14494      1422.6851        8.14494      1422.6851        8.14494
            3.7      1317.6569      8.2473775      1317.6569      8.2473775      1317.6569      8.2473775
            3.8      1192.4531      7.6065065      1192.4531      7.6065065      1192.4531      7.6065065
            3.9      1079.2375      7.2221245      1079.2375      7.2221245      1079.2375      7.2221245
              4      987.70764      7.0272516      987.70764      7.0272516      987.70764      7.0272516
            4.1      887.44012      6.6340199      887.44012      6.6340199      887.44012      6.6340199
            4.2      788.66102      6.2793787      788.66102      6.2793787      788.66102      6.2793787
            4.3      717.93505      6.2060868      717.93505      6.2060868      717.93505      6.2060868
            4.4      614.91873      5.6224553      614.91873      5.6224553      614.91873      5.6224553
            4.5      541.81383      5.3273266      541.81383      5.3273266      541.81383      5.3273266
            4.6      480.11797      5.0190396      480.11797      5.0190396      480.11797      5.0190396
            4.7      417.04341      4.6671636      417.04341      4.6671636      417.04341      4.6671636
            4.8       350.6951      4.3102162       350.6951      4.3102162       350.6951      4.3102162
            4.9      305.59673      4.1424231      305.59673      4.1424231      305.59673      4.1424231
              5      305.59673      4.1424231      305.59673      4.1424231      305.59673      4.1424231
