# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      612.83436      2.3549355      612.83436      2.3549355      612.83436      2.3549355
            0.4      543.13282      1.8149813      543.13282      1.8149813      543.13282      1.8149813
              1      393.66348      1.5489486      393.66348      1.5489486      393.66348      1.5489486
            1.6      242.45126      1.1265804      242.45126      1.1265804      242.45126      1.1265804
            2.3       99.14285     0.57478847       99.14285     0.57478847       99.14285     0.57478847
            3.4      14.341423     0.21786872      14.341423     0.21786872      14.341423     0.21786872
            4.6      14.341423     0.21786872      14.341423     0.21786872      14.341423     0.21786872
