#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      11.587275      0.2221239      11.587275      0.2221239      11.587275      0.2221239
              1      35.514882     0.39516679      35.514882     0.39516679      35.514882     0.39516679
              2      59.819042     0.50371851      59.819042     0.50371851      59.819042     0.50371851
              3      83.236517      0.6013979      83.236517      0.6013979      83.236517      0.6013979
              4      108.35037     0.67964394      108.35037     0.67964394      108.35037     0.67964394
              5      133.95582     0.75909852      133.95582     0.75909852      133.95582     0.75909852
              6      159.69089     0.83049786      159.69089     0.83049786      159.69089     0.83049786
              7       184.3355     0.87759728       184.3355     0.87759728       184.3355     0.87759728
              8       210.8117     0.93998364       210.8117     0.93998364       210.8117     0.93998364
              9       237.4282     0.99899813       237.4282     0.99899813       237.4282     0.99899813
             10      264.17005      1.0519402      264.17005      1.0519402      264.17005      1.0519402
             11      293.07345      1.1006539      293.07345      1.1006539      293.07345      1.1006539
             12      319.64624       1.154453      319.64624       1.154453      319.64624       1.154453
             13      347.23173       1.201166      347.23173       1.201166      347.23173       1.201166
             14      377.05609      1.2507148      377.05609      1.2507148      377.05609      1.2507148
             15      404.47522      1.2967862      404.47522      1.2967862      404.47522      1.2967862
             16      432.77799      1.3380849      432.77799      1.3380849      432.77799      1.3380849
             17      458.79496       1.383728      458.79496       1.383728      458.79496       1.383728
             18      487.64296      1.4230311      487.64296      1.4230311      487.64296      1.4230311
             19      514.38721      1.4615422      514.38721      1.4615422      514.38721      1.4615422
             20      539.44585      1.4912024      539.44585      1.4912024      539.44585      1.4912024
             21      564.60821      1.5323105      564.60821      1.5323105      564.60821      1.5323105
             22      587.46419      1.5718894      587.46419      1.5718894      587.46419      1.5718894
             23      612.52233      1.6421045      612.52233      1.6421045      612.52233      1.6421045
             24      635.46883       1.628222      635.46883       1.628222      635.46883       1.628222
             25      652.67222      1.6572319      652.67222      1.6572319      652.67222      1.6572319
             26      667.78428      1.6744595      667.78428      1.6744595      667.78428      1.6744595
             27      685.05992      1.6972271      685.05992      1.6972271      685.05992      1.6972271
             28      699.85484      1.7334586      699.85484      1.7334586      699.85484      1.7334586
             29      712.80852      1.7406034      712.80852      1.7406034      712.80852      1.7406034
             30      722.24743      1.7571364      722.24743      1.7571364      722.24743      1.7571364
             31      724.18054      1.7610697      724.18054      1.7610697      724.18054      1.7610697
             32      731.93714      1.7886562      731.93714      1.7886562      731.93714      1.7886562
             33      726.49279       1.777832      726.49279       1.777832      726.49279       1.777832
             34      721.85077      1.8161487      721.85077      1.8161487      721.85077      1.8161487
             35      711.91554       1.767215      711.91554       1.767215      711.91554       1.767215
             36      698.63153      1.7449654      698.63153      1.7449654      698.63153      1.7449654
             37      675.80775      1.7308774      675.80775      1.7308774      675.80775      1.7308774
             38      654.04601      1.6953673      654.04601      1.6953673      654.04601      1.6953673
             39      626.70578        1.65747      626.70578        1.65747      626.70578        1.65747
             40      593.36313       1.600005      593.36313       1.600005      593.36313       1.600005
             41      562.94818      1.5566301      562.94818      1.5566301      562.94818      1.5566301
             42      525.92057      1.5070696      525.92057      1.5070696      525.92057      1.5070696
             43      491.16085      1.4409615      491.16085      1.4409615      491.16085      1.4409615
             44      458.60302      1.3847921      458.60302      1.3847921      458.60302      1.3847921
             45      427.21387      1.3374692      427.21387      1.3374692      427.21387      1.3374692
             46      397.53932      1.2802292      397.53932      1.2802292      397.53932      1.2802292
             47      368.56934      1.2245584      368.56934      1.2245584      368.56934      1.2245584
             48      343.64355      1.1807692      343.64355      1.1807692      343.64355      1.1807692
             49      320.79327      1.1357459      320.79327      1.1357459      320.79327      1.1357459
             50      298.14961      1.0938225      298.14961      1.0938225      298.14961      1.0938225
             51      279.05375      1.0496353      279.05375      1.0496353      279.05375      1.0496353
             52      259.34885      1.0143158      259.34885      1.0143158      259.34885      1.0143158
             53      243.47354     0.98498218      243.47354     0.98498218      243.47354     0.98498218
             54      228.15161     0.94187285      228.15161     0.94187285      228.15161     0.94187285
             55      213.87056     0.91609574      213.87056     0.91609574      213.87056     0.91609574
             56      199.18855     0.89751157      199.18855     0.89751157      199.18855     0.89751157
             57       185.4715     0.85002439       185.4715     0.85002439       185.4715     0.85002439
             58      174.09775     0.82305854      174.09775     0.82305854      174.09775     0.82305854
