#      n_b_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      493.75018       1.662564      493.75018       1.662564      493.75018       1.662564
            0.5      4528.9566      4.2203683      4528.9566      4.2203683      4528.9566      4.2203683
            1.5      23546.242      6.6210837      23546.242      6.6210837      23546.242      6.6210837
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
